Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist,Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
1,RY,4.558125193,0,0,0,3.432485777,0,0,3.496016771,0,0,0,2.895138889,0,0,,,,,,,,SG,1.26337979,0.215499497,1.466261243,1.485236083,0.669192285,1.030412592,0.327449784,RY,0,0,3.13114213,4.674737229,0.123471433,0,0,RY,0,0.024827007,3.524267576,3.960233017,0.036724837,0.344921084,0.012545158,1,0.511414648,0.028684521,0.033681043,-0.414492434,-0.285557285,0.018145251,0.108124256
2,,,,,,,,,,,,,,,,,,,,,,,SG,1.272507376,0.21967713,1.497223756,1.500088069,0.574648855,0.967341018,0.32981543,RY,0,0,3.13114213,4.674737229,0.123471433,0,0,RY,0.15333452,1.447730927,1.949285752,1.192623185,0.752907345,2.768426666,0.538140917,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,SG,1.274584232,0.220035664,1.499667369,1.502536362,0.548851585,0.983567165,0.330353723,RY,0,0,3.13114213,4.674737229,0.123471433,0,0,RY,0.141970039,1.967291211,1.948093488,0.49489573,0.767306203,1.715604155,0.790349827,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,SG,1.283364659,0.222179984,1.514282087,1.517179027,0.479812945,0.8890443,0.331039699,RY,0,0,3.13114213,4.674737229,0.123471433,0,0,RY,0.041802985,0.561949683,2.43330786,2.775931388,0.618914282,0.659848859,0.185354109,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,SG,1.289293994,0.223206467,1.521278298,1.52418862,0.431850195,0.85004816,0.332569427,RY,0,0,3.13114213,4.674737229,0.123471433,0,0,SG,0.448040282,1.262941713,1.359178617,0.635336486,1.428504666,0.065528755,0.199205336,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,SG,1.286322049,0.22269187,1.517771608,1.52067522,0.450634275,0.887023338,0.3318027,SG,0,0,1.316358296,1.563436941,1.55574006,0,0,RY,0.112550919,1.090345493,2.083060206,1.848331881,0.766292858,1.853152095,0.322671286,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,SG,1.285858856,0.222673747,1.517225061,1.520127637,0.455342075,0.886703983,0.331683251,SG,0,0,1.316358296,1.563436941,1.55574006,0,0,RY,0.150536956,1.45669859,1.693876599,1.717918147,0.788479564,2.187198642,0.583143409,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,SG,1.279771487,0.221619576,1.510042397,1.512931218,0.502996098,0.932000294,0.330113035,SG,0,0,0.373282828,4.068126735,1.55574006,0,0,RY,0.198939788,0.949402229,1.851403765,1.648776992,0.784561819,2.74502622,0.471362756,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,SG,1.300734798,0.231408633,1.534777653,1.537713805,0.357576621,0.696321799,0.33552033,SG,0,0.268352568,0.053439029,3.730208581,1.736765104,0,0.024676388,SG,0.061426769,0.558818976,1.756864248,1.976007556,1.014281496,0.971770286,0.288319996,,,,,,,,
10,SG,0,2.469428667,0,0,0,0,0,,,,,,,,0,1.835897436,0,0,0,0,0,SG,1.29944362,0.231178976,1.533254139,1.536187392,0.365773096,0.712283774,0.335187366,SG,0,0.268352568,0.053439029,3.730208581,1.736765104,0,0.024676388,SG,0.037658294,0.660139101,0.365606261,1.725007718,1.893661214,0.136030675,0.048091565,10,-0.221199731,0.003294319,0.015570681,0.170445066,0.002251905,0.003341249,0.026296511
