,SG,MI,OC,RY,SC,YG,YK,SGNorm,MINorm,OCNorm,RYNorm,SCNorm,YGNorm,YKNorm,Origin
1,0.511608133,0.01367464,0.045430094,0.288466567,0.048937685,0.022724564,0.069158316,1.26223077,0.223989082,1.460537681,1.478126483,0.664899412,1.041069073,0.326315068,1
2,0.515304367,0.013939734,0.046389425,0.29135116,0.042023773,0.021333593,0.069657947,1.271350053,0.228331287,1.491379322,1.492907378,0.570962483,0.977345225,0.328672517,2
3,0.516145394,0.013962485,0.046465137,0.291826674,0.040137232,0.021691442,0.069771636,1.27342502,0.228703946,1.493813399,1.495343949,0.545330694,0.993739207,0.329208943,3
4,0.519701045,0.014098554,0.046917954,0.294670612,0.035088472,0.019606849,0.069916516,1.282197462,0.230932734,1.508371056,1.509916521,0.476734935,0.89823875,0.32989254,4
5,0.522102141,0.01416369,0.047134722,0.296032034,0.031580981,0.018746834,0.070239599,1.288121404,0.231999656,1.515339953,1.516892559,0.429079876,0.85883935,0.331416968,5
6,0.520898646,0.014131036,0.047026072,0.295349652,0.032954651,0.019562279,0.070077664,1.285152163,0.231464789,1.511846953,1.51339598,0.447743456,0.896196898,0.330652899,6
7,0.520711075,0.014129886,0.047009138,0.295243299,0.03329893,0.019555236,0.070052436,1.28468939,0.231445948,1.511302549,1.512851018,0.452421053,0.895874268,0.330533864,7
8,0.518245983,0.014062993,0.046786593,0.293845591,0.036783844,0.020554194,0.069720802,1.278607557,0.230350262,1.504147909,1.505689048,0.499769375,0.941639022,0.328969087,8
9,0.526735117,0.014684163,0.047552981,0.298658932,0.026149393,0.015356576,0.070862838,1.299551804,0.240524943,1.528786623,1.530353006,0.355282757,0.703523139,0.334357646,9
10,0.526212252,0.01466959,0.047505777,0.298362468,0.026748797,0.015708599,0.070792515,1.298261801,0.240286252,1.527269069,1.528833897,0.363426664,0.719650192,0.334025837,10
11,0.526828451,0.014686769,0.047561407,0.298711853,0.026028405,0.015307701,0.070875414,1.299782076,0.24056763,1.529057514,1.530624174,0.353638941,0.701284054,0.334416984,11
12,0.526828453,0.01468677,0.047561407,0.298711854,0.026028407,0.015307688,0.070875421,1.299782079,0.240567653,1.529057517,1.530624178,0.353638974,0.701283471,0.334417016,12
13,0.52842398,0.014780231,0.047705449,0.299616518,0.023820799,0.014562979,0.071090044,1.303718536,0.242098531,1.533688347,1.535259752,0.323644966,0.667166454,0.335429691,13
14,0.527373815,0.014422783,0.047610642,0.299021074,0.025079083,0.015543859,0.070948744,1.301127588,0.236243581,1.530640367,1.53220865,0.340740834,0.712103038,0.334762981,14
15,0.52826763,0.014521886,0.047707624,0.299527867,0.024034354,0.014896342,0.071044296,1.303332792,0.237866874,1.533758278,1.5348055,0.326546461,0.682438687,0.335213832,15
16,0.527987905,0.014285388,0.047539707,0.299369263,0.024413839,0.015131545,0.071272353,1.30264266,0.233993058,1.528359867,1.533992799,0.331702393,0.693213898,0.336289894,16
17,0.530015157,0.014173951,0.045909421,0.298999515,0.024054603,0.015200775,0.07164658,1.307644261,0.232167726,1.475947608,1.532098177,0.326821572,0.696385511,0.338055634,17
18,0.535699292,0.013892208,0.044923108,0.293056201,0.024519604,0.015494637,0.072414952,1.321668062,0.227552807,1.444238512,1.501644146,0.333139379,0.709848036,0.341681104,18
19,0.541337884,0.013695832,0.043448496,0.288686422,0.023373976,0.015209808,0.074247582,1.335579497,0.224336197,1.396831035,1.479253042,0.317574125,0.696799342,0.350328148,19
20,0.543771638,0.014445083,0.040460678,0.281650982,0.024725276,0.016637008,0.078309334,1.341584015,0.236608843,1.300775309,1.443202865,0.335933777,0.762182949,0.369493029,20
21,0.551593859,0.014201207,0.040526792,0.279059838,0.021859958,0.015771034,0.076987312,1.360882863,0.232614184,1.302900823,1.42992563,0.297003689,0.722510511,0.363255227,21
22,0.544569976,0.013723151,0.041771551,0.290776105,0.020563148,0.014887585,0.073708484,1.34355366,0.224783677,1.342918726,1.489960749,0.279384378,0.682037501,0.347784479,22
23,0.538595751,0.013970867,0.045177464,0.294715495,0.020761209,0.014742863,0.072036351,1.328814156,0.228841241,1.452415841,1.510146508,0.282075364,0.675407399,0.339894724,23
24,0.53124497,0.014262432,0.046537646,0.300866032,0.021494042,0.014541657,0.071053222,1.310678435,0.233617042,1.496144485,1.541662365,0.292032122,0.666189652,0.335255948,24
25,0.530642718,0.014402943,0.047930938,0.300874543,0.021184922,0.014285484,0.070678452,1.30919257,0.235918591,1.540937623,1.541705977,0.287832217,0.654453727,0.333487641,25
26,0.530113074,0.01456099,0.047857939,0.300574235,0.021887597,0.014398254,0.070607913,1.307885841,0.238507382,1.538590744,1.540167173,0.297379208,0.659620001,0.333154812,26
27,0.529622399,0.014820035,0.047829973,0.300296022,0.022504087,0.014384927,0.070542558,1.306675256,0.242750518,1.53769168,1.538741587,0.305755246,0.659009454,0.332846442,27
28,0.530505204,0.014848487,0.047918517,0.300796573,0.021286285,0.013984804,0.070660129,1.308853298,0.243216566,1.540538296,1.541306451,0.2892094,0.640678829,0.333401188,28
29,0.529843459,0.014829963,0.047858744,0.300421363,0.022151954,0.014322543,0.070571975,1.30722065,0.242913135,1.538616647,1.539383844,0.300970935,0.656151483,0.332985246,29
30,0.54101247,0.015379236,0.048695495,0.291181046,0.020383983,0.013271605,0.070076165,1.334776642,0.251910167,1.565517448,1.492035701,0.276950128,0.608005402,0.330645826,30
31,0.530862871,0.014923097,0.047950824,0.30099937,0.020797666,0.013758404,0.070707768,1.309735727,0.244438669,1.541576927,1.5423456,0.282570694,0.63030688,0.333625967,31
32,0.539276066,0.015329869,0.048539205,0.294272089,0.019488007,0.012831636,0.070263129,1.330492617,0.251101534,1.560492851,1.507874458,0.26477681,0.587849328,0.331527991,32
33,0.541707211,0.015367008,0.049045001,0.29094969,0.019655949,0.013003117,0.070272024,1.336490695,0.251709872,1.576753761,1.49085021,0.267058585,0.595705312,0.331569964,33
34,0.535561324,0.014805666,0.048488566,0.298009651,0.019647301,0.0132056,0.070281892,1.321327668,0.242515157,1.558864853,1.527026036,0.266941091,0.604981553,0.331616523,34
35,0.535955602,0.014814494,0.048539548,0.297603135,0.019497323,0.013137665,0.070452233,1.322300426,0.24265975,1.560503888,1.524943013,0.264903384,0.601869288,0.332420256,35
36,0.537913932,0.014639124,0.048716907,0.296175314,0.0188577,0.012979489,0.070717534,1.327131984,0.239787213,1.566205818,1.517626739,0.256213048,0.594622861,0.333672047,36
37,0.534203853,0.014358549,0.046547942,0.302893707,0.018571201,0.013048698,0.070376049,1.31797854,0.235191431,1.4964755,1.552052342,0.252320488,0.597793498,0.332060792,37
38,0.535504612,0.013731806,0.044328501,0.304470848,0.018166404,0.013250411,0.070547418,1.321187751,0.224925441,1.425122432,1.56013374,0.246820649,0.607034476,0.332869374,38
39,0.550058031,0.013768853,0.041703983,0.286160813,0.019561791,0.014295219,0.074451309,1.357093696,0.225532279,1.340746477,1.466311611,0.265779291,0.654899742,0.351289406,39
40,0.555564413,0.013913657,0.042351438,0.2820031,0.018606255,0.01359694,0.073964196,1.370678947,0.22790414,1.361561595,1.445007149,0.252796752,0.622909808,0.348991027,40
41,0.555902202,0.014866241,0.040843336,0.271788947,0.020649416,0.01535735,0.080592509,1.371512334,0.243507372,1.313077413,1.392668983,0.280556474,0.703558575,0.380265908,41
42,0.558526799,0.014827911,0.04103617,0.271185774,0.019510032,0.014356734,0.08055658,1.377987694,0.242879525,1.319276883,1.389578276,0.265076056,0.65771786,0.380096382,42
43,0.55851699,0.015378454,0.040459379,0.267374071,0.020753852,0.015272016,0.082245239,1.377963492,0.251897362,1.300733534,1.370046793,0.281975408,0.699649241,0.388064114,43
44,0.556833978,0.016280987,0.040053206,0.259645295,0.019633398,0.01607488,0.091478256,1.373811193,0.266680742,1.287675449,1.330443907,0.266752193,0.736430461,0.431628979,44
45,0.564565854,0.015545012,0.040863104,0.260789263,0.019393303,0.01443153,0.084411933,1.392887145,0.254625561,1.313712946,1.336305698,0.263490109,0.661144478,0.398287397,45
46,0.564565769,0.014957184,0.041479867,0.267054316,0.018938183,0.013935931,0.07906875,1.392886936,0.244997005,1.333541325,1.368408346,0.257306546,0.638439825,0.373076241,46
47,0.572539352,0.015252461,0.040958255,0.258897935,0.018725514,0.013779435,0.079847047,1.412559222,0.249833614,1.316771976,1.326614373,0.254417091,0.631270387,0.37674854,47
48,0.561152577,0.01404656,0.042675751,0.277059973,0.017924715,0.013098889,0.074041535,1.384465967,0.230081087,1.371987954,1.419678157,0.2435369,0.600092852,0.349355941,48
49,0.570198773,0.014273002,0.043018165,0.268005926,0.017337139,0.012669505,0.07449749,1.406784586,0.233790186,1.382996265,1.373284473,0.235553711,0.580421686,0.351507308,49
50,0.547880255,0.014049156,0.045336245,0.29078961,0.01751095,0.012796521,0.071637263,1.351720723,0.230123608,1.457520493,1.490029949,0.237915226,0.586240633,0.338011675,50
51,0.564824641,0.01448366,0.046538531,0.27158192,0.016992823,0.012417888,0.073160538,1.393525621,0.237240724,1.49617295,1.391608159,0.23087561,0.568894501,0.345199061,51
52,0.538730787,0.01449528,0.047023373,0.298423814,0.0182037,0.012790481,0.070332566,1.329147314,0.237431068,1.511760195,1.529148237,0.247327373,0.585963893,0.331855623,52
53,0.554156428,0.014910333,0.050083475,0.279949087,0.017046127,0.012075836,0.071778713,1.36720519,0.244229594,1.610139775,1.434482217,0.231599837,0.553224224,0.338679092,53
54,0.540462215,0.01470847,0.048947695,0.294228027,0.018410279,0.012684705,0.070558608,1.333419063,0.2409231,1.573625472,1.50764868,0.250134099,0.581118059,0.332922174,54
55,0.549813895,0.014973747,0.049827901,0.2841707,0.017746464,0.012251119,0.071216175,1.356491367,0.245268299,1.601923297,1.456114107,0.241115069,0.561254389,0.336024822,55
56,0.54333446,0.015030689,0.049225485,0.290247197,0.018675912,0.012552697,0.07093356,1.340505415,0.246201011,1.582556153,1.487250581,0.253743159,0.575070438,0.334691339,56
57,0.549676569,0.015210836,0.049815455,0.283698674,0.018162072,0.012237948,0.071198447,1.356152558,0.249151792,1.601523188,1.453695408,0.246761788,0.56065098,0.335941174,57
58,0.545334984,0.01509068,0.049421991,0.288244209,0.018703312,0.012568798,0.070636025,1.345441075,0.247183654,1.588873661,1.476987104,0.254115441,0.575808067,0.333287456,58
59,0.544836114,0.015390018,0.04937678,0.28852641,0.018718166,0.012581098,0.070571414,1.34421027,0.25208678,1.587420164,1.478433127,0.254317254,0.576371538,0.332982596,59
60,0.543029054,0.015398343,0.049164678,0.290263016,0.019044599,0.012656824,0.070443485,1.339751924,0.252223141,1.580601267,1.48733164,0.258752385,0.579840756,0.33237898,60
61,0.54483503,0.015696738,0.049376682,0.288009759,0.01895194,0.012558579,0.070571273,1.344207596,0.257110809,1.587417006,1.475785764,0.257493453,0.575339881,0.332981934,61
62,0.552959559,0.016778511,0.050783091,0.276216352,0.018158575,0.012044332,0.073059579,1.364252295,0.274830139,1.632631842,1.415355374,0.246714282,0.551780948,0.344722699,62
63,0.556045335,0.015739011,0.051066485,0.275262144,0.01786095,0.012002723,0.072023353,1.371865468,0.257803238,1.6417427,1.410465932,0.242670549,0.549874732,0.339833393,63
