GTA06,TopSchool
1,3
2,
3,
4,
5,
6,
7,
8,
9,
10,1
11,
12,
13,
14,4
15,1
16,1
17,3
18,1
19,3
20,1
21,1
22,3
23,1
24,3
25,1
26,1
27,
28,
29,
30,1
31,
32,
33,1
34,1
35,1
36,1
37,3
38,3
39,3
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,
55,1
56,1
57,2
58,3
59,1
60,1
61,3
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,3
82,1
83,5
84,1
85,1
86,
87,3
88,
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,3
109,1
110,1
111,
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,2
127,1
128,1
129,2
130,3
131,2
132,1
133,1
134,2
135,3
136,
137,1
138,2
139,1
140,1
141,1
142,2
143,1
144,2
145,1
146,2
147,1
148,2
149,1
150,3
151,2
152,2
153,3
154,3
155,1
156,1
157,3
158,1
159,
160,
161,1
162,1
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,2
180,2
181,2
182,2
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,7
219,1
220,1
221,
222,1
223,1
224,3
225,
226,
227,7
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,
241,1
242,3
243,1
244,1
245,3
246,
247,3
248,3
249,3
250,1
251,1
252,1
253,3
254,1
