Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist
1,RY,4.528884769848625,0.0,0.0,0.0,3.41605499242689,0.0,0.0,3.4787725935266915,0.0,0.0,0.0,2.8841261543822965,0.0,0.0,,,,,,,,SG,1.2622307690642882,0.22398907530726256,1.460537671140351,1.478126484522894,0.6648994088044486,1.04106908825,0.32631506680399097,RY,0.0,0.0,3.116153831216746,4.644748738543919,0.1233591383372602,0.0,0.0,RY,0.0,0.02473009446693657,3.5073974457843717,3.934828079105187,0.036691436018262004,0.34848824786324784,0.012501684918807546
2,,,,,,,,,,,,,,,,,,,,,,,SG,1.271350053890946,0.2283312854078212,1.4913793212719297,1.4929073770010486,0.5709624765338277,0.9773452293124999,0.32867251465078856,RY,0.0,0.0,3.116153831216746,4.644748738543919,0.1233591383372602,0.0,0.0,RY,0.15937511606588173,1.4420796876755648,1.939954818489419,1.1849724938650343,0.7522225890889983,2.797057651425241,0.5362760875891445
3,,,,,,,,,,,,,,,,,,,,,,,SG,1.2734250212117133,0.22870394424581006,1.493813395657895,1.495343949961552,0.5453306961260427,0.993739186625,0.32920894231091086,RY,0.0,0.0,3.116153831216746,4.644748738543919,0.1233591383372602,0.0,0.0,RY,0.14756293250748198,1.9596118610990003,1.9387682617687745,0.49172096812157057,0.7666083515976639,1.7333468812134651,0.7876110132086876
4,,,,,,,,,,,,,,,,,,,,,,,SG,1.2821974620834737,0.2309327392625698,1.5083710650000002,1.5099165228661307,0.4767349393141799,0.8982387698125,0.3298925408947538,RY,0.0,0.0,3.116153831216746,4.644748738543919,0.1233591383372602,0.0,0.0,RY,0.043449808879741265,0.5597561042818459,2.421659986874989,2.7581237583184275,0.6183513910622863,0.6666729959494837,0.18471179769206328
5,,,,,,,,,,,,,,,,,,,,,,,SG,1.2881214047559744,0.23199965966480446,1.5153399660526317,1.5168925614959803,0.42907987160333644,0.858839332625,0.33141696856775027,RY,0.0,0.0,3.116153831216746,4.644748738543919,0.1233591383372602,0.0,0.0,SG,0.4656907770316105,1.2580118014570478,1.3526724362591898,0.6312607950412069,1.4272054669715408,0.06620645161290323,0.1985150260200404
6,,,,,,,,,,,,,,,,,,,,,,,SG,1.2851521626321105,0.2314647907932961,1.5118469638596492,1.5133959798392171,0.44774345102873037,0.8961969066875,0.3306528980495655,SG,0.0,0.0,1.3100570895957127,1.553407476058079,1.5543251430494784,0.0,0.0,RY,0.11698485005720768,1.0860893138216232,2.0730889147865192,1.8364748114030218,0.7655959289231642,1.872317338292289,0.32155312760639565
7,,,,,,,,,,,,,,,,,,,,,,,SG,1.2846893906933694,0.2314459539217877,1.511302550614035,1.5128510182943025,0.45242105078776645,0.89587424925,0.3305338628130029,SG,0.0,0.0,1.3100570895957127,1.553407476058079,1.5543251430494784,0.0,0.0,RY,0.15646734178298422,1.4510123460385225,1.6857682703287427,1.7068976832484337,0.7877624562709821,2.20981858475186,0.5811226312817177
8,,,,,,,,,,,,,,,,,,,,,,,SG,1.2786075581925278,0.23035025405586593,1.5041479240789475,1.5056890472072701,0.4997693726042632,0.9416390126249999,0.3289690882909559,SG,0.0,0.0,0.3714959804264243,4.042029657089898,1.5543251430494784,0.0,0.0,RY,0.20677699860660753,0.9456962236833028,1.8425413781806619,1.6382000694217356,0.7838482741007674,2.7734151991792397,0.46972933438122183
9,,,,,,,,,,,,,,,,,,,,,,,SG,1.2995518033019187,0.24052494925139664,1.5287866260087717,1.5303530035372246,0.35528276309545875,0.703523138,0.3343576456646282,SG,0.0,0.26730504990546544,0.05318322457664608,3.706279252347738,1.7351855480934826,0.0,0.024590875981538834,SG,0.06384666974699318,0.556637617843113,1.7484544075345727,1.9633314463269742,1.0133590254620437,0.9818203053584489,0.2873208752129375
10,SG,0.0,2.467182766745204,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.8292263610315187,0.0,0.0,0.0,0.0,0.0,SG,1.2982617997845844,0.2402862451396648,1.5272690588157893,1.5288338975463123,0.36342665803521784,0.7196501916875,0.3340258351786289,SG,0.0,0.26730504990546544,0.05318322457664608,3.706279252347738,1.7351855480934826,0.0,0.024590875981538834,SG,0.03914183826562538,0.657562238565528,0.3638561593649987,1.713941774680885,1.8919389638963058,0.1374375,0.04792491267157979
