Family?,Home Zone,Cars,Children,Adults,Income,Gender,Age,Status,License,Distance,Employment,Mode
1,261,1,3,4,0,1,20,2,0,14.0,0,1
0,71,0,0,2,2,1,25,2,1,0.75,0,10
1,3714,1,0,4,0,1,23,2,1,29.5,0,1
0,74,0,0,4,0,2,20,2,1,0.75,0,10
0,71,0,0,2,1,2,27,2,1,0.75,0,10
0,72,0,0,3,0,1,20,2,0,0.75,2,10
1,600,2,1,4,0,1,18,2,0,9.25,0,1
1,3420,2,0,5,1,1,21,2,1,43.75,0,3
0,113,1,0,2,0,1,33,2,1,5.25,0,2
0,1031,1,0,2,0,1,31,2,1,31.25,0,5
1,237,1,0,3,0,1,21,2,1,10.5,0,1
0,46,0,0,2,2,1,27,2,1,1.0,0,10
1,472,2,0,4,0,1,19,2,1,17.0,0,1
0,50,1,0,2,0,1,32,2,1,1.25,1,10
0,21,1,0,2,0,2,27,2,0,1.75,0,10
0,209,0,0,2,1,1,23,2,1,3.75,0,1
0,22,0,0,2,0,2,23,2,0,2.0,0,10
1,554,2,1,4,0,1,24,2,0,17.75,0,1
0,38,0,0,2,2,1,19,2,0,1.5,2,1
1,3868,1,1,4,0,1,17,2,0,2.25,0,1
0,67,0,0,1,2,1,22,2,1,1.25,0,10
1,1042,1,0,5,0,2,19,2,1,9.75,0,1
1,2081,2,0,3,0,1,19,2,1,21.75,0,1
1,480,1,0,4,0,1,18,2,0,14.75,0,1
1,413,1,1,2,2,2,40,1,1,11.0,3,2
0,542,0,0,1,1,1,24,2,1,10.5,0,2
0,51,0,0,2,1,2,22,2,1,1.25,0,10
0,71,0,0,2,1,1,22,2,1,1.25,0,10
0,3664,1,0,5,0,1,22,1,1,2.0,0,1
0,67,0,0,2,1,2,20,2,1,1.25,1,10
0,70,0,0,3,1,1,23,2,1,0.5,0,10
0,50,1,0,1,0,2,23,2,1,1.25,0,10
1,569,0,0,3,0,2,27,2,0,23.5,0,1
1,1062,2,0,3,0,2,18,2,1,17.25,1,8
1,352,1,0,5,2,1,24,2,0,17.0,0,1
0,50,0,0,2,0,1,19,2,0,1.0,0,2
0,70,0,0,6,0,1,18,2,0,0.5,1,10
0,4052,2,0,2,1,2,27,2,1,54.75,0,4
0,40,0,0,2,0,1,23,2,1,1.25,0,10
0,49,0,0,2,0,2,24,2,0,0.75,0,10
1,271,0,0,5,1,1,20,2,0,3.75,0,2
0,3663,0,0,1,0,1,23,2,1,1.5,0,1
1,510,2,1,3,0,1,26,2,1,6.75,0,8
1,521,2,1,2,2,2,17,2,1,5.75,1,3
0,73,0,0,3,0,1,20,2,1,1.25,0,10
0,202,1,0,1,1,2,29,2,1,2.75,0,1
1,509,2,1,3,0,1,21,2,0,8.75,0,1
0,427,0,0,1,0,2,22,2,1,11.0,0,1
1,2078,2,2,4,0,1,20,2,0,30.5,0,1
1,41,0,0,3,0,1,22,2,1,1.5,2,10
0,3814,2,0,4,0,1,23,2,0,1.5,0,1
0,175,0,0,1,0,1,28,2,0,4.5,0,1
1,230,2,0,4,0,1,19,2,0,10.5,0,1
0,280,0,0,1,1,1,29,2,1,17.5,0,1
1,2448,3,0,5,0,1,22,2,1,8.75,0,3
1,2257,1,1,5,0,1,20,2,1,24.5,0,1
0,70,0,0,4,0,2,22,2,1,0.5,2,2
0,70,0,1,3,0,1,17,2,0,0.5,0,10
1,518,1,1,5,0,2,19,2,1,6.5,0,1
1,496,2,1,4,2,2,20,2,1,3.25,0,1
1,3671,2,0,4,0,2,22,2,1,22.5,0,1
1,2434,2,0,5,0,2,18,2,0,27.5,1,1
0,73,0,0,4,0,1,20,2,0,0.75,0,10
0,68,1,0,3,0,1,23,2,1,0.75,0,10
0,454,0,0,1,1,2,29,2,0,10.5,1,1
0,94,1,0,2,1,2,22,2,1,2.0,0,2
1,400,0,0,5,1,1,20,2,0,26.5,2,1
1,4196,5,0,4,0,1,22,2,1,32.0,0,3
0,73,1,0,2,0,1,22,2,1,0.75,0,2
1,270,1,1,5,1,2,20,2,0,4.25,2,1
1,97,1,0,5,0,1,21,2,0,23.75,0,1
0,46,0,0,1,0,1,32,2,1,1.0,0,10
0,265,2,1,2,0,1,41,0,1,6.0,0,2
0,103,0,0,2,1,1,23,2,1,2.75,0,1
0,2420,0,0,2,1,1,21,2,0,24.0,0,1
0,273,0,0,1,1,1,25,2,1,4.5,1,1
0,65,0,0,2,0,1,22,2,1,2.0,0,10
0,72,0,0,4,0,1,22,2,1,1.0,0,10
1,3811,2,0,5,0,1,19,2,0,6.0,0,1
0,50,0,0,2,1,1,31,2,0,25.75,0,7
0,74,0,0,5,0,1,21,2,1,1.25,0,10
0,68,0,0,3,0,2,21,2,0,0.75,0,10
1,2255,2,1,2,2,1,44,2,1,22.0,2,5
1,42,2,0,3,0,2,24,2,1,1.0,0,10
1,3687,2,1,3,0,2,18,2,1,7.5,0,1
0,73,0,0,2,1,1,19,2,1,0.5,0,10
0,42,0,0,2,1,1,25,0,0,1.0,2,10
0,175,1,0,2,1,2,23,2,1,5.25,0,1
1,222,1,2,2,0,1,39,2,1,6.0,0,1
0,53,0,0,1,0,2,22,2,0,1.25,0,10
0,50,0,0,2,0,2,22,2,0,1.0,0,10
1,4023,3,0,4,0,1,19,2,1,5.25,0,8
1,172,1,0,2,0,1,57,1,1,4.0,3,1
0,46,0,0,1,0,1,22,2,1,0.75,0,10
1,2395,1,1,3,0,2,19,2,1,13.0,0,8
0,147,1,0,3,0,2,24,2,1,5.25,0,1
0,73,1,0,2,1,2,22,2,1,1.25,0,2
1,328,2,2,4,2,1,19,2,1,13.5,0,1
1,3674,2,0,4,2,2,21,2,0,18.0,2,1
0,68,1,0,3,0,2,19,2,1,0.75,2,2
1,322,3,0,3,2,1,23,2,1,12.25,0,1
1,68,0,1,3,0,2,19,2,0,22.0,0,1
1,145,1,0,3,2,1,19,2,0,6.0,0,1
1,3690,3,0,5,0,1,22,1,0,21.25,0,1
1,4017,4,0,4,0,1,19,2,1,9.75,0,3
0,103,1,0,5,0,1,28,2,1,2.5,0,2
1,3809,1,0,4,0,1,19,2,0,7.0,0,3
1,3678,1,2,3,0,1,19,2,1,24.25,1,1
1,120,1,1,3,1,1,20,2,1,6.75,0,1
0,71,0,0,1,0,1,20,2,1,0.75,0,10
0,62,0,0,2,1,1,22,2,1,2.75,0,1
0,3663,0,0,2,1,1,22,2,0,1.5,1,10
0,73,0,0,3,0,1,21,2,0,0.75,0,10
1,269,1,2,2,2,1,39,2,1,5.5,0,1
1,3436,1,0,5,0,2,18,2,1,22.25,1,3
1,237,2,0,3,0,2,20,2,1,9.25,0,1
0,73,0,0,2,1,2,28,2,0,22.25,0,1
