Campus,Zone
Story Arts Centre ,282
Ashtonbee Campus,526
Progress Campus,493
Morningside Campus,564
Downsview Campus,419
Eglinton Learning Site,200
Pickering Learning Site,1042
Performing Arts Commons at Daniels Spectrum,18
Oshawa Campus,1179
Whitby Campus,1148
McMaster Campus,5198
Burlington Campus/Ron Joyce Centre,4069
Fennell Campus (Main Campus),5142
Stoney Creek Campus ,5119
Institute for Applied Health Sciences,5198
Downtown Oshawa Campus,1208
North Oshawa Campus,1179
"Davis Campus, Brampton",3325
"Hazel McCallion Campus, Mississauga",3842
"Trafalgar Road Campus, Oakville",4029
Mississauga Campus,3631
Scarborough Campus,566
St. George Campus,69
Keele Campus,391
Glendon Campus,225
Ryerson University,38
OCAD University,67
