Code,Name
1,ST JOHNS-KILMARNOCK SCHOOL  --
10,ST JOHNS COLLEGE  --
100,DALHOUSIE STREET RESIDENCE  --
1000,PLAINVILLE PUBLIC SCHOOL  --
1001,AGINCOURT COLLEGIATE INSTITUTE  --
1002,AGINCOURT JUNIOR PUBLIC SCHOOL  --
1003,AGNES MACPHAIL PUBLIC SCHOOL  --
1004,ALBERT CAMPBELL COLLEGIATE INSTITUTE  --
1005,ALEXMUIR JUNIOR PUBLIC SCHOOL  --
1006,ANSON TAYLOR JUNIOR PUBLIC SCHOOL  --
1007,BERNER TRAIL JUNIOR PUBLIC SCHOOL  --
1008,AGINCOURT MONTESSORI SCHOOL  --
1009,BRIDLEWOOD JUNIOR PUBLIC SCHOOL  --
101,DALHOUSIE YOUTH SUPPORT SERVICES  --
1010,BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL  --
1011,BROOKMILL BOULEVARD JUNIOR PUBLIC SCHOOL  --
1012,BURROWS HALL JUNIOR PUBLIC SCHOOL  --
1013,ANGEL MONTESSORI SCHOOL  --
1014,CHARTLAND JUNIOR PUBLIC SCHOOL  --
1015,CHESTER LE JUNIOR PUBLIC SCHOOL  --
1016,DAVID LEWIS PUBLIC SCHOOL  --
1017,DR MARION HILLIARD SENIOR PUBLIC SCHOOL  --
1018,DR NORMAN BETHUNE COLLEGIATE INSTITUTE  --
1019,FAIRGLEN JUNIOR PUBLIC SCHOOL  --
102,DAVID LEEDER MIDDLE SCHOOL  --
1020,GREY OWL JUNIOR PUBLIC SCHOOL  --
1021,HENRY KELSEY SENIOR PUBLIC SCHOOL  --
1023,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL  --
1024,IROQUOIS JUNIOR PUBLIC SCHOOL  --
1025,J B TYRRELL SENIOR PUBLIC SCHOOL  --
1026,JOHN BUCHAN SENIOR PUBLIC SCHOOL  --
1027,L'AMOREAUX COLLEGIATE INSTITUTE  --
1028,LYNNGATE JUNIOR PUBLIC SCHOOL  --
1029,LYNNWOOD HEIGHTS PUBLIC SCHOOL  --
1030,MILLIKEN PUBLIC SCHOOL  --
1031,NORTH AGINCOURT JUNIOR PUBLIC SCHOOL  --
1032,NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL  --
1034,PAULINE JOHNSON JUNIOR PUBLIC SCHOOL  --
1035,PERCY WILLIAMS JUNIOR SCHOOL  --
1036,PORT ROYAL PUBLIC SCHOOL  --
1037,SILVER SPRINGS PUBLIC SCHOOL  --
1038,SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL  --
1039,SIR JOHN A MACDONALD COLLEGIATE INSTITUTE  --
104,DERRY WEST VILLAGE PUBLIC SCHOOL  --
1040,SIR SAMUEL B STEELE PUBLIC SCHOOL  --
1041,SIR WILLIAM OSLER HIGH SCHOOL  --
1042,ST BARTHOLOMEW SEPARATE SCHOOL  --
1044,ST MARGUERITE BOURGEOYS SEPARATE SCHOOL  --
1045,STEPHEN LEACOCK COLLEGIATE INSTITUTE  --
1046,TAM OSHANTER JUNIOR PUBLIC SCHOOL  --
1047,TERRY FOX PUBLIC SCHOOL  --
1048,TIMBERBANK JUNIOR PUBLIC SCHOOL  --
105,DISCOVERY PUBLIC SCHOOL  --
1050,VRADENBURG JUNIOR PUBLIC SCHOOL  --
1051,WHITE HAVEN JUNIOR PUBLIC SCHOOL  --
106,DON VALLEY JUNIOR HIGH SCHOOL  --
1060,ACADEMY OF LEARNING - LAWRENCE  --
1062,BAYVIEW GLEN PRIVATE SCHOOL  --
1063,JOHN XXIII SEPARATE SCHOOL  --
1064,MARC GARNEAU COLLEGIATE INSTITUTE  --
1065,CRESTWOOD SCHOOL  --
1066,SENATOR OCONNOR COLLEGE SCHOOL  --
1067,ST BONAVENTURE CATHOLIC SCHOOL  --
1068,ST CATHERINE SEPARATE SCHOOL  --
1069,ST ISSAC JOGUES SEPARATE SCHOOL  --
107,DONALD A WILSON SECONDARY SCHOOL  --
1071,VALLEY PARK MIDDLE SCHOOL  --
108,DR C F CANNON PUBLIC SCHOOL  --
1082,BLESSED MARGHERITA OF CITTA CASTELLO SEPARATE SCHOOL  --
1085,LAMBERTON PUBLIC SCHOOL  --
1086,MADONNA CATHOLIC SECONDARY SCHOOL  --
1088,ST AUGUSTINE OF CANTERBURY SEPARATE SCHOOL  --
109,DR G J MACGILLIVRAY PUBLIC SCHOOL  --
1090,ST CHARLES GARNIER SEPARATE SCHOOL  --
1091,ST CONRAD CATHOLIC SCHOOL  --
1092,ST FRANCIS DE SALES SCHOOL  --
1093,ST GERARD MAJELLA CATHOLIC SCHOOL  --
1094,ST JANE FRANCES CATHOLIC SCHOOL  --
1095,ST JEROME SEPARATE SCHOOL  --
1096,ST MARTHA CATHOLIC SCHOOL  --
1097,ST NORBERT SEPARATE SCHOOL  --
1098,ST PHILIP NERI SEPARATE SCHOOL  --
1099,ST RAPHAEL SEPARATE SCHOOL  --
11,CANADIAN INSTITUTE OF FLORAL DESIGN  --
110,DRAYTON HEIGHTS PUBLIC SCHOOL  --
1100,ST ROBERT CATHOLIC SCHOOL  --
1101,ST WILFRID SEPARATE SCHOOL  --
1102,BNEI AKIVA SCHOOL  --
1103,COMMUNITY HEBREW ACADEMY OF TORONTO  --
111,DUNTROON CENTRAL PUBLIC SCHOOL  --
1110,ST CLEMENTS SCHOOL  --
1111,YORK HUMBER HIGH SCHOOL  --
1112,STERLING HALL  --
1113,EITZ CHAIM SCHOOL  --
1114,YORK SCHOOL  --
1115,UPPER CANADA COLLEGE  --
1116,ST COSMAS & DAMIAN ELEMENTARY SCHOOL  --
112,DURHAM CATHOLIC DISTRICT SCHOOL BOARD NIGHT SCHOOL  --
1121,CRESCENT TOWN PUBLIC SCHOOL  --
1122,EAST YORK ALTERNATIVE HIGH SCHOOL  --
1123,ARIANOX BUSINESS & TECHNOLOGY COLLEGE (DUFFERIN)  --
1124,MONSEIGNEUR DE CHARBONNEL  --
113,ERNEST C DRURY ELEMENTARY SCHOOL  --
1130,DIXON GROVE ELEMENTARY SCHOOL  --
1131,ACADEMY OF LEARNING - ETOBICOKE (ALBION)  --
1135,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL  --
1136,BLOORDALE MIDDLE SCHOOL  --
1137,BRAEBURN JUNIOR ELEMENTARY SCHOOL  --
1138,BRIARCREST JUNIOR SCHOOL  --
1139,BROADACRES JUNIOR PUBLIC SCHOOL  --
114,ERNEST C DRURY HIGH SCHOOL  --
1141,CHILDRENS AID SOCIETY - ETOBICOKE  --
1144,DAVID HORNELL JUNIOR SCHOOL  --
1145,DON BOSCO CATHOLIC SECONDARY SCHOOL  --
1146,EATONVILLE JUNIOR PUBLIC SCHOOL  --
1147,ECOLE SAINTE MARGUERITE DYOUVILLE  --
1148,ELMLEA JUNIOR SCHOOL  --
1149,FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL  --
115,EAGLE RIDGE PUBLIC SCHOOL  --
1151,HOLLYCREST MIDDLE SCHOOL  --
1152,HOLY CHILD CATHOLIC SCHOOL  --
1153,HUMBER VALLEY VILLAGE JUNIOR & MIDDLE SCHOOL  --
1154,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY  --
1155,JOHN ENGLISH JUNIOR & MIDDLE SCHOOL  --
1156,KIPLING COLLEGIATE INSTITUTE  --
1157,LAKESHORE COLLEGIATE INSTITUTE  --
1158,LAMBTON-KINGSWAY JUNIOR MIDDLE SCHOOL  --
1159,MARIAN ACADEMY SECONDARY SCHOOL  --
116,EAST METRO - SCARBOROUGH  --
1160,MARTINGROVE COLLEGIATE INSTITUTE  --
