HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
133,134,2621,17,M,N,O,O,S,1,2,3,2,35.92,B,800
264,25,9244,19,M,N,O,O,S,2,3,5,0,42.03,B,1300
38,25,9243,22,M,Y,S,P,S,0,3,2,0,21.01,W,1000
1039,25,9244,26,M,Y,O,O,S,3,7,5,1,16.17,D,700
613,25,9244,19,M,Y,O,O,S,1,2,4,0,44.06,B,645
4160,4160,9998,21,M,Y,M,P,P,4,7,3,0,32.75,9,-1
5061,5093,7527,17,M,Y,O,O,S,2,4,2,3,37.29,S,720
2053,25,9244,31,F,Y,G,F,P,1,7,2,0,12.52,9,-1
5129,5198,9011,22,M,Y,O,O,S,2,1,4,0,110.4,B,840
135,38,9031,32,F,Y,G,F,P,4,6,5,0,9.47,9,-1
212,38,9031,30,F,Y,S,P,P,0,3,2,0,22.88,9,-1
606,25,9244,24,F,Y,G,P,S,2,4,4,0,22.65,B,700
523,38,9031,20,M,Y,S,P,S,2,3,3,1,39.6,B,600
186,5198,9011,20,F,Y,O,O,S,2,6,4,0,16.42,9,-1
4025,25,9244,20,F,Y,S,P,S,2,4,2,1,114.94,9,-1
596,38,9031,21,F,Y,S,P,S,1,2,2,0,31.93,B,800
3683,5198,9011,23,M,Y,O,O,S,2,7,3,0,23.59,B,1200
2258,38,9031,20,M,Y,O,O,S,3,4,4,0,41.19,B,800
46,38,9031,25,M,Y,O,O,S,2,7,2,0,26.72,B,1510
47,25,9244,32,M,N,P,F,P,0,3,1,0,28.94,9,-1
435,38,9031,26,F,Y,S,P,P,1,2,4,2,38.6,B,700
327,38,9031,22,M,Y,O,O,S,2,7,3,0,127.77,B,1030
4057,5119,9270,42,M,Y,M,F,P,2,5,2,2,44.41,9,-1
5133,38,9031,59,F,Y,P,F,P,3,5,4,0,31.59,9,-1
5074,5168,9272,41,F,Y,S,P,S,1,2,3,0,61.1,D,845
3810,25,9244,20,F,Y,O,O,S,3,7,5,1,15.01,G,740
161,25,9244,19,F,N,O,O,S,1,4,5,0,23.86,B,800
409,25,9244,24,F,Y,P,P,P,0,2,3,0,46.49,9,-1
400,25,9244,20,M,N,O,O,S,0,1,3,0,29.11,9,-1
105,25,9243,56,M,N,P,F,P,0,6,2,0,4.72,9,-1
4108,5198,9011,21,F,Y,S,P,S,3,5,3,0,24.62,D,800
2235,2236,4324,17,M,N,O,O,S,2,6,2,1,24.3,C,1000
551,25,9244,23,M,N,O,O,S,2,6,4,0,12.55,B,1125
3375,38,9031,39,F,Y,O,O,P,2,4,4,4,42.8,9,-1
5050,5198,9011,21,M,Y,O,O,S,2,4,3,0,33.97,D,830
3648,5198,9011,19,F,Y,O,O,S,2,5,3,1,15.71,9,-1
3714,231,9022,27,F,Y,S,P,S,1,3,1,1,15.74,9,-1
122,38,9031,47,M,Y,P,F,P,0,7,1,0,24.08,9,-1
154,38,9031,19,F,Y,O,O,S,2,6,3,1,17.89,B,645
531,25,9244,24,F,N,S,P,S,0,4,4,0,20.41,9,-1
3810,25,9244,24,M,Y,O,O,S,2,3,4,0,22.35,B,630
71,38,9031,34,M,Y,S,P,S,1,6,2,0,26.24,B,900
4120,2667,9290,19,M,Y,S,P,S,2,4,3,1,23.16,D,700
4108,38,9031,25,M,Y,O,O,P,2,6,3,0,8.87,9,-1
2255,38,9031,44,F,Y,P,P,P,3,2,5,1,19.52,9,-1
3379,38,9031,22,M,Y,O,O,S,4,4,5,0,34.78,9,-1
5166,5198,9011,23,F,Y,P,P,S,2,2,7,0,28.93,B,730
2132,2667,9290,26,F,Y,O,O,S,3,7,4,0,15.92,9,-1
2121,430,S441,36,F,Y,O,O,S,1,4,2,0,24.04,9,-1
5186,5198,9011,28,F,Y,P,F,S,1,4,1,0,48.41,9,-1
2399,2398,4144,17,F,Y,O,O,S,1,3,2,1,125.52,W,900
2229,231,9022,34,F,Y,G,F,P,3,2,2,1,14.99,9,-1
38,25,9244,18,F,N,O,O,S,0,1,2,0,37.3,W,1000
158,38,9031,21,F,Y,S,P,S,1,2,4,6,24.57,W,1100
158,38,9031,19,F,Y,S,P,S,1,2,4,6,24.57,B,700
38,25,9244,18,M,Y,O,O,S,0,1,2,0,36.77,C,745
5175,5198,9011,19,M,Y,P,P,S,1,1,4,0,10.18,9,-1
3690,25,9244,19,M,Y,O,O,S,2,4,5,0,18.83,J,900
463,25,9244,21,M,Y,O,O,S,2,4,4,0,23.11,B,800
35,38,9031,83,F,N,O,O,P,1,4,2,0,9.82,W,940
464,5198,9011,23,M,Y,O,O,S,1,7,3,0,21.09,9,-1
5166,5198,9011,24,F,Y,P,P,S,1,3,2,0,45.56,B,910
93,38,9031,30,M,Y,P,F,P,3,4,2,0,55.21,9,-1
2616,38,9031,20,F,Y,S,P,S,2,6,3,0,32.23,B,730
5135,5198,9011,26,F,Y,P,P,S,1,4,2,0,61.24,B,800
5158,5198,9011,19,F,N,O,O,S,2,5,3,0,33.9,B,1015
3657,3851,9309,23,M,Y,O,O,S,0,7,3,0,63.05,B,1120
2108,371,9261,18,F,Y,O,O,S,5,6,5,0,39.85,D,700
118,69,9103,34,M,Y,P,P,S,1,3,2,0,23.11,9,-1
3381,69,9103,21,F,Y,G,P,S,3,7,3,0,18.88,9,-1
46,69,9103,35,M,Y,P,P,S,0,2,2,2,61.72,9,-1
374,371,9261,23,F,N,O,O,S,2,2,4,0,16.87,9,-1
3656,371,9261,37,F,Y,G,F,P,2,5,2,1,7.45,9,-1
3686,371,9261,25,F,Y,O,O,S,2,3,2,0,15.7,D,830
2131,2203,4318,17,F,N,O,O,S,2,5,3,2,23.33,B,700
196,69,9103,75,M,Y,O,O,P,1,4,2,0,20.04,9,-1
3686,371,9261,20,M,Y,P,F,P,2,6,3,0,12.56,9,-1
1241,1199,E0297,20,F,Y,O,O,S,3,4,4,0,73.27,9,-1
47,69,9103,20,F,N,O,O,S,0,7,2,0,22.65,W,1010
21,69,9103,29,M,Y,P,P,S,1,7,2,0,5.06,W,800
353,69,9103,21,M,Y,G,P,S,4,7,5,1,26.3,B,815
3622,371,9261,31,F,Y,S,F,P,2,4,5,0,14.61,9,-1
3337,371,9261,25,M,Y,S,P,P,2,2,3,0,4.74,9,-1
1106,1106,A006,17,F,Y,S,P,S,2,5,2,2,10.13,P,800
1219,1199,1556,22,F,Y,S,P,S,2,3,2,0,162.11,D,1030
41,69,9103,26,F,Y,O,O,S,1,7,2,0,23.63,9,-1
