sch_code__,School_Nam,GTA06,DAUID,Enrolment
8051,A K WIGG PUBLIC SCHOOL,6032,35260270,312
4121,ARMADALE PUBLIC SCHOOL,2427,35191024,669
S863,ABRAHAM ERB PUBLIC SCHOOL,7001,35301016,426
7201,A M CUNNINGHAM JUNIOR PUBLIC SCHOOL,5132,35250737,406
6301,ABBEY LANE PUBLIC SCHOOL,4040,35240298,352
S656,AR KAUFMAN PUBLIC SCHOOL,7001,35300717,415
A100,JOHN BRANT PUBLIC SCHOOL,6042,35260679,0
A153,DIAMOND TRAIL PUBLIC SCHOOL,,35260193,351
2010,ADAM BECK JUNIOR PUBLIC SCHOOL,252,35200650,501
8927,ADAM SCOTT INTERMEDIATE SCHOOL,8851,35150124,205
7206,ADELAIDE HOODLESS ALTERED HIGH SCHOOL,5150,35250727,412
3202,ADELAIDE MCLAUGHLIN PUBLIC SCHOOL,1190,35180207,281
8733,ADJALA CENTRAL PUBLIC SCHOOL,8551,35430807,222
C386,ROMEO DALLAIRE PUBLIC SCHOOL,2108,35191289,525
197,ADMIRAL COLLINGWOOD PUBLIC SCHOOL,8555,35430873,612
25,ADRIENNE CLARKSON PUBLIC SCHOOL,2251,35190440,608
1002,AGINCOURT JUNIOR PUBLIC SCHOOL,597,35200219,228
S816,AGNES G HODGE SCHOOL,8901,35290323,398
5102,AGNES TAYLOR PUBLIC SCHOOL,3515,35211283,691
3008,DUFFINS BAY PUBLIC SCHOOL,1096,35180559,272
1003,AGNES MACPHAIL PUBLIC SCHOOL,600,35200106,308
5023,JAMES BOLTON PUBLIC SCHOOL,3193,35211211,541
1421,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,372,35203072,450
30,ALDERSHOT ELEMENTARY SCHOOL,4051,35240396,255
E0373,ECOLE ELEMENTAIRE MICHAELLE JEAN,5007,35250173,155
3002,ALEXANDER GRAHAM BELL PUBLIC SCHOOL,1068,35180382,576
2013,ALEXANDER MUIR & GLADSTONE AVE PUBLIC SCHOOL,99,35201412,389
S645,RIVERVIEW ELEMENTARY,8901,35290069,125
8872,ALEXANDRA PUBLIC SCHOOL,8705,35160136,161
1005,ALEXMUIR JUNIOR PUBLIC SCHOOL,601,35204788,412
5029,ALLAN DRIVE MIDDLE SCHOOL,3192,35211635,573
7605,ALLAN A GREENLEAF ELEMENTARY SCHOOL,5229,35250892,455
8555,ALGONQUIN RIDGE PUBLIC SCHOOL,8501,35431119,574
5408,ALLAN A MARTIN SENIOR PUBLIC SCHOOL,3649,35210356,481
8502,ALLANDALE HEIGHTS PUBLIC SCHOOL,8501,35431010,336
2014,ALLENBY JUNIOR PUBLIC SCHOOL - TORONTO,191,35202941,799
1363,SENECA HILL PUBLIC SCHOOL,479,35200302,288
C041,ALLOA PUBLIC SCHOOL,3004,35210018,488
868,JOHN MCCRAE PUBLIC SCHOOL,2435,35191180,638
S869,ALPINE PUBLIC SCHOOL,7001,35300177,285
2015,ALPHA ALTERNATIVE ELEMENTARY SCHOOL,77,35204894,79
2111,DOWNTOWN ALTERNATIVE SCHOOL,26,35200833,112
1238,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,455,35204833,140
3302,ALTONA FOREST PUBLIC SCHOOL,1035,35181058,365
4601,ALDERGROVE PUBLIC SCHOOL,2425,35190650,618
E0421,OSCAR PETERSON PUBLIC SCHOOL,2709,35190982,593
E0024,LITTLE ROUGE PUBLIC SCHOOL,2457,35191174,485
1233,ANCASTER PUBLIC SCHOOL,422,35202162,104
7002,ANCASTER SENIOR PUBLIC SCHOOL,5059,35250149,299
2017,ANNETTE STREET JUNIOR AND SENIOR PUBLIC SCHOOL,125,35201293,476
1512,ANSON PARK PUBLIC SCHOOL,545,35203284,227
1006,ANSON TAYLOR JUNIOR PUBLIC SCHOOL,606,35200064,220
E0172,ECOLE ELEMENTAIRE LA MOSAIQUE,263,35200573,418
3003,APPLECROFT PUBLIC SCHOOL,1076,35180371,325
1235,ARBOR GLEN PUBLIC SCHOOL,472,35202476,336
2145,GARDEN AVENUE JUNIOR PUBLIC SCHOOL,113,35201322,291
4204,ARMITAGE VILLAGE PUBLIC SCHOOL,2616,35190886,461
1237,ARMOUR HEIGHTS PUBLIC SCHOOL,195,35202398,333
8928,ARMOUR HEIGHTS PUBLIC SCHOOL - PETERBOROUGH,8851,35150120,229
5105,ARNOTT CHARLTON PUBLIC SCHOOL,3371,35212066,507
A007,CLARA HUGHES PUBLIC SCHOOL,1210,35180149,598
E0158,HARTMAN PUBLIC SCHOOL,2569,35191308,626
2515,ECOLE ELEMENTAIRE ALEXANDRE-DUMAS (I CHANGED),557,35203668,187
5100,STANLEY MILLS PUBLIC SCHOOL,3385,35211749,463
E0027,PRINCE OF WALES ELEMENTARY,5165,35250721,662
4122,ASHTON MEADOWS PUBLIC SCHOOL,2383,35190561,298
E0306,CARBERRY PUBLIC SCHOOL,3380,35212146,651
4019,AURORA GROVE PUBLIC SCHOOL,2563,35190871,391
4001,AURORA HEIGHTS PUBLIC SCHOOL,2557,35190132,386
A379,WELLINGTON PUBLIC SCHOOL,,35190162,431
S785,AVENUE ROAD PUBLIC SCHOOL,7237,35300502,495
S649,AYR PUBLIC SCHOOL,7001,35300802,210
2021,BALA AVENUE COMMUNITY SCHOOL,140,35204444,249
4421,BALLANTRAE PUBLIC SCHOOL,2718,35190966,268
5106,BALMORAL DRIVE SENIOR PUBLIC SCHOOL,3356,35210117,560
2022,BALMY BEACH COMMUNITY SCHOOL,253,35203800,393
S677,BANBURY HEIGHTS SCHOOL,8901,35290223,430
E0338,SOUTHFIELDS VILLAGE PUBLIC SCHOOL,3010,35211225,976
1513,BANTING & BEST PUBLIC SCHOOL,600,35200127,390
8515,ECOLE LA SOURCE,8501,35431353,357
5413,BARONDALE PUBLIC SCHOOL,3690,35211496,564
8828,BIRCHVIEW DUNES ELEMENTARY SCHOOL,8555,35430934,685
A003,CASTLE OAKS PUBLIC SCHOOL,3337,35212149,526
4305,BAYVIEW HILL ELEMENTARY SCHOOL,2255,35190540,775
597,ALEXANDERS PUBLIC SCHOOL,4079,35240686,726
50,BOBBY ORR PUBLIC SCHOOL,1224,35180627,262
51,BOLTON C FALBY PUBLIC SCHOOL,1095,35181052,585
S731,BRANLYN COMMUNITY ELEMENTARY,8901,35290129,304
4507,BROWNRIDGE PUBLIC SCHOOL,2123,35190277,384
S791,BRIGADOON PUBLIC SCHOOL,7001,35300880,533
S722,BADEN PUBLIC SCHOOL,7001,35300776,687
8724,BAXTER CENTRAL SCHOOL,8551,35430742,321
A169,COUNTRYSIDE VILLAGE PUBLIC SCHOOL,,35212145,0
1240,BAYCREST PUBLIC SCHOOL,181,35202151,128
4503,BAYTHORN PUBLIC SCHOOL,2357,35190312,528
4504,BAYVIEW FAIRWAYS PUBLIC SCHOOL,2365,35190422,239
4505,BAYVIEW GLEN PUBLIC SCHOOL,2364,35190426,286
3303,BAYVIEW HEIGHTS PUBLIC SCHOOL,1052,35180456,375
43,BAYVIEW PUBLIC SCHOOL,8555,35430573,297
1241,BAYVIEW MIDDLE SCHOOL,462,35200394,411
2024,BEACHES ALTERNATIVE JUNIOR SCHOOL,252,35203887,65
5107,BEATTY-FLEMING SENIOR PUBLIC SCHOOL,3346,35211358,401
1135,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,374,35201861,636
3205,BEAU VALLEY PUBLIC SCHOOL,1187,35180322,279
3051,BEAVERTON PUBLIC SCHOOL,1325,35180850,167
2027,BEDFORD PARK PUBLIC SCHOOL,214,35202373,754
8661,TECUMSETH BEETON PUBLIC SCHOOL,8551,35430818,380
5011,BELFOUNTAIN PUBLIC SCHOOL,3102,35211632,135
1514,BELLMERE JUNIOR PUBLIC SCHOOL,497,35203376,389
E0350,BELLMOORE PUBLIC ELEMENTARY SCHOOL,5009,35251027,896
S887,BELLVIEW - JOSEPH BRANT SCHOOL - TENTH,8901,35290244,256
7501,BILLY GREEN ELEMENTARY SCHOOL,5053,35250196,461
3503,BELLWOOD PUBLIC SCHOOL,1147,35180222,432
1516,BENDALE JUNIOR PUBLIC SCHOOL,497,35203382,418
2028,BENNINGTON HEIGHTS PUBLIC SCHOOL,284,35200746,189
1007,BERNER TRAIL JUNIOR PUBLIC SCHOOL,613,35204747,313
8201,BERTIE PUBLIC SCHOOL,6042,35260676,225
2030,BESSBOROUGH DRIVE PUBLIC SCHOOL,217,35202644,500
4307,BEVERLEY ACRES PUBLIC SCHOOL,2242,35190532,642
7401,BEVERLY CENTRAL & LYNDEN PUBLIC SCHOOL,5216,35250934,173
S303,BEVERLY GLEN JUNIOR PUBLIC SCHOOL,588,35203921,463
1242,BEVERLEY HEIGHTS MIDDLE SCHOOL,411,35201966,426
8865,RIDGEWOOD PUBLIC SCHOOL,8701,35160103,210
1518,BIRCH CLIFF PUBLIC SCHOOL,542,35203253,355
5108,BIRCHBANK PUBLIC SCHOOL,3356,35210115,360
1517,BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,544,35203261,258
4451,BLACK RIVER PUBLIC SCHOOL,2868,35190018,246
1243,BLACKSMITH PUBLIC SCHOOL,389,35202059,217
7111,BALACLAVA PUBLIC SCHOOL,5226,35250872,371
S883,BLAIR ROAD PUBLIC SCHOOL,7237,35300663,268
2034,BLAKE STREET PUBLIC SCHOOL,273,35200704,312
1520,BLANTYRE PUBLIC SCHOOL,539,35200646,274
1244,BLAYDON PUBLIC SCHOOL,413,35202171,181
1521,BLISS CARMAN SENIOR PUBLIC SCHOOL,548,35203286,286
42,BAKERSFIELD PUBLIC SCHOOL,2128,35191314,639
E0343,FOSSIL HILL PUBLIC SCHOOL,2055,35191330,639
1136,BLOORDALE MIDDLE SCHOOL,326,35204098,290
1201,BLOORLEA MIDDLE SCHOOL,329,35204251,253
4731,BLUE WILLOW PUBLIC SCHOOL,2060,35191097,596
2038,BLYTHWOOD PUBLIC SCHOOL,213,35202350,388
4205,BOGART PUBLIC SCHOOL,2619,35190936,598
