Code,Inst,Grad/Adult,Short,Name
9001,BR,0,Brock Main,BROCK UNIVERSITY --500 GLENRIDGE AVE ST CATHARINES
749,BR,0,Brock Sheridan,BROCK UNIVERSITY AT SHERIDAN
9601,CG,0,Conestoga Doon,CONESTOGA COLLEGE - DOON CAMPUS --299 DOON VALLEY DR KITCHENER
9203,CT,0,Centennial Ashtonbee,CENTENNIAL COLLEGE - ASHTONBEE --75 ASHTONBEE RD TORONTO
368,CT,0,Centennial Morningside,CENTENNIAL COLLEGE - MORNINGSIDE  --
9206,CT,0,Centennial Progress,CENTENNIAL COLLEGE - PROGRESS --941 PROGRESS AVE TORONTO
9464,CT,0,Centennial Progress,CENTENNIAL COLLEGE-PROGRESS (COMMUNITY PROGRESS)
9201,CT,0,Centennial Story Arts,CENTENNIAL COLLEGE - BELL CENTRE  --
C507,DU,0,Durham Oshawa,DURHAM COLLEGE - OSHAWA
9235,DU,0,Durham Whitby,DURHAM COLLEGE - WHITBY (SKILL TRAINING CTR) --1610 CHAMPLAIN AVE WHITBY
9241,GB,1,George Brown Casa Loma,GEORGE BROWN COLLEGE - ADMINISTRATION
9242,GB,0,George Brown Casa Loma,GEORGE BROWN COLLEGE - CASA LOMA --160 KENDAL AVE TORONTO
9243,GB,0,George Brown St. James,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
C201,GB,0,George Brown St. James,GEORGE BROWN COLLEGE - RYERSON CAMPUS
9244,GB,0,George Brown St. James,GEORGE BROWN COLLEGE - ST JAMES --200 KING ST E TORONTO
E0333,GB,0,George Brown Waterfront,GEORGE BROWN COLLEGE - WATERFRONT --51 DOCKSIDE DR TORONTO
9256,GE,0,Georgian Kempenfelt,GEORGIAN COLLEGE - BARRIE KEMPENFELT --3722 FAIRWAY RD INNISFIL
9251,GE,0,Georgian Main,GEORGIAN COLLEGE - BARRIE MAIN --1 GEORGIAN DR BARRIE
9255,GE,0,Georgian Orillia,GEORGIAN COLLEGE - ORILLIA --825 MEMORIAL AVE ORILLIA
384,GU,0,Guelph Humber,UNIVERSITY OF GUELPH AT HUMBER --207 HUMBER COLLEGE BLVD TORONTO
369,GU,0,Guelph Humber,UNIVERSITY OF HUMBER GUELPH --207 HUMBER COLLEGE BLVD TORONTO
9051,GU,0,Guelph Main,UNIVERSITY OF GUELPH --50 STONE RD E GUELPH
S397,HU,0,Humber Lakeshore,HUMBER COLLEGE - LAKESHORE CAMPUS  --
9261,HU,0,Humber North,HUMBER COLLEGE - NORTH CAMPUS --205 HUMBER COLLEGE BLVD TORONTO
E0297,IT,0,UOIT Downtown,UOIT - DOWNTOWN CAMPUS  --
9231,IT,0,UOIT Oshawa,UOIT MAIN CAMPUS - DURHAM COLLEGE --2000 SIMCOE ST N OSHAWA
E0254,LK,0,Lakehead Orillia,LAKEHEAD UNIVERSITY - ORILLIA CAMPUS --500 UNIVERSITY AVE ORILLIA
E0328,MC,0,McMaster Burlington,MCMASTER UNIVERSITY - DEGROOTE SCHOOL OF BUSINESS --4350 SOUTH SERVICE RD BURLINGTON
C294,MC,1,McMaster Hamilton,MCMASTER - CENTRE FOR CONTINUING EDUCATION
E0436,MC,0,McMaster Main,INSTITUTE FOR APPLIED HEALTH SCIENCES - MOHAWK/MCMASTER
9011,MC,0,McMaster Main,MCMASTER UNIVERSITY --1280 MAIN ST W HAMILTON
7290,MC,0,McMaster Main,MCMASTER UNIVERSITY MEDICAL CENTRE SCHOOL
E0347,MC,0,McMaster Waterloo,MCMASTER UNIVERSITY - WATERLOO REGIONAL CAMPUS --10 VICTORIA ST S KITCHENER
9273,MO,0,Mohawk Fennell,MOHAWK COLLEGE - FENNELL --135 FENNELL AVE W HAMILTON
9270,MO,0,Mohawk Stoney Creek,MOHAWK COLLEGE - STONEY CREEK --481 BARTON ST STONEY CREEK
735,MO,0,Mohawk Wentworth,MOHAWK COLLEGE - WENTWORTH CAMPUS 
9284,NI,0,Niagara Maid of the Mist,NIAGARA COLLEGE - MAID OF THE MIST CENTRE --5881 DUNN ST NIAGARA FALLS
9281,NI,0,Niagara Welland,NIAGARA COLLEGE - WELLAND --300 WOODLAWN RD WELLAND
9021,OC,0,OCAD,ONTARIO COLLEGE OF ART & DESIGN --100 MCCAUL ST TORONTO
9031,RY,0,Ryerson,RYERSON POLYTECHNIC UNIVERSITY --50 GOULD ST TORONTO
870,RY,0,Ryerson,RYERSON SCHOOL OF BUSINESS MANAGEMENT  --
9278,SE,0,Seneca Jane,SENECA COLLEGE - JANE
9290,SE,0,Seneca King,SENECA COLLEGE - KING --13990 DUFFERIN ST KING
503,SE,0,Seneca Markham,SENECA COLLEGE - MARKHAM CAMPUS  --
9291,SE,0,Seneca Newnham,SENECA COLLEGE - NEWNHAM --1750 FINCH AVE E TORONTO
C403,SE,0,Seneca Scarborough,SENECA COLLEGE - SCARBOROUGH
C405,SE,0,Seneca York,"SENECA COLLEGE - YORK UNIVERSITY CAMPUS -- 70 POND RD,TORONTO"
9275,SE,0,Seneca Yorkgate,SENECA COLLEGE - YORKGATE    
9302,SH,0,Sheridan Davis,SHERIDAN COLLEGE - DAVIS --7899 MCLAUGHLIN RD S BRAMPTON
9309,SH,0,Sheridan Mississauga,SHERIDAN COLLEGE - MISSISSAUGA --4180 DUKE OF YORK BLVD MISSISSAUGA
9303,SH,0,Sheridan Trafalgar,SHERIDAN COLLEGE - SKILLS TRAINING CENTRE
9301,SH,0,Sheridan Trafalgar,SHERIDAN COLLEGE - TRAFALGAR ROAD --1430 TRAFALGAR RD OAKVILLE
9041,TR,0,Trent Main,TRENT UNIVERSITY - MAIN/SYMONS --1600 WEST BANK DR PETERBOROUGH
9047,TR,0,Trent Oshawa,TRENT UNIVERSITY - OSHAWA  --
845,TS,0,Trios Mississauga,TRIOS COLLEGE-MISSISSAUGA (CITY CENTRE DR)
C468,TY,1,Tyndale,TYNDALE COLLEGE & THEOLOGICAL SEMINARY  --
9523,UT,1,Toronto St. George,MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCES
9101,UT,0,Toronto Mississauga,UNIVERSITY OF TORONTO -  MISSISSAUGA CAMPUS --3359 MISSISSAUGA RD N MISSISSAUGA
691,UT,0,Toronto Scarborough,SCARBOROUGH ADP (UTSC)
9102,UT,0,Toronto Scarborough,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS --1265 MILITARY TRAIL TORONTO
9028,UT,1,Toronto St. George,ONTARIO INSTITUTE FOR STUDIES IN EDUCATION
S241,UT,1,Toronto St. George,UNIVERSITY OF TORONTO - DENTISTRY 
9103,UT,0,Toronto St. George,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS --100 ST GEORGE ST TORONTO
901,UT,1,Toronto St. George,UNIVERSITY OF TORONTO PHYSICAL THRERAPY
2450,UT,0,Toronto St. George,UNIVERSITY OF TORONTO SCHOOLS  --
895,UT,1,Toronto St. George,WYCLIFFE COLLEGE
19,WL,0,Wilfrid Laurier Brantford,WILFRID LAURIER UNIVERSITY - BRANTFORD --73 ST GEORGE ST BRANTFORD
E0450,WL,0,Wilfrid Laurier Kitchener,WILFRID LAURIER UNIVERSITY - KITCHENER CAMPUS --120 DUKE ST W KITCHENER
9613,WL,0,Wilfrid Laurier Waterloo,WILFRID LAURIER UNIVERSITY --75 UNIVERSITY AVE W WATERLOO
9612,WT,0,Waterloo Cambridge,UNIVERSITY OF WATERLOO - CAMBRIDGE --7 MELVILLE ST S CAMBRIDGE
9611,WT,0,Waterloo Main,UNIVERSITY OF WATERLOO - MAIN --200 UNIVERSITY AVE W WATERLOO
9091,YK,0,York Glendon,YORK UNIVERSITY - GLENDON CAMPUS --2275 BAYVIEW AVE TORONTO
E0471,YK,1,York Keele,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS --4700 KEELE ST TORONTO
S118,YK,0,York Keele,SCHULICH SCHOOL OF BUSINESS
9092,YK,0,York Keele,YORK UNIVERSITY - YORK (KEELE & STEELES) --88 THE POND RD TORONTO
S161,YK,0,York Keele,YORK UNIVERSITY FACULTY OF EDUCATION
