,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
1,264,25,9244,19,M,N,O,O,S,2,3,5,0,42.03,B,1300,5.801714,6,GEORGE BROWN COLLEGE - ST JAMES
2,38,25,9243,22,M,Y,S,P,S,0,3,2,0,21.01,W,1000,1.52949,1,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
3,1039,25,9244,26,M,Y,O,O,S,3,7,5,1,16.17,D,700,32.20097,20,GEORGE BROWN COLLEGE - ST JAMES
4,613,25,9244,19,M,Y,O,O,S,1,2,4,0,44.06,B,645,23.50205,16,GEORGE BROWN COLLEGE - ST JAMES
7,2053,25,9244,31,F,Y,G,F,P,1,7,2,0,12.52,9,-1,32.69045,33,GEORGE BROWN COLLEGE - ST JAMES
8,5129,5198,9011,22,M,Y,O,O,S,2,1,4,0,110.4,B,840,6.428893,46,MCMASTER UNIVERSITY
9,135,38,9031,32,F,Y,G,F,P,4,6,5,0,9.47,9,-1,16.03554,3,RYERSON POLYTECHNIC UNIVERSITY
10,212,38,9031,30,F,Y,S,P,P,0,3,2,0,22.88,9,-1,6.553092,4,RYERSON POLYTECHNIC UNIVERSITY
11,606,25,9244,24,F,Y,G,P,S,2,4,4,0,22.65,B,700,23.0445,16,GEORGE BROWN COLLEGE - ST JAMES
12,523,38,9031,20,M,Y,S,P,S,2,3,3,1,39.6,B,600,15.25818,13,RYERSON POLYTECHNIC UNIVERSITY
13,186,5198,9011,20,F,Y,O,O,S,2,6,4,0,16.42,9,-1,68.09488,4,MCMASTER UNIVERSITY
14,4025,25,9244,20,F,Y,S,P,S,2,4,2,1,114.94,9,-1,34.889959999999995,39,GEORGE BROWN COLLEGE - ST JAMES
15,596,38,9031,21,F,Y,S,P,S,1,2,2,0,31.93,B,800,20.93772,16,RYERSON POLYTECHNIC UNIVERSITY
16,3683,5198,9011,23,M,Y,O,O,S,2,7,3,0,23.59,B,1200,40.51645,36,MCMASTER UNIVERSITY
17,2258,38,9031,20,M,Y,O,O,S,3,4,4,0,41.19,B,800,28.24117,29,RYERSON POLYTECHNIC UNIVERSITY
18,46,38,9031,25,M,Y,O,O,S,2,7,2,0,26.72,B,1510,1.368845,1,RYERSON POLYTECHNIC UNIVERSITY
19,47,25,9244,32,M,N,P,F,P,0,3,1,0,28.94,9,-1,3.120401,1,GEORGE BROWN COLLEGE - ST JAMES
20,435,38,9031,26,F,Y,S,P,P,1,2,4,2,38.6,B,700,15.343010000000001,11,RYERSON POLYTECHNIC UNIVERSITY
21,327,38,9031,22,M,Y,O,O,S,2,7,3,0,127.77,B,1030,16.60991,8,RYERSON POLYTECHNIC UNIVERSITY
22,4057,5119,9270,42,M,Y,M,F,P,2,5,2,2,44.41,9,-1,15.95951,40,MOHAWK COLLEGE - STONEY CREEK
23,5133,38,9031,59,F,Y,P,F,P,3,5,4,0,31.59,9,-1,71.81282,43,RYERSON POLYTECHNIC UNIVERSITY
25,3810,25,9244,20,F,Y,O,O,S,3,7,5,1,15.01,G,740,36.32829,36,GEORGE BROWN COLLEGE - ST JAMES
26,161,25,9244,19,F,N,O,O,S,1,4,5,0,23.86,B,800,10.32033,3,GEORGE BROWN COLLEGE - ST JAMES
27,409,25,9244,24,F,Y,P,P,P,0,2,3,0,46.49,9,-1,16.870739999999998,10,GEORGE BROWN COLLEGE - ST JAMES
28,400,25,9244,20,M,N,O,O,S,0,1,3,0,29.11,9,-1,19.81746,10,GEORGE BROWN COLLEGE - ST JAMES
29,105,25,9243,56,M,N,P,F,P,0,6,2,0,4.72,9,-1,7.567728,2,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
30,4108,5198,9011,21,F,Y,S,P,S,3,5,3,0,24.62,D,800,36.62417,38,MCMASTER UNIVERSITY
32,551,25,9244,23,M,N,O,O,S,2,6,4,0,12.55,B,1125,17.134510000000002,14,GEORGE BROWN COLLEGE - ST JAMES
33,3375,38,9031,39,F,Y,O,O,P,2,4,4,4,42.8,9,-1,40.54452,35,RYERSON POLYTECHNIC UNIVERSITY
34,5050,5198,9011,21,M,Y,O,O,S,2,4,3,0,33.97,D,830,11.9774,46,MCMASTER UNIVERSITY
35,3648,5198,9011,19,F,Y,O,O,S,2,5,3,1,15.71,9,-1,47.08021,36,MCMASTER UNIVERSITY
37,122,38,9031,47,M,Y,P,F,P,0,7,1,0,24.08,9,-1,9.495546,2,RYERSON POLYTECHNIC UNIVERSITY
38,154,38,9031,19,F,Y,O,O,S,2,6,3,1,17.89,B,645,12.87103,3,RYERSON POLYTECHNIC UNIVERSITY
39,531,25,9244,24,F,N,S,P,S,0,4,4,0,20.41,9,-1,14.32955,13,GEORGE BROWN COLLEGE - ST JAMES
40,3810,25,9244,24,M,Y,O,O,S,2,3,4,0,22.35,B,630,36.32829,36,GEORGE BROWN COLLEGE - ST JAMES
41,71,38,9031,34,M,Y,S,P,S,1,6,2,0,26.24,B,900,2.675173,1,RYERSON POLYTECHNIC UNIVERSITY
42,4120,2667,9290,19,M,Y,S,P,S,2,4,3,1,23.16,D,700,64.60284,38,SENECA COLLEGE - KING
43,4108,38,9031,25,M,Y,O,O,P,2,6,3,0,8.87,9,-1,48.8801,38,RYERSON POLYTECHNIC UNIVERSITY
44,2255,38,9031,44,F,Y,P,P,P,3,2,5,1,19.52,9,-1,24.73604,29,RYERSON POLYTECHNIC UNIVERSITY
45,3379,38,9031,22,M,Y,O,O,S,4,4,5,0,34.78,9,-1,37.90907,35,RYERSON POLYTECHNIC UNIVERSITY
46,5166,5198,9011,23,F,Y,P,P,S,2,2,7,0,28.93,B,730,2.120519,46,MCMASTER UNIVERSITY
47,2132,2667,9290,26,F,Y,O,O,S,3,7,4,0,15.92,9,-1,12.92371,33,SENECA COLLEGE - KING
49,5186,5198,9011,28,F,Y,P,F,S,1,4,1,0,48.41,9,-1,4.923166,46,MCMASTER UNIVERSITY
52,38,25,9244,18,F,N,O,O,S,0,1,2,0,37.3,W,1000,1.52949,1,GEORGE BROWN COLLEGE - ST JAMES
53,158,38,9031,21,F,Y,S,P,S,1,2,4,6,24.57,W,1100,10.41682,3,RYERSON POLYTECHNIC UNIVERSITY
54,158,38,9031,19,F,Y,S,P,S,1,2,4,6,24.57,B,700,10.41682,3,RYERSON POLYTECHNIC UNIVERSITY
55,38,25,9244,18,M,Y,O,O,S,0,1,2,0,36.77,C,745,1.52949,1,GEORGE BROWN COLLEGE - ST JAMES
56,5175,5198,9011,19,M,Y,P,P,S,1,1,4,0,10.18,9,-1,0.7319249999999999,46,MCMASTER UNIVERSITY
57,3690,25,9244,19,M,Y,O,O,S,2,4,5,0,18.83,J,900,27.35652,36,GEORGE BROWN COLLEGE - ST JAMES
58,463,25,9244,21,M,Y,O,O,S,2,4,4,0,23.11,B,800,14.49987,11,GEORGE BROWN COLLEGE - ST JAMES
59,35,38,9031,83,F,N,O,O,P,1,4,2,0,9.82,W,940,1.364572,1,RYERSON POLYTECHNIC UNIVERSITY
60,464,5198,9011,23,M,Y,O,O,S,1,7,3,0,21.09,9,-1,78.68078,11,MCMASTER UNIVERSITY
61,5166,5198,9011,24,F,Y,P,P,S,1,3,2,0,45.56,B,910,2.120519,46,MCMASTER UNIVERSITY
62,93,38,9031,30,M,Y,P,F,P,3,4,2,0,55.21,9,-1,3.235429,2,RYERSON POLYTECHNIC UNIVERSITY
63,2616,38,9031,20,F,Y,S,P,S,2,6,3,0,32.23,B,730,42.629329999999996,27,RYERSON POLYTECHNIC UNIVERSITY
64,5135,5198,9011,26,F,Y,P,P,S,1,4,2,0,61.24,B,800,7.7046899999999985,46,MCMASTER UNIVERSITY
65,5158,5198,9011,19,F,N,O,O,S,2,5,3,0,33.9,B,1015,3.1598599999999997,46,MCMASTER UNIVERSITY
66,3657,3851,9309,23,M,Y,O,O,S,0,7,3,0,63.05,B,1120,3.553611,36,SHERIDAN COLLEGE - MISSISSAUGA
67,2108,371,9261,18,F,Y,O,O,S,5,6,5,0,39.85,D,700,21.012420000000002,33,HUMBER COLLEGE - NORTH CAMPUS
68,118,69,9103,34,M,Y,P,P,S,1,3,2,0,23.11,9,-1,6.853555999999998,2,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
