HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
264,25,9244,19,M,N,O,O,S,2,3,5,0,42.03,B,1300
38,25,9243,22,M,Y,S,P,S,0,3,2,0,21.01,W,1000
1039,25,9244,26,M,Y,O,O,S,3,7,5,1,16.17,D,700
613,25,9244,19,M,Y,O,O,S,1,2,4,0,44.06,B,645
5129,5198,9011,22,M,Y,O,O,S,2,1,4,0,110.4,B,840
606,25,9244,24,F,Y,G,P,S,2,4,4,0,22.65,B,700
523,38,9031,20,M,Y,S,P,S,2,3,3,1,39.6,B,600
596,38,9031,21,F,Y,S,P,S,1,2,2,0,31.93,B,800
3683,5198,9011,23,M,Y,O,O,S,2,7,3,0,23.59,B,1200
2258,38,9031,20,M,Y,O,O,S,3,4,4,0,41.19,B,800
46,38,9031,25,M,Y,O,O,S,2,7,2,0,26.72,B,1510
435,38,9031,26,F,Y,S,P,P,1,2,4,2,38.6,B,700
327,38,9031,22,M,Y,O,O,S,2,7,3,0,127.77,B,1030
5074,5168,9272,41,F,Y,S,P,S,1,2,3,0,61.1,D,845
3810,25,9244,20,F,Y,O,O,S,3,7,5,1,15.01,G,740
161,25,9244,19,F,N,O,O,S,1,4,5,0,23.86,B,800
4108,5198,9011,21,F,Y,S,P,S,3,5,3,0,24.62,D,800
551,25,9244,23,M,N,O,O,S,2,6,4,0,12.55,B,1125
5050,5198,9011,21,M,Y,O,O,S,2,4,3,0,33.97,D,830
154,38,9031,19,F,Y,O,O,S,2,6,3,1,17.89,B,645
3810,25,9244,24,M,Y,O,O,S,2,3,4,0,22.35,B,630
71,38,9031,34,M,Y,S,P,S,1,6,2,0,26.24,B,900
4120,2667,9290,19,M,Y,S,P,S,2,4,3,1,23.16,D,700
5166,5198,9011,23,F,Y,P,P,S,2,2,7,0,28.93,B,730
38,25,9244,18,F,N,O,O,S,0,1,2,0,37.3,W,1000
158,38,9031,21,F,Y,S,P,S,1,2,4,6,24.57,W,1100
158,38,9031,19,F,Y,S,P,S,1,2,4,6,24.57,B,700
38,25,9244,18,M,Y,O,O,S,0,1,2,0,36.77,C,745
3690,25,9244,19,M,Y,O,O,S,2,4,5,0,18.83,J,900
463,25,9244,21,M,Y,O,O,S,2,4,4,0,23.11,B,800
35,38,9031,83,F,N,O,O,P,1,4,2,0,9.82,W,940
5166,5198,9011,24,F,Y,P,P,S,1,3,2,0,45.56,B,910
2616,38,9031,20,F,Y,S,P,S,2,6,3,0,32.23,B,730
5135,5198,9011,26,F,Y,P,P,S,1,4,2,0,61.24,B,800
5158,5198,9011,19,F,N,O,O,S,2,5,3,0,33.9,B,1015
3657,3851,9309,23,M,Y,O,O,S,0,7,3,0,63.05,B,1120
2108,371,9261,18,F,Y,O,O,S,5,6,5,0,39.85,D,700
3686,371,9261,25,F,Y,O,O,S,2,3,2,0,15.7,D,830
47,69,9103,20,F,N,O,O,S,0,7,2,0,22.65,W,1010
21,69,9103,29,M,Y,P,P,S,1,7,2,0,5.06,W,800
353,69,9103,21,M,Y,G,P,S,4,7,5,1,26.3,B,815
1219,1199,1556,22,F,Y,S,P,S,2,3,2,0,162.11,D,1030
3649,371,9261,18,M,Y,S,P,S,2,4,3,1,21.86,P,930
68,69,9103,20,M,N,O,O,S,0,2,2,0,42.82,W,1500
334,69,9103,51,F,Y,G,F,P,2,3,2,0,10.41,W,1705
219,69,9103,24,F,N,O,O,S,2,6,4,0,32.61,B,745
104,69,9103,27,M,9,P,P,P,1,5,4,0,12.19,C,915
