Zone#,PD,X,Y
1,1,636296,4836132
2,1,635510,4835534
3,1,634958,4835662
4,1,634335,4835316
5,1,633670,4834990
6,1,634117,4834652
7,1,634924,4834244
8,1,634967,4834440
9,1,633380,4833146
10,1,633022,4833890
11,1,632800,4833557
12,1,632739,4834190
13,1,632195,4834055
14,1,632639,4834667
15,1,632236,4834402
16,1,632277,4834860
17,1,632219,4835261
18,1,632127,4835662
19,1,631823,4835894
20,1,631651,4836640
21,1,630967,4836423
22,1,631096,4835903
23,1,631309,4835452
24,1,631516,4835028
25,1,631509,4834482
26,1,631692,4834232
27,1,631925,4833912
28,1,631636,4833780
29,1,631885,4833778
30,1,631296,4833468
31,1,631455,4833778
32,1,631242,4833626
33,1,631083,4833457
34,1,631096,4833984
35,1,631010,4834144
36,1,630896,4834422
37,1,630800,4834726
38,1,630716,4835246
39,1,630692,4835830
40,1,630408,4835728
41,1,630510,4836384
42,1,630214,4836378
43,1,630260,4836668
44,1,629659,4837132
45,1,629786,4836542
46,1,630021,4836252
47,1,629785,4836271
48,1,630178,4835662
49,1,629960,4835595
50,1,630337,4835226
51,1,630035,4835118
52,1,630562,4834752
53,1,630218,4834582
54,1,630694,4834275
55,1,630413,4834190
56,1,630731,4834017
57,1,630508,4833952
58,1,630728,4833804
59,1,630815,4833527
60,1,630914,4833386
61,1,630847,4833241
62,1,630283,4833064
63,1,630237,4833652
64,1,629772,4833408
65,1,629953,4833746
66,1,629730,4834039
67,1,629675,4834540
68,1,629657,4835020
69,1,629163,4835675
70,1,629013,4836067
71,1,629037,4836520
72,1,628305,4836356
73,1,628412,4835780
74,1,628671,4835192
75,1,628802,4834790
76,1,629054,4834325
77,1,629124,4833844
78,1,629256,4833524
79,1,629490,4833354
80,1,629456,4832796
81,1,631130,4831847
82,1,629018,4832548
83,1,628567,4832567
84,1,628941,4832710
85,1,627961,4832578
86,1,627652,4832283
87,1,627261,4832254
88,1,627319,4832452
89,1,627145,4832944
90,1,628302,4833514
91,2,628379,4834098
92,2,628186,4834671
93,2,627964,4835326
94,2,627659,4836259
95,2,627108,4836176
96,2,627351,4835158
97,2,627374,4834436
98,2,627509,4833853
99,2,626911,4833698
100,2,626542,4834302
101,2,626317,4834846
102,2,626956,4834995
103,2,626669,4835922
104,2,626244,4835821
105,2,625703,4835692
106,2,624894,4835548
107,2,625688,4834635
108,2,626132,4833988
109,2,626104,4833440
110,2,626330,4832755
111,2,626477,4832263
112,2,625475,4832674
113,2,625116,4833234
114,2,625029,4834455
115,2,624666,4834278
116,2,624462,4835115
117,2,624003,4835756
118,2,623560,4835674
119,2,623809,4834828
120,2,623178,4833890
121,2,623959,4832652
122,2,622628,4833350
123,2,621705,4834559
124,2,622368,4834480
125,2,623111,4834898
126,2,622791,4835666
127,2,621800,4835624
128,2,620921,4835539
129,3,621638,4836216
130,3,620786,4837004
131,3,620471,4838528
132,3,619966,4839514
133,3,619028,4839927
134,3,619929,4840220
135,3,618525,4840737
136,3,620121,4841350
137,3,621091,4840960
138,3,620631,4840362
139,3,621085,4839497
140,3,621185,4838504
141,3,622019,4838741
142,3,621714,4837988
143,3,621731,4837228
144,3,622556,4837366
145,3,623092,4836664
146,3,623148,4836408
147,3,624364,4836444
148,3,623947,4837172
149,3,622900,4838010
