Unnamed: 0,HomeZone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Dist,Distance
1,264,19,2,0,1,2,2,1,5,0,1,5.801714,5.801714
2,38,22,2,1,2,2,0,1,2,0,10,1.52949,1.52949
3,1039,26,2,1,1,2,3,0,5,1,3,32.20097,32.20097
4,613,19,2,1,1,2,1,2,4,0,1,23.50205,23.50205
7,2053,31,1,1,3,1,1,0,2,0,0,32.69045,32.69045
8,5129,22,2,1,1,2,2,1,4,0,1,6.428893,6.428893
9,135,32,1,1,3,1,4,2,5,0,0,16.03554,16.03554
10,212,30,1,1,2,1,0,1,2,0,0,6.553092,6.553092
11,606,24,1,1,2,2,2,2,4,0,1,23.0445,23.0445
12,523,20,2,1,2,2,2,1,3,1,1,15.25818,15.25818
13,186,20,1,1,1,2,2,2,4,0,0,68.09488,68.09488
14,4025,20,1,1,2,2,2,2,2,1,0,34.889959999999995,34.889959999999995
15,596,21,1,1,2,2,1,2,2,0,1,20.93772,20.93772
16,3683,23,2,1,1,2,2,0,3,0,1,40.51645,40.51645
17,2258,20,2,1,1,2,3,2,4,0,1,28.24117,28.24117
18,46,25,2,1,1,2,2,0,2,0,1,1.368845,1.368845
19,47,32,2,0,3,1,0,1,1,0,0,3.120401,3.120401
20,435,26,1,1,2,1,1,2,4,2,1,15.343010000000001,15.343010000000001
21,327,22,2,1,1,2,2,0,3,0,1,16.60991,16.60991
22,4057,42,2,1,3,1,2,2,2,2,0,15.95951,15.95951
23,5133,59,1,1,3,1,3,2,4,0,0,71.81282,71.81282
24,5074,41,1,1,2,2,1,2,3,0,3,6.893901,6.893901
25,3810,20,1,1,1,2,3,0,5,1,4,36.32829,36.32829
26,161,19,1,0,1,2,1,2,5,0,1,10.32033,10.32033
27,409,24,1,1,2,1,0,2,3,0,0,16.870739999999998,16.870739999999998
28,400,20,2,0,1,2,0,1,3,0,0,19.81746,19.81746
29,105,56,2,0,3,1,0,2,2,0,0,7.567728,7.567728
30,4108,21,1,1,2,2,3,2,3,0,3,36.62417,36.62417
32,551,23,2,0,1,2,2,2,4,0,1,17.134510000000002,17.134510000000002
33,3375,39,1,1,1,1,2,2,4,4,0,40.54452,40.54452
34,5050,21,2,1,1,2,2,2,3,0,3,11.9774,11.9774
35,3648,19,1,1,1,2,2,2,3,1,0,47.08021,47.08021
36,3714,27,1,1,2,2,1,1,1,1,0,41.7229,41.7229
37,122,47,2,1,3,1,0,0,1,0,0,9.495546,9.495546
38,154,19,1,1,1,2,2,2,3,1,1,12.87103,12.87103
39,531,24,1,0,2,2,0,2,4,0,0,14.32955,14.32955
40,3810,24,2,1,1,2,2,1,4,0,1,36.32829,36.32829
41,71,34,2,1,2,2,1,2,2,0,1,2.675173,2.675173
42,4120,19,2,1,2,2,2,2,3,1,3,64.60284,64.60284
43,4108,25,2,1,1,1,2,2,3,0,0,48.8801,48.8801
44,2255,44,1,1,2,1,3,2,5,1,0,24.73604,24.73604
45,3379,22,2,1,1,2,4,2,5,0,0,37.90907,37.90907
46,5166,23,1,1,2,2,2,2,7,0,1,2.120519,2.120519
47,2132,26,1,1,1,2,3,0,4,0,0,12.92371,12.92371
48,2121,36,1,1,1,2,1,2,2,0,0,1.1144530000000001,1.1144530000000001
49,5186,28,1,1,3,2,1,2,1,0,0,4.923166,4.923166
51,2229,34,1,1,3,1,3,2,2,1,0,26.867820000000002,26.867820000000002
52,38,18,1,0,1,2,0,1,2,0,10,1.52949,1.52949
53,158,21,1,1,2,2,1,2,4,6,10,10.41682,10.41682
54,158,19,1,1,2,2,1,2,4,6,1,10.41682,10.41682
55,38,18,2,1,1,2,0,1,2,0,2,1.52949,1.52949
56,5175,19,2,1,2,2,1,1,4,0,0,0.7319249999999999,0.7319249999999999
57,3690,19,2,1,1,2,2,2,5,0,5,27.35652,27.35652
58,463,21,2,1,1,2,2,2,4,0,1,14.49987,14.49987
59,35,83,1,0,1,1,1,2,2,0,10,1.364572,1.364572
60,464,23,2,1,1,2,1,0,3,0,0,78.68078,78.68078
61,5166,24,1,1,2,2,1,1,2,0,1,2.120519,2.120519
62,93,30,2,1,3,1,3,2,2,0,0,3.235429,3.235429
63,2616,20,1,1,2,2,2,2,3,0,1,42.629329999999996,42.629329999999996
64,5135,26,1,1,2,2,1,2,2,0,1,7.7046899999999985,7.7046899999999985
65,5158,19,1,0,1,2,2,2,3,0,1,3.1598599999999997,3.1598599999999997
66,3657,23,2,1,1,2,0,0,3,0,1,3.553611,3.553611
67,2108,18,1,1,1,2,5,2,5,0,3,21.012420000000002,21.012420000000002
68,118,34,2,1,2,2,1,1,2,0,0,6.853555999999998,6.853555999999998
69,3381,21,1,1,2,2,3,0,3,0,0,40.19581,40.19581
70,46,35,2,1,2,2,0,2,2,2,0,1.297744,1.297744
71,374,23,1,0,1,2,2,2,4,0,0,3.57044,3.57044
72,3656,37,1,1,3,1,2,2,2,1,0,22.092760000000002,22.092760000000002
73,3686,25,1,1,1,2,2,1,2,0,3,18.811729999999997,18.811729999999997
75,196,75,2,1,1,1,1,2,2,0,0,8.466409,8.466409
76,3686,20,2,1,3,1,2,2,3,0,0,18.811729999999997,18.811729999999997
77,1241,20,1,1,1,2,3,2,4,0,0,5.503831999999999,5.503831999999999
78,47,20,1,0,1,2,0,0,2,0,10,1.063099,1.063099
79,21,29,2,1,2,2,1,0,2,0,10,2.04452,2.04452
80,353,21,2,1,2,2,4,0,5,1,1,15.804789999999999,15.804789999999999
81,3622,31,1,1,3,1,2,2,5,0,0,14.477429999999998,14.477429999999998
82,3337,25,2,1,2,1,2,2,3,0,0,9.106767999999999,9.106767999999999
84,1219,22,1,1,2,2,2,1,2,0,3,3.394258,3.394258
85,41,26,1,1,1,2,1,0,2,0,0,1.84044,1.84044
86,79,19,1,1,1,2,0,0,1,0,0,3.752367,3.752367
88,3649,18,2,1,2,2,2,2,3,1,8,18.02177,18.02177
89,68,20,2,0,1,2,0,2,2,0,10,0.97324,0.97324
90,334,51,1,1,3,1,2,1,2,0,10,16.45929,16.45929
91,278,77,2,1,1,1,1,1,1,0,0,4.257021,4.257021
92,219,24,1,0,1,2,2,2,4,0,1,8.442875,8.442875
93,104,27,2,9,2,1,1,2,4,0,2,3.631853,3.631853
95,592,59,2,1,1,2,2,2,3,0,3,4.6325470000000015,4.6325470000000015
96,173,27,1,1,2,2,0,2,2,0,1,4.036773999999999,4.036773999999999
97,67,22,2,1,3,2,0,2,2,0,10,1.897934,1.897934
98,2376,22,2,1,1,2,4,2,5,0,5,28.21476,28.21476
99,21,40,2,1,2,1,1,2,2,2,0,2.030561,2.030561
100,186,30,2,0,2,2,0,0,2,0,0,2.957752,2.957752
101,3686,46,2,1,3,1,1,2,3,1,0,25.313650000000006,25.313650000000006
102,71,27,2,0,1,2,0,0,1,0,10,1.132351,1.132351
103,41,22,1,1,1,2,0,1,2,0,10,1.84044,1.84044
104,46,29,2,1,2,2,0,1,2,0,0,1.297744,1.297744
105,474,23,2,1,2,2,2,2,4,0,3,19.35977,19.35977
106,5171,62,1,0,1,1,0,2,1,0,5,66.1484,66.1484
107,454,20,2,1,1,2,0,1,2,0,1,11.743689999999999,11.743689999999999
108,25,34,1,1,3,1,0,2,1,0,10,3.4157599999999997,3.4157599999999997
109,2209,31,2,1,1,2,1,1,3,0,0,24.16866,24.16866
111,50,24,2,1,2,2,1,1,1,0,10,1.5870020000000002,1.5870020000000002
112,385,18,2,1,2,2,2,2,3,0,1,5.017492999999999,5.017492999999999
113,3607,17,2,1,1,2,1,1,2,1,1,4.506405,4.506405
114,71,22,2,1,2,1,0,2,4,0,10,1.132351,1.132351
115,3678,18,1,1,1,2,3,2,5,0,1,21.245240000000006,21.245240000000006
116,3654,21,2,1,2,2,2,2,4,0,1,18.49537,18.49537
118,16,60,1,0,1,2,0,2,6,0,0,4.123033,4.123033
119,3418,18,2,1,1,2,2,2,3,0,0,16.07141,16.07141
120,424,31,1,1,3,1,1,1,1,0,0,15.612029999999999,15.612029999999999
121,101,20,2,1,2,2,1,2,3,0,1,3.679839,3.679839
122,46,33,1,1,3,2,0,2,2,0,0,1.297744,1.297744
123,579,27,1,1,1,1,1,2,6,1,8,18.87987,18.87987
124,3380,18,2,1,2,2,1,1,4,1,0,16.682370000000002,16.682370000000002
125,369,18,2,1,1,2,0,2,2,1,1,20.49631,20.49631
126,3670,25,1,0,1,2,1,2,3,0,0,16.98824,16.98824
127,74,23,1,1,1,2,0,2,2,0,10,0.699414,0.699414
128,3622,18,2,1,2,2,1,2,4,0,1,18.75543,18.75543
129,2368,28,2,1,1,2,2,2,3,0,0,23.51985,23.51985
130,48,20,1,1,1,2,0,1,1,0,10,1.199355,1.199355
131,385,26,2,1,2,2,2,2,4,0,1,20.40364,20.40364
132,3602,20,2,0,1,2,1,0,4,0,1,41.672740000000005,41.672740000000005
133,4186,22,2,1,2,2,2,2,3,0,0,28.34698,28.34698
134,110,29,1,0,1,1,0,0,1,1,0,5.570017,5.570017
135,106,39,2,1,3,1,2,2,2,0,1,8.261479,8.261479
136,5179,23,1,0,2,2,0,2,2,0,1,4.076137,4.076137
139,3620,24,2,1,1,2,1,2,3,1,0,53.00807,53.00807
140,3616,20,1,1,2,2,3,0,4,0,0,39.333890000000004,39.333890000000004
141,562,24,1,1,1,2,0,2,3,0,0,14.75707,14.75707
142,25,40,2,1,3,1,1,2,1,0,0,1.52949,1.52949
143,76,40,1,1,1,2,0,1,2,0,10,1.9285849999999998,1.9285849999999998
144,544,21,1,1,1,2,2,2,3,1,0,79.13288,79.13288
145,175,19,2,1,1,2,0,0,3,0,1,8.856021,8.856021
146,4039,18,1,1,1,2,3,2,3,0,1,29.90917,29.90917
147,396,20,2,1,1,2,2,2,3,0,8,16.93478,16.93478
148,274,36,2,1,3,1,1,2,2,1,0,5.182155000000001,5.182155000000001
149,122,29,1,1,3,2,2,2,2,0,0,59.73031,59.73031
150,443,36,1,1,3,1,1,2,2,0,0,11.06701,11.06701
151,553,18,1,1,1,2,1,2,3,0,1,18.02955,18.02955
152,5150,27,2,9,2,2,1,1,3,0,0,7.384881999999998,7.384881999999998
153,432,32,2,1,3,1,1,2,2,1,0,16.726689999999998,16.726689999999998
154,282,18,2,0,2,2,2,0,3,1,1,4.742397,4.742397
155,37,17,2,1,1,2,0,0,0,1,0,0.5361569999999999,0.5361569999999999
156,4014,27,2,1,1,2,2,2,2,0,5,31.94215,31.94215
157,2351,62,1,1,1,2,0,1,1,0,1,17.90372,17.90372
158,21,45,1,1,1,2,0,1,1,0,1,2.057186,2.057186
159,90,31,1,1,3,1,1,2,2,0,0,3.4932510000000003,3.4932510000000003
160,4127,22,2,1,1,1,2,2,4,2,0,35.48003,35.48003
161,428,62,1,1,1,1,2,2,2,0,0,15.139729999999998,15.139729999999998
162,237,47,2,1,1,1,1,2,2,2,0,2.1939770000000003,2.1939770000000003
163,42,29,1,1,3,1,0,1,2,0,0,1.362023,1.362023
164,3436,23,2,1,3,1,3,2,5,0,0,41.39386,41.39386
165,5232,45,1,1,3,1,2,2,2,2,0,10.93602,10.93602
166,498,22,2,1,1,2,1,2,3,0,1,18.80142,18.80142
167,4173,19,2,1,1,2,4,0,4,2,4,56.35213,56.35213
168,24,21,1,1,2,2,0,2,2,0,10,1.35742,1.35742
169,3694,23,1,1,1,2,3,2,4,0,3,36.081790000000005,36.081790000000005
170,337,23,2,1,1,2,3,0,4,0,1,18.756310000000006,18.756310000000006
171,463,35,2,1,1,2,1,1,2,0,1,13.798589999999999,13.798589999999999
172,5084,20,1,1,2,1,2,2,3,1,0,8.661989,8.661989
173,3354,20,1,1,2,2,3,2,4,3,5,37.89026000000001,37.89026000000001
174,23,66,1,0,2,1,0,2,1,0,0,1.111839,1.111839
175,4084,37,2,1,3,1,2,2,2,0,0,23.31448,23.31448
176,3369,25,1,1,2,2,3,0,4,1,3,45.7304,45.7304
177,343,24,2,1,2,2,2,2,4,0,1,16.372870000000002,16.372870000000002
179,571,18,2,1,1,2,3,2,4,0,5,25.56536,25.56536
180,407,19,2,9,1,2,1,0,4,0,8,17.43086,17.43086
182,485,30,1,1,3,1,4,2,4,0,0,16.43998,16.43998
183,237,21,2,1,1,2,3,2,5,0,0,78.09586999999998,78.09586999999998
184,315,57,1,1,3,1,1,2,2,0,0,12.070290000000002,12.070290000000002
185,37,21,1,1,3,1,0,1,2,0,0,0.5361569999999999,0.5361569999999999
186,46,21,2,1,2,2,1,0,2,0,0,1.368845,1.368845
187,5175,22,2,1,2,2,1,2,4,0,2,0.7319249999999999,0.7319249999999999
188,5175,27,2,1,1,2,1,2,4,0,3,0.7319249999999999,0.7319249999999999
189,3606,19,2,1,2,2,3,2,6,0,0,47.89135,47.89135
190,3719,33,1,1,3,1,1,1,2,0,0,37.43704,37.43704
191,347,30,2,1,3,1,1,2,2,0,3,60.18279,60.18279
192,3650,28,1,0,2,2,1,0,2,0,4,30.71994,30.71994
193,3691,21,2,1,1,2,2,1,3,2,1,31.22874,31.22874
194,494,22,1,1,2,2,1,2,4,1,0,20.76891,20.76891
195,2366,21,2,1,2,2,1,2,3,0,1,20.29017,20.29017
196,383,18,2,1,1,2,1,0,3,0,1,22.600839999999998,22.600839999999998
197,3448,19,1,1,1,2,3,0,5,1,4,34.30503,34.30503
198,1029,21,2,1,3,1,2,2,4,0,0,102.5234,102.5234
200,184,19,2,0,1,2,2,2,3,1,1,9.155414,9.155414
201,293,19,1,0,2,2,1,2,3,0,1,15.0305,15.0305
202,278,35,1,1,3,1,1,2,1,0,0,3.5815940000000004,3.5815940000000004
203,202,22,1,1,2,2,1,2,2,0,0,5.631681,5.631681
204,366,29,1,0,1,2,2,1,3,0,1,19.71237,19.71237
205,290,51,1,0,3,1,1,2,3,0,1,14.646120000000002,14.646120000000002
207,2059,30,1,1,3,1,2,2,2,0,0,25.9585,25.9585
208,3654,19,1,1,1,2,3,0,6,0,1,18.97318,18.97318
210,450,32,1,1,3,1,1,2,2,0,0,14.725270000000002,14.725270000000002
211,353,20,1,1,2,2,4,0,5,1,0,17.321330000000003,17.321330000000003
