Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance
264,19,2,0,1,2,2,1,5,0,1,5.801714
38,22,2,1,2,2,0,1,2,0,10,1.52949
1039,26,2,1,1,2,3,0,5,1,3,32.20097
613,19,2,1,1,2,1,2,4,0,1,23.50205
4160,21,2,1,2,1,4,0,3,0,0,0.0
2053,31,1,1,3,1,1,0,2,0,0,32.69045
5129,22,2,1,1,2,2,1,4,0,1,6.428893
135,32,1,1,3,1,4,2,5,0,0,16.03554
212,30,1,1,2,1,0,1,2,0,0,6.5530919999999995
606,24,1,1,2,2,2,2,4,0,1,23.0445
523,20,2,1,2,2,2,1,3,1,1,15.25818
186,20,1,1,1,2,2,2,4,0,0,68.09488
4025,20,1,1,2,2,2,2,2,1,0,34.88996
596,21,1,1,2,2,1,2,2,0,1,20.937720000000002
3683,23,2,1,1,2,2,0,3,0,1,40.51645
2258,20,2,1,1,2,3,2,4,0,1,28.241169999999997
46,25,2,1,1,2,2,0,2,0,1,1.368845
47,32,2,0,3,1,0,1,1,0,0,3.1204009999999998
435,26,1,1,2,1,1,2,4,2,1,15.34301
327,22,2,1,1,2,2,0,3,0,1,16.60991
4057,42,2,1,3,1,2,2,2,2,0,15.95951
5133,59,1,1,3,1,3,2,4,0,0,71.81282
5074,41,1,1,2,2,1,2,3,0,3,6.893901
3810,20,1,1,1,2,3,0,5,1,4,36.32829
161,19,1,0,1,2,1,2,5,0,1,10.32033
409,24,1,1,2,1,0,2,3,0,0,16.87074
400,20,2,0,1,2,0,1,3,0,0,19.81746
105,56,2,0,3,1,0,2,2,0,0,7.567728
4108,21,1,1,2,2,3,2,3,0,3,36.62417
551,23,2,0,1,2,2,2,4,0,1,17.13451
3375,39,1,1,1,1,2,2,4,4,0,40.54452
5050,21,2,1,1,2,2,2,3,0,3,11.9774
3648,19,1,1,1,2,2,2,3,1,0,47.08021
3714,27,1,1,2,2,1,1,1,1,0,41.7229
122,47,2,1,3,1,0,0,1,0,0,9.495546000000001
154,19,1,1,1,2,2,2,3,1,1,12.871030000000001
531,24,1,0,2,2,0,2,4,0,0,14.32955
3810,24,2,1,1,2,2,1,4,0,1,36.32829
71,34,2,1,2,2,1,2,2,0,1,2.6751729999999996
4120,19,2,1,2,2,2,2,3,1,3,64.60284
4108,25,2,1,1,1,2,2,3,0,0,48.8801
2255,44,1,1,2,1,3,2,5,1,0,24.73604
3379,22,2,1,1,2,4,2,5,0,0,37.90907
5166,23,1,1,2,2,2,2,7,0,1,2.120519
2132,26,1,1,1,2,3,0,4,0,0,12.92371
2121,36,1,1,1,2,1,2,2,0,0,1.114453
5186,28,1,1,3,2,1,2,1,0,0,4.923166
2229,34,1,1,3,1,3,2,2,1,0,26.86782
38,18,1,0,1,2,0,1,2,0,10,1.52949
158,21,1,1,2,2,1,2,4,6,10,10.41682
158,19,1,1,2,2,1,2,4,6,1,10.41682
38,18,2,1,1,2,0,1,2,0,2,1.52949
5175,19,2,1,2,2,1,1,4,0,0,0.7319249999999999
3690,19,2,1,1,2,2,2,5,0,5,27.35652
463,21,2,1,1,2,2,2,4,0,1,14.499870000000001
35,83,1,0,1,1,1,2,2,0,10,1.3645720000000001
464,23,2,1,1,2,1,0,3,0,0,78.68078
5166,24,1,1,2,2,1,1,2,0,1,2.120519
93,30,2,1,3,1,3,2,2,0,0,3.235429
2616,20,1,1,2,2,2,2,3,0,1,42.62933
5135,26,1,1,2,2,1,2,2,0,1,7.704689999999999
5158,19,1,0,1,2,2,2,3,0,1,3.15986
3657,23,2,1,1,2,0,0,3,0,1,3.553611
2108,18,1,1,1,2,5,2,5,0,3,21.01242
