,0,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,
,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level,Ref.,SMTO,By Total,By Level
ASC_SG,-0.256984468,-0.386645,0.354263144,0.354263144,1.143895638,1.330255557,1.754730362,1.799827539,0.581670837,0.804886519,1.21210474,1.30194453,0.807475695,1.537262525,1.425205104,1.461816961,1.322567884,0.717206209,1.93975406,1.523332084,2.024775994,1.462728012,2.683469284,2.251460247,-0.995059022,-0.789320375,-0.380234579,-0.754124641
ASC_SC,-1.800849483,-2.225322221,-1.771148454,-1.771148454,0.181760991,-0.065784925,0.207930227,0.295012973,-0.237909092,-0.458603625,-0.21013529,-0.23551193,0.637585541,1.17522055,0.668083246,0.744760502,0.985300521,0.014399248,1.013741853,0.350510524,0.346185802,-0.556204547,0.373965396,-0.287108812,1.335317804,0.626467519,1.355652047,0.702152601
ASC_MI,2.628072036,2.964729045,2.90222091,2.90222091,2.308136645,2.390615248,2.579274904,3.135423329,1.038673717,1.038317215,1.310881527,1.766581408,1.875552108,2.902660888,2.149905031,2.697760025,3.267806131,2.906834776,3.540810849,3.42016495,2.055702562,1.738633022,2.32734935,2.209381966,2.260832756,2.47610389,2.52623317,2.41430092
ASC_YK,-0.290568983,-0.53917223,0.052811855,0.052811855,1.455350296,1.439473972,1.828081084,1.101136342,0.955689157,0.86086466,1.322104543,0.114354161,1.244271306,1.850613443,1.610592475,0.880934908,1.403968082,0.55348342,1.773325169,1.123235216,2.029251023,1.239311692,2.418630814,1.748119176,-0.821314045,-0.72964435,-0.426810418,-1.079656722
ASC_RY,1.785750016,2.006663046,1.975384954,1.975384954,2.29427788,2.19491777,2.48044616,4.661330735,1.941204002,1.861164975,2.131873711,4.176278769,2.716634299,2.922103322,2.9072694,5.071288421,4.967275371,4.277940565,5.155500297,4.944619145,4.334850893,3.712736148,4.522195922,4.31528353,4.076467014,3.469436482,4.256918304,4.056530044
ASC_OC,1.267414501,1.249213574,1.82827058,1.82827058,2.158403205,2.410803219,2.726485284,3.578401054,1.970888108,2.180740725,2.529353903,3.416761128,2.277819024,2.53743864,2.850245874,3.69587531,3.708510453,3.629499731,4.276947342,3.679368376,3.748897031,3.764829945,4.313231632,3.718886541,3.451266585,3.604538706,4.007164754,3.418151466
B_DIST,-0.095232154,-0.094974799,-0.097997129,-0.097997129,-0.06648308,-0.065792428,-0.067906223,-0.065985274,-0.174075387,-0.171744287,-0.170866399,-0.188391442,-0.075705161,-0.072777917,-0.077557508,-0.08379017,-0.05429125,-0.053640697,-0.056090292,-0.058092326,-0.10177066,-0.104751225,-0.101749467,-0.100854274,-0.075056068,-0.070586312,-0.07437711,-0.07295532
L_LHOOD,-358.8889412,-324.3949986,-360.2487523,-360.2487523,-10778.98167,-10569.98499,-10460.1903,-7598.848047,-3586.650308,-3574.644909,-3506.279124,-1833.154925,-1005.343284,-1044.173635,-994.1227264,-555.6268127,-876.0740459,-950.6962093,-929.0961122,-877.8202812,-1969.623855,-2142.76692,-2124.672698,-1986.249776,-347.5020802,-390.2651533,-352.035261,-341.6605651
MCF_R^2,0.082886841,0.171033465,0.079411948,0.079411948,0.073233119,0.09120246,0.100642505,0.346658068,0.32773886,0.329989083,0.342803173,0.656403966,0.076544678,0.040877166,0.086851291,0.489630512,0.028493438,-0.054257468,-0.030304429,0.026556982,0.104558356,0.025843067,0.034069166,0.096999785,0.049268761,-0.067726768,0.036866427,0.065250567
