"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Ref",-2.66818180324285,-4.44351173701658,-2.13561121275038,-3.19278022518705,-4.37436813980211,-0.703867537905675,-0.102889112373115,0.378379884376959,0.252020903741648,0.255880035155336,0.252861721816666,0.161796211530047,0.379856381262962,0.204375217647984
"Adults",-2.83435452597486,-4.40359485838004,-2.32288566799198,-3.41759271172775,-4.35631430254414,-0.792019062466192,-0.102640558801914,0.381347078080379,0.253572483801886,0.257614183975136,0.254536629051649,0.1661472089656,0.380276884071621,0.204966761902173
"Children",-2.69127192237644,-4.44327340258829,-2.14302678632218,-3.20981070980882,-4.42214544208955,-0.723231951044675,-0.102436358088254,0.380330152538831,0.253251659278066,0.256424210852062,0.253802711403101,0.164160418720158,0.380547399801636,0.205403679630618
"Cars",-2.72706672496991,-4.48926179671824,-2.24498204425211,-3.03498839229887,-4.39986293286592,-0.740008944056689,-0.102815434510168,0.38218290729261,0.253511728559385,0.258852613552369,0.255015678919206,0.167843410441483,0.381727304225994,0.206767988164633
"Income",-2.59978921286889,-4.38268535230956,-2.23097465862221,-3.21025188289432,-4.47137317133624,-0.826837126291617,-0.103725100118593,0.38083165006617,0.255651765769468,0.259635602007634,0.256390678458922,0.165849561208814,0.380883012842313,0.205788286826251
"Licence",-2.54411742154283,-4.19116202445228,-2.37182262034033,-2.88622731759426,-4.49461094573723,-0.700283314146706,-0.103098730910299,0.380455526920666,0.251420246746463,0.257432358263699,0.253329863703874,0.164973248509111,0.381133441891768,0.20637463191654
"Work",-2.66971346675582,-4.39575273713186,-2.00616363206257,-3.19241195227369,-4.43748144444213,-0.811771976518727,-0.103868388741585,0.387782963014557,0.257991340043735,0.261490266945804,0.258680766517486,0.174182553851278,0.385567334058487,0.213087878189121
"Adults + Children",-2.88479365352192,-4.40080050284578,-2.34023771309762,-3.45543053493843,-4.43960233741214,-0.830616700707249,-0.102152600379771,0.378602772166887,0.251047990428563,0.255826264355219,0.252326952024654,0.162777789102878,0.381022428619552,0.206068203084717
"Adults + Children + Cars",-2.90146695488117,-4.41321040450369,-2.35109639233231,-3.39718071808154,-4.45034863217294,-0.839875477529718,-0.102474694427035,0.382224698753221,0.255179291991163,0.26081817005261,0.25683526552828,0.16782580162046,0.382845337086657,0.208424557927519
"Adults + Children + Income",-2.82393165039698,-4.33645816942085,-2.46125588088217,-3.49202929785203,-4.55067145942783,-0.982670742691332,-0.103013224439142,0.384300341296928,0.255594065000306,0.260323145553028,0.256805530391175,0.169812635460133,0.382131018385036,0.207551951554198
"Adults + Children + Licence",-2.76827810081871,-4.15225079758172,-2.57312221662685,-3.15202030986087,-4.57340391961121,-0.831659682698561,-0.102354220877509,0.383715260848367,0.255120123401961,0.259649699634879,0.256252581616193,0.16960284631474,0.382290280505269,0.208049191056002
"Adults + Children + Work",-2.88559123019732,-4.35158212074312,-2.21339091877674,-3.45041389303362,-4.50041651479494,-0.941115667851337,-0.103131554873898,0.388340182489378,0.260845595955447,0.265047541995453,0.26180736060212,0.17594520010732,0.386746286743568,0.214801783526612
