"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"1",-1,0.505351159692517,0.762257619737541,0.762257619737541
"2",10,0.315228705340954,0.787210942335815,0.61827590221104
"3",11,0.34029561100697,0.788506988580602,0.623581870701371
"4",12,0.390780777096303,0.79139655537057,0.636847175771255
"5",13,0.397393909572226,0.791742876863446,0.638947486557512
"6",14,0.401230915369152,0.792047112556438,0.640131780572699
"7",15,0.431628181776699,0.794503919616531,0.65059252150151
"8",16,0.464993586481056,0.797060071328766,0.664911368155106
"9",17,0.487346707383521,0.798901134962203,0.676863040651237
"10",18,0.494642420500573,0.799656636337038,0.681071287003643
"11",19,0.493502857347911,0.799353825794146,0.680869113137216
"12",20,0.51763772963479,0.800980887288464,0.698673351521019
"13",20,0.51763772963479,0.800980887288464,0.698673351521019
"14",20.2,0.51763772963479,0.800980887288464,0.698673351521019
"15",20.4,0.518731710327468,0.801152388897653,0.699437371106213
"16",20.6,0.520801047065415,0.801314166646922,0.701142912320914
"17",20.8,0.521627537558051,0.801363916770826,0.701856900402643
"18",21,0.521798572570854,0.800816114118994,0.702828783694478
"19",21.2,0.521798572570854,0.800816114118994,0.702828783694478
"20",21.4,0.521798572570854,0.800816114118994,0.702828783694478
"21",21.6,0.521798572570854,0.800816114118994,0.702828783694478
"22",21.8,0.521798572570854,0.800816114118994,0.702828783694478
"23",22,0.525293825161426,0.801020966125648,0.706247726251478
"24",22.2,0.525293825161426,0.801020966125648,0.706247726251478
"25",22.4,0.525293825161426,0.801020966125648,0.706247726251478
"26",22.6,0.525293825161426,0.801020966125648,0.706247726251478
"27",22.8,0.525293825161426,0.801020966125648,0.706247726251478
"28",23,0.530751055292964,0.801478585546456,0.711233314985379
"29",23.2,0.531830053579855,0.801545507676004,0.712578035862562
"30",23.4,0.532467131573056,0.801580667200044,0.713224044816772
"31",23.6,0.535865297736275,0.801842306841707,0.716922941012204
"32",23.8,0.535865297736275,0.801842306841707,0.716922941012204
"33",24,0.546826890740513,0.803227109070146,0.728353327795183
"34",24.2,0.546826890740513,0.803227109070146,0.728353327795183
"35",24.4,0.547481425332157,0.803070239372469,0.729554850381599
"36",24.6,0.547481425332157,0.803070239372469,0.729554850381599
"37",24.8,0.547481425332157,0.803070239372469,0.729554850381599
"38",25,0.547553549413883,0.803084700636704,0.729623979223098
"39",25.2,0.547553549413883,0.803084700636704,0.729623979223098
"40",25.4,0.547553549413883,0.803084700636704,0.729623979223098
"41",25.6,0.547553549413883,0.803084700636704,0.729623979223098
"42",25.8,0.547553549413883,0.803084700636704,0.729623979223098
"43",26,0.547553549413883,0.803084700636704,0.729623979223098
"44",26.2,0.547665084646183,0.80296416663806,0.730018317852632
"45",26.4,0.547736421931471,0.802978512147976,0.730087344134543
"46",26.6,0.553397171979533,0.802504337188933,0.739951185897207
"47",26.8,0.553177267138828,0.802321871650482,0.740006695953722
"48",27,0.553661311067077,0.802293173628671,0.740819270134429
"49",27.2,0.556908008303146,0.802358065940658,0.745913857021037
"50",27.4,0.556908008303146,0.802358065940658,0.745913857021037
"51",27.6,0.556648549995456,0.802104613937763,0.746069696335752
"52",27.8,0.557879121699913,0.802193451155307,0.747942063884816
"53",28,0.55775201298569,0.802100815250239,0.747967538448856
"54",28.2,0.55764608547654,0.802012432777134,0.747996954142071
"55",28.4,0.55748464285262,0.801911352213884,0.747958590944526
"56",28.6,0.55862764449057,0.801886255038964,0.750506943292411
"57",28.8,0.559411144303527,0.801510149033435,0.752837253557724
"58",29,0.560178296355388,0.801498948013091,0.754447277217091
"59",29.2,0.559797800524645,0.801212359305363,0.754624399487983
"60",29.4,0.560479989599867,0.801194626718681,0.755948329037434
"61",29.6,0.560479989599867,0.801194626718681,0.755948329037434
"62",29.8,0.560479989599867,0.801194626718681,0.755948329037434
"63",30,0.560479989599867,0.801194626718681,0.755948329037434
"64",30.2,0.560585320838467,0.801220115685996,0.756084101360242
"65",30.4,0.560585320838467,0.801220115685996,0.756084101360242
"66",30.6,0.560797016749897,0.801271650925551,0.756356193396154
"67",30.8,0.560592118762547,0.80050249543943,0.757918419303316
"68",31,0.560079781167327,0.80019917150232,0.757687021416232
"69",31.2,0.559160172724863,0.799775590087201,0.757285943594385
"70",31.4,0.559160172724863,0.799775590087201,0.757285943594385
"71",31.6,0.558696043202407,0.799157374462007,0.758427817135664
"72",31.8,0.559490407258666,0.799120587622982,0.760120070901509
"73",32,0.559198635805893,0.798934043373524,0.759998332830535
"74",32.2,0.559198635805893,0.798934043373524,0.759998332830535
"75",32.4,0.559198635805893,0.798934043373524,0.759998332830535
"76",32.6,0.55943076069561,0.798990600773603,0.760330663735544
"77",32.8,0.55961853491424,0.799036911685106,0.760597570608433
"78",33,0.559354152033909,0.798847541000264,0.760695789931089
"79",33.2,0.559354152033909,0.798847541000264,0.760695789931089
"80",33.4,0.559851744712031,0.798520876600631,0.762555981788945
"81",33.6,0.55961877498153,0.798351249245268,0.762505317117125
"82",33.8,0.559856860488117,0.798353546047718,0.763008464702093
"83",34,0.559892457542927,0.798250651404983,0.763355360431622
"84",34.2,0.559892457542927,0.798250651404983,0.763355360431622
"85",34.4,0.559512807085939,0.797991147853703,0.763218473559025
"86",34.6,0.559960860441978,0.797770196747368,0.764787018425455
"87",34.8,0.559546987632825,0.797395237642952,0.764872319562973
"88",35,0.559546987632825,0.797395237642952,0.764872319562973
"89",35.2,0.559414825829688,0.797254039017794,0.764959219477297
"90",35.4,0.559691731105919,0.797256636011558,0.76573990223072
"91",35.6,0.559733066505967,0.797266847578492,0.765805295899665
"92",35.8,0.559733066505967,0.797266847578492,0.765805295899665
"93",36,0.559708471183918,0.797206794846623,0.765914357734537
"94",36.2,0.559708471183918,0.797206794846623,0.765914357734537
"95",36.4,0.559572695001648,0.796958734948316,0.76628724211617
"96",36.6,0.559253266299695,0.796668754282455,0.766341686037442
"97",36.8,0.559253266299695,0.796668754282455,0.766341686037442
"98",37,0.559253266299695,0.796668754282455,0.766341686037442
"99",37.2,0.559116831140167,0.796583504787212,0.766259681764566
"100",37.4,0.559116831140167,0.796583504787212,0.766259681764566
"101",37.6,0.558064464287791,0.795915879035645,0.76578394552687
"102",37.8,0.557592232077473,0.795645419153627,0.76557919749977
"103",38,0.557467268239462,0.795566792756462,0.765503542273718
"104",38.2,0.55741339736605,0.795502731066027,0.765552826947248
"105",38.4,0.557238086279243,0.795362271407747,0.765528561443488
"106",38.6,0.557238086279243,0.795362271407747,0.765528561443488
"107",38.8,0.557238086279243,0.795362271407747,0.765528561443488
"108",39,0.556733124700141,0.795009226629107,0.765299615984667
"109",39.2,0.556733124700141,0.795009226629107,0.765299615984667
"110",39.4,0.556372143292218,0.794573693012793,0.765655930497791
"111",39.6,0.555091614658667,0.793654778860247,0.765157796979676
"112",39.8,0.554779639284046,0.793458835988624,0.764968889636108
"113",40,0.554250145593472,0.793130204688055,0.764762652920296
"114",40.2,0.553757762172972,0.792810745670016,0.764620445154663
"115",40.4,0.553686982320499,0.792751683271196,0.76461875384325
"116",40.6,0.553686982320499,0.792751683271196,0.76461875384325
"117",40.8,0.553253788905701,0.792049720156476,0.76570880706196
"118",41,0.552728314620336,0.791817980039381,0.765484773842715
"119",41.2,0.552728314620336,0.791817980039381,0.765484773842715
"120",41.4,0.552728314620336,0.791817980039381,0.765484773842715
"121",41.6,0.552232862690488,0.791431173999537,0.765386726246083
"122",41.8,0.551871112704423,0.79093274876247,0.765952442328014
"123",42,0.551871112704423,0.79093274876247,0.765952442328014
"124",42.2,0.551871112704423,0.79093274876247,0.765952442328014
"125",42.4,0.551834656318575,0.790867646161429,0.766054814761259
"126",42.6,0.551594531575853,0.790747825553102,0.765938753427403
"127",42.8,0.551594531575853,0.790747825553102,0.765938753427403
"128",43,0.551594531575853,0.790747825553102,0.765938753427403
"129",43.2,0.551594531575853,0.790747825553102,0.765938753427403
"130",43.4,0.551539937345428,0.790685532552409,0.765988668675712
"131",43.6,0.551539937345428,0.790685532552409,0.765988668675712
"132",43.8,0.55133213534144,0.7904301659486,0.76623726049985
"133",44,0.55129038285049,0.790362519561526,0.766336997806745
"134",44.2,0.551328269095689,0.790332819499604,0.766528609918356
