"","Call","Total.Accuracy","Null","Time","Adj."
"1","0 | 1  |  Time","0.804971902343509","0.65788320959644","0","0"
"2","0 | Family  |  Time","0.808473743403707","0.665141814823669","0.0212167465346175","0.0209179143207413"
"3","0 | Children  |  Time","0.805081684265528","0.658152152996009","0.000786115756702732","0.000487283542826566"
"4","0 | Adults  |  Time","0.806366830214462","0.660684042930011","0.00818677542913615","0.00788794321525987"
"5","0 | Income  |  Time","0.805601571004919","0.659283038066095","0.00409166842704023","0.00379283621316395"
"6","0 | Family + Children  |  Time","0.808505803348092","0.665211075675597","0.0214191945110699","0.0208215300833173"
"7","0 | Family + Adults  |  Time","0.809017003752632","0.666297983566849","0.0245962028361225","0.02399853840837"
"8","0 | Adults + Children  |  Time","0.806612263280629","0.661205504115422","0.009710995227867","0.00911333080011445"
"9","0 | Family + Income  |  Time","0.808993003562924","0.666271160573494","0.0245177998050313","0.0239201353772789"
"10","0 | Family + Children + Adults  |  Time","0.809111149523009","0.666487320811175","0.0251496315178953","0.0242531348762666"
"11","0 | Family + Children + Income  |  Time","0.809014191389627","0.666328612499421","0.024685730545462","0.0237892339038333"
"12","0 | Family + Adults + Income  |  Time","0.809490973347842","0.667337675611668","0.0276352002603416","0.0267387036187129"
"13","0 | Family + Children + Adults + Income  |  Time","0.80956574449467","0.667504341517246","0.0281223611079039","0.0269270322523989"
"14","0 | Licence  |  Time","0.811540878385946","0.673802701573473","0.0465323317170547","0.0462334995031786"
"15","0 | Income + Licence  |  Time","0.812051170122139","0.674791288953825","0.0494219513092029","0.0488242868814504"
"16","0 | Family + Licence  |  Time","0.814122688735473","0.679091766430298","0.0619921542255818","0.0613944897978294"
"17","0 | Family + Income + Licence  |  Time","0.814540528396064","0.679887837441453","0.0643190526225168","0.0634225559808881"
"18","0 | Family + Children + Adults + Income + Licence  |  Time","0.814906721630088","0.680568707557448","0.0663092212874108","0.0648150602180295"
"19","0 | Gender  |  Time","0.805257551297075","0.658515075245503","0.00184692966491828","0.00154809745104201"
"20","0 | Level  |  Time","0.80543006445927","0.65907747359209","0.00349080790288492","0.00319197568900864"
"21","0 | Status  |  Time","0.806579336605972","0.661188185662975","0.00966037376486772","0.00936154155099145"
"22","0 | Work  |  Time","0.806086537712729","0.659998451810964","0.00618280737413968","0.0058839751602634"
"23","0 | Gender + Level  |  Time","0.80571592846617","0.659680774700182","0.00525424403058949","0.00465657960283694"
"24","0 | Gender + Status  |  Time","0.806865649970759","0.661795473618619","0.0114354633619833","0.0108377989342308"
"25","0 | Gender + Work  |  Time","0.806368475535434","0.660626349535683","0.00801813888177505","0.00742047445402261"
"26","0 | Level + Work  |  Time","0.806480725115957","0.661037788303193","0.00922076552580797","0.00862310109805542"
"27","0 | Status + Work  |  Time","0.80715259899203","0.66223963738672","0.0127337444769704","0.012136080049218"
"28","0 | Gender + Level + Work  |  Time","0.806762305254711","0.661635738593382","0.0109685613281804","0.0100720646865516"
"29","0 | Gender + Status + Work  |  Time","0.807434375400861","0.662847683023132","0.0145110487586311","0.0136145521170024"
"30","0 | Level + Family  |  Time","0.808694380698455","0.665717738471374","0.0229001589360524","0.0223024945082998"
"31","0 | Level + Income  |  Time","0.806011853183582","0.660334734384652","0.00716575408450393","0.00656808965675149"
"32","0 | Level + Family + Income  |  Time","0.809222588425382","0.666829411545164","0.0261495553555584","0.0252530587139297"
"33","0 | Work + Income  |  Time","0.806648446363971","0.661218108807581","0.00974783847120519","0.00915017404345264"
"34","0 | Work + Level + Income  |  Time","0.807004779081467","0.662141768399716","0.0124476755386737","0.0115511788970448"
