"","Call","Total.Accuracy","Null","Time","Adj."
"1","0 | 1  |  Time","0.807847890876101","0.670733185117174","0","0"
"2","0 | Family  |  Time","0.811151186215914","0.677944901812594","0.0219023490052799","0.0215875648883146"
"3","0 | Children  |  Time","0.807952094264603","0.671002826945206","0.000818915893873728","0.000504131776908445"
"4","0 | Adults  |  Time","0.809247148503251","0.673591701694886","0.00868145968104772","0.00836667556408244"
"5","0 | Income  |  Time","0.808460454531296","0.672124656372058","0.00422596870376968","0.00391118458680439"
"6","0 | Family + Children  |  Time","0.811185413398168","0.67801973688727","0.0221296269187924","0.0215000586848618"
"7","0 | Family + Adults  |  Time","0.811693324499851","0.67913659197962","0.0255215724227676","0.0248920041888371"
"8","0 | Adults + Children  |  Time","0.809488657884592","0.674120050434952","0.0102860815748581","0.00965651334092754"
"9","0 | Family + Income  |  Time","0.811686773637612","0.679136853143016","0.0255223655892343","0.0248927973553037"
"10","0 | Family + Children + Adults  |  Time","0.811789910166915","0.679332086353113","0.0261152987403218","0.025170946389426"
"11","0 | Family + Children + Income  |  Time","0.811710824103897","0.679201467476111","0.0257186025927063","0.0247742502418105"
"12","0 | Family + Adults + Income  |  Time","0.812184088846582","0.680240136681934","0.0288730935977954","0.0279287412468996"
"13","0 | Family + Children + Adults + Income  |  Time","0.812262136294204","0.680414559988971","0.0294028260189003","0.0281436895510391"
"14","0 | Licence  |  Time","0.814383798172935","0.686911050224955","0.0491329960279727","0.0488182119110074"
"15","0 | Income + Licence  |  Time","0.814871625190284","0.6878648044508","0.0520295959364214","0.0514000277024909"
"16","0 | Family + Licence  |  Time","0.81681886017079","0.692186399211812","0.0651544981909974","0.0645249299570667"
"17","0 | Family + Income + Licence  |  Time","0.817245146438638","0.693015771867869","0.0676733449698687","0.0667289926189728"
"18","0 | Family + Children + Adults + Income + Licence  |  Time","0.817605917255535","0.693719892043797","0.0698117936203304","0.0682378730355039"
"19","0 | Gender  |  Time","0.808065859355163","0.671371041135513","0.00193720104641215","0.00162241692944687"
"20","0 | Level  |  Time","0.808202225652803","0.671866164526695","0.00344091587220852","0.00312613175524323"
"21","0 | Status  |  Time","0.809459521467432","0.674168527289493","0.0104333082383096","0.0101185241213442"
"22","0 | Work  |  Time","0.808923007593127","0.672834339976089","0.0063813137672647","0.00606652965029941"
"23","0 | Gender + Level  |  Time","0.808419396133936","0.672470906242657","0.00527754710447026","0.00464797887053969"
"24","0 | Gender + Status  |  Time","0.809673400134647","0.674783326319076","0.0123004840416233","0.0116709158076926"
"25","0 | Gender + Work  |  Time","0.809139294385264","0.673468485644934","0.00830724629426749","0.00767767806033692"
"26","0 | Level + Work  |  Time","0.80922385871829","0.673847052643959","0.00945697345143481","0.00882740521750414"
"27","0 | Status + Work  |  Time","0.809997245845789","0.675207692664577","0.0135893061345892","0.0129597379006586"
"28","0 | Gender + Level + Work  |  Time","0.809438498690303","0.674446851468988","0.0112785928734909","0.010334240522595"
"29","0 | Gender + Status + Work  |  Time","0.810209419768785","0.675821681363383","0.0154540209222731","0.0145096685713773"
"30","0 | Level + Family  |  Time","0.811399805631679","0.678688189331527","0.024159750860966","0.0235301826270354"
"31","0 | Level + Income  |  Time","0.808772623280873","0.673120587446764","0.00725066183921408","0.00662109360528351"
"32","0 | Level + Family + Income  |  Time","0.811940492127733","0.679842872508128","0.0276665821734752","0.0267222298225793"
"33","0 | Work + Income  |  Time","0.809461216926044","0.674033999968377","0.0100247419478889","0.00939517371395837"
"34","0 | Work + Level + Income  |  Time","0.809728842203029","0.674934491672003","0.0127595808776668","0.0118152285267709"
