"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"1",-1,0.338909421285978,0.653437479111165,0.653437479111165
"2",10,0.386689599904404,0.694976457992952,0.667291174809604
"3",10.2,0.386295933911217,0.694803859399337,0.66722024097025
"4",10.4,0.386210920993183,0.694685274561101,0.667201136822667
"5",10.6,0.385438316491685,0.694228573870917,0.666999281239554
"6",10.8,0.385208886706346,0.694044481368435,0.66696443748421
"7",11,0.385962276643748,0.693160779218158,0.667155429383916
"8",11.2,0.386332292894588,0.692522174241817,0.667249366382379
"9",11.4,0.386214825069074,0.692443408434247,0.667220708563586
"10",11.6,0.386117990265784,0.692408196886979,0.667186779619746
"11",11.8,0.386635528777564,0.692030082291612,0.667341696681891
"12",12,0.386284247526578,0.691411557588186,0.667216869386089
"13",12.2,0.386081727846158,0.691144887484883,0.667148110695674
"14",12.4,0.386141144563279,0.690592587550728,0.667180274043722
"15",12.6,0.385798105166767,0.690472818752288,0.667064565619963
"16",12.8,0.385130618979597,0.690267223188394,0.666865940110315
"17",13,0.385246336785326,0.689767644473216,0.666900858987951
"18",13.2,0.385395241274031,0.689513312136754,0.666984193684264
"19",13.4,0.38483291943758,0.68885245481569,0.66686180346141
"20",13.6,0.384617138078349,0.688675897479535,0.666784835526911
"21",13.8,0.384067166950085,0.687685268815983,0.666623148372711
"22",14,0.384180199630301,0.687131203506607,0.666695377808866
"23",14.2,0.383973192263286,0.686879219677003,0.666638304063056
"24",14.4,0.38338535284028,0.686691461706328,0.66645607893299
"25",14.6,0.38393619491603,0.686099464393641,0.666677139855895
"26",14.8,0.384060098349352,0.685247028521436,0.666736945077065
"27",15,0.383517658993467,0.684836463947316,0.666571043933441
"28",15.2,0.383086220063321,0.68385092734746,0.666451446044554
"29",15.4,0.383325484313471,0.683581880797808,0.666562277353661
"30",15.6,0.383225961878469,0.683444581074639,0.666521635445028
"31",15.8,0.383128791961932,0.683401823920561,0.66647993701175
"32",16,0.382496518906085,0.682985722875114,0.66626049269011
"33",16.2,0.38215539618867,0.681972972712246,0.66610989060482
"34",16.4,0.381733595442024,0.681809722909207,0.665950438085739
"35",16.6,0.381346715039993,0.681600388556204,0.665838960744434
"36",16.8,0.381761789052212,0.680888329919178,0.666025828856822
"37",17,0.381302149925349,0.680619755719805,0.665855971114151
"38",17.2,0.381231745028531,0.680157433639628,0.665821236709571
"39",17.4,0.381312066040773,0.679728406013042,0.665864913966801
"40",17.6,0.381384043349143,0.67908458581751,0.665929059052696
"41",17.8,0.381359218111433,0.678891111435208,0.665924569061275
"42",18,0.381071810906306,0.678715700212819,0.665798805236054
"43",18.2,0.380722960720574,0.678510280038441,0.665689860695286
"44",18.4,0.380284631738357,0.678169336849652,0.665540398994266
"45",18.6,0.380015531830305,0.678013871436601,0.665434077914721
"46",18.8,0.380061164205366,0.677708958652775,0.665458421542067
"47",19,0.37941248953685,0.677180738922664,0.665216904585626
"48",19.2,0.378841462460309,0.67683892451313,0.664973467241652
"49",19.4,0.37878069522041,0.676580425746167,0.664950257445482
"50",19.6,0.378550524747277,0.676238581319329,0.664844929915109
"51",19.8,0.377854900196504,0.675639361300679,0.664532329508492
"52",20,0.377743939968554,0.674430754636385,0.664447707313322
"53",20.2,0.377662872132859,0.674392238719074,0.664409761515661
"54",20.4,0.37709463034604,0.674237459482851,0.664257273349988
"55",20.6,0.37691571815474,0.674185757870869,0.664206337034718
"56",20.8,0.376327558538158,0.673871115583787,0.663942318792102
"57",21,0.37590104914987,0.673493061435279,0.663753598336761
"58",21.2,0.375867300385835,0.673426546857111,0.663733981960327
"59",21.4,0.375533606095668,0.673319426426247,0.663628403303742
"60",21.6,0.375330911154685,0.673124336471809,0.663527952684456
"61",21.8,0.374919463837826,0.672743334916808,0.663335941761423
"62",22,0.374708423404057,0.671962421635089,0.663207658842981
"63",22.2,0.374597971171633,0.671718420667615,0.663150116120218
"64",22.4,0.37411305461222,0.671287680836752,0.662953822861834
"65",22.6,0.374078595098061,0.671220280026158,0.662933044645207
"66",22.8,0.373470645570494,0.670868651813629,0.662677281508401
"67",23,0.373033908573449,0.670494583544652,0.662490725964822
"68",23.2,0.372815920642651,0.670370227515401,0.662413582250211
"69",23.4,0.372634395223629,0.669839801983928,0.662300677336769
"70",23.6,0.372069138989643,0.669546271349179,0.662101793707302
"71",23.8,0.372002027255146,0.669171463967625,0.662050676220084
"72",24,0.371253751579485,0.668567907920389,0.661772777069083
"73",24.2,0.370753986440405,0.668059375567167,0.661542834591307
"74",24.4,0.370358606942094,0.667914886220071,0.661445315016575
"75",24.6,0.369847422992693,0.667342674052024,0.661197294720713
"76",24.8,0.369536215842197,0.667160311911286,0.661107629681804
"77",25,0.369172691580196,0.666911906388389,0.660997953603226
"78",25.2,0.368737638983106,0.666488209419128,0.660805329052321
"79",25.4,0.368704993496379,0.666475542709654,0.66079277034685
"80",25.6,0.368685273022533,0.666422467413673,0.660785606161334
"81",25.8,0.368170771574734,0.666245728778122,0.660655808952766
"82",26,0.367961939816307,0.666120830589842,0.660577396665424
"83",26.2,0.36782165421517,0.666087390134635,0.6605442345005
"84",26.4,0.36758178813242,0.666035317246435,0.660492594961028
"85",26.6,0.367485887802973,0.665944456937486,0.660447916740389
"86",26.8,0.367302257062419,0.665904870332013,0.660408656872929
"87",27,0.36696010581473,0.66556374837262,0.660251950380833
"88",27.2,0.366723638678469,0.664944926837897,0.660091645311863
"89",27.4,0.366654485844507,0.664920736359731,0.660067631394486
"90",27.6,0.36643727763936,0.664729932011015,0.659968905894974
"91",27.8,0.366007921919813,0.6645171633662,0.659848318357556
"92",28,0.365796794994694,0.664346216111785,0.659769206028068
"93",28.2,0.365533120133451,0.663991397095849,0.659643295177623
"94",28.4,0.365157934721053,0.663881587709401,0.659579490108283
"95",28.6,0.364928830746218,0.663747931642197,0.659491976282418
"96",28.8,0.364849258091103,0.663679266220485,0.659469022580751
"97",29,0.364684133439274,0.663626799448215,0.659416888646804
"98",29.2,0.364660226418456,0.663619373893968,0.659409510198733
"99",29.4,0.364252298880977,0.663502131201875,0.659338270624073
"100",29.6,0.364044189471559,0.663333032176059,0.659260728431458
"101",29.8,0.363945139099458,0.663317771033388,0.659245560979295
