"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"1",-1,0.347192067757059,0.687915400760628,0.687915400760628
"2",15,0.386089884659104,0.773551745838593,0.541782614527324
"3",17,0.445289467146451,0.778467794746165,0.530041091265635
"4",19,0.451799496800806,0.778973009724224,0.53205869036993
"5",21,0.481699613507187,0.780699465165703,0.523557432430759
"6",23,0.491183770056068,0.781451194630657,0.525451999918792
"7",25,0.509180405260829,0.783284331529561,0.511136521213433
"8",25.2,0.509180405260829,0.783284331529561,0.511136521213433
"9",25.4,0.509180405260829,0.783284331529561,0.511136521213433
"10",25.6,0.509180405260829,0.783284331529561,0.511136521213433
"11",25.8,0.509180405260829,0.783284331529561,0.511136521213433
"12",26,0.509180405260829,0.783284331529561,0.511136521213433
"13",26.2,0.509224415851014,0.783146710639451,0.521415696338415
"14",26.4,0.509305576486888,0.783163305591935,0.518746124886096
"15",26.6,0.514865271250126,0.78263146333736,0.507843591133489
"16",26.8,0.514559483747087,0.782425158338855,0.505900919904332
"17",27,0.515066046885394,0.782399664105169,0.508104609569438
"18",27.2,0.51857272996828,0.782518805609587,0.510036878117194
"19",27.4,0.51857272996828,0.782518805609587,0.510036878117194
"20",27.6,0.518197595668548,0.782232038677891,0.509697579013345
"21",27.8,0.51955558787173,0.782350219896227,0.504491459088149
"22",28,0.519386307695288,0.782246287847724,0.503838138758385
"23",28.2,0.519236689139409,0.782145381087378,0.505413704716986
"24",28.4,0.519019360252247,0.782028445724574,0.50473920735738
"25",28.6,0.52018463401828,0.781999556093959,0.505931579260383
"26",28.8,0.520892474123301,0.781591691868378,0.504864184608344
"27",29,0.521708614259183,0.781588099626895,0.504690477104421
"28",29.2,0.521166483479719,0.781251636309405,0.504053718473497
"29",29.4,0.521920497773997,0.781249985412175,0.503395244194013
"30",29.6,0.521920497773997,0.781249985412175,0.503395244194013
"31",29.8,0.521920497773997,0.781249985412175,0.503395244194013
"32",30,0.521920497773997,0.781249985412175,0.503395244194013
"33",30.2,0.522048544516877,0.781281861916731,0.504511361465869
"34",30.4,0.522048544516877,0.781281861916731,0.504511361465869
"35",30.6,0.522305343407282,0.781345818698704,0.505772051181448
"36",30.8,0.521739925788475,0.78045757612306,0.506353284301735
"37",31,0.521033381083358,0.780093002351078,0.506135751983986
"38",31.2,0.519760774508624,0.779558828012948,0.506113076941773
"39",31.4,0.519760774508624,0.779558828012948,0.506113076941773
"40",31.6,0.518925895266354,0.778812726396486,0.500757910124895
"41",31.8,0.519853961154459,0.77880912967437,0.497910042345221
"42",32,0.519436760300693,0.778579349277992,0.497529761728175
"43",32.2,0.519436760300693,0.778579349277992,0.497529761728175
"44",32.4,0.519436760300693,0.778579349277992,0.497529761728175
"45",32.6,0.519740444671935,0.778658446292547,0.49625726440712
"46",32.8,0.519983907129716,0.778721936183837,0.504247774800212
"47",33,0.519564792163383,0.778480051086894,0.497811028480668
"48",33.2,0.519564792163383,0.778480051086894,0.497811028480668
"49",33.4,0.520017589014263,0.778119486805911,0.501757987411853
"50",33.6,0.519664610259867,0.777907275279834,0.500734699619184
"51",33.8,0.519964078094888,0.777927582254876,0.504050894864709
"52",34,0.519971110128925,0.777811299550846,0.50218893981767
"53",34.2,0.519971110128925,0.777811299550846,0.50218893981767
"54",34.4,0.519389473109863,0.777479314222157,0.501161047597243
"55",34.6,0.519884732523118,0.777261387053327,0.502382507292328
"56",34.8,0.519224408221764,0.776792411507382,0.5022389849959
"57",35,0.519224408221764,0.776792411507382,0.5022389849959
"58",35.2,0.519005303776103,0.776617426450134,0.499891033933479
"59",35.4,0.519362861500407,0.776647297641268,0.500804797632063
"60",35.6,0.519420433111586,0.776662976757997,0.500702388064807
"61",35.8,0.519420433111586,0.776662976757997,0.500702388064807
"62",36,0.51936730845993,0.776591128912896,0.501408186090945
"63",36.2,0.51936730845993,0.776591128912896,0.501408186090945
"64",36.4,0.519098981356693,0.776289047553329,0.496009933111826
"65",36.6,0.518570225480602,0.775915684922852,0.500168197300888
"66",36.8,0.518570225480602,0.775915684922852,0.500168197300888
"67",37,0.518570225480602,0.775915684922852,0.500168197300888
"68",40,0.509801333534653,0.770709352108927,0.501249831004418
"69",45,0.504118583208811,0.766037487097077,0.574283183485875
"70",50,0.4946353451967,0.759877558598533,0.61484057048487
"71",55,0.48616002654735,0.753944758213376,0.621448606180827
"72",60,0.479508351274308,0.749225110350811,0.622809148866291
"73",75,0.461564376966243,0.737621575230459,0.630192543197964
"74",90,0.449018879039828,0.730672253251465,0.634557545491241
"75",105,0.439074459151709,0.725660161645455,0.636570213475606
"76",120,0.432689873810156,0.722622974693093,0.642707238348381
"77",180,0.417372524704982,0.716340772994162,0.651159767663146
"78",240,0.404838242244397,0.711143981554245,0.662752547309946
"79",300,0.393743733222859,0.706541854236345,0.670350835421933
