,Mode,Licence,Family,Cars,Time.Auto,Time.Transit,Time.Active,Cost.Auto,Cost.Transit
0,Transit,0,Family,1,17.474220000000003,75.468478,223.2147,1.00664,2.22
1,Active,1,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
2,Transit,1,Family,1,50.17188,155.55116999999998,349.78845,1.751424,4.4154029999999995
3,Active,1,Other,0,1.049121,16.675728,10.491209999999999,0.04728249,2.22
4,Active,1,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
5,Active,0,Other,0,3.068723,25.742024,23.927640000000004,0.1104144,2.22
6,Transit,0,Family,2,14.542720000000001,53.74530100000001,172.4934,0.8657116,2.22
7,Auto,1,Family,2,60.657419999999995,213.66741,694.2008999999999,3.5381,6.546093
8,Active,1,Other,1,15.759179999999999,42.637287,93.900495,0.43241490000000005,4.439915
9,Transit,1,Other,1,66.12179,117.968371,446.0127,2.3258959999999997,9.416795
10,Transit,1,Family,1,26.741290000000003,79.65141700000002,184.09215,0.8485720999999999,4.44
11,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
12,Transit,1,Family,2,42.48558,133.416563,306.17909999999995,1.48227,3.0098979999999997
13,Active,1,Other,1,2.595157,27.40234,23.805030000000002,0.1169349,2.22
14,Active,0,Other,1,4.289724,29.3483,30.6678,0.13821570000000002,2.22
15,Transit,1,Other,0,10.911489999999999,42.701539000000004,73.300215,0.3312323,2.22
16,Active,0,Other,0,4.372437000000001,25.162232,31.4544,0.1449876,2.22
17,Transit,0,Family,2,45.03045,94.027575,281.47785,1.413008,4.44
18,Transit,0,Other,0,3.320328,31.447038,28.74147,0.1391828,2.22
19,Transit,0,Family,1,38.66856,121.87445,373.66335,2.6990790000000002,8.676435000000001
20,Active,1,Other,0,2.523888,24.493026999999998,28.469009999999997,0.1283061,2.22
21,Transit,1,Family,1,32.80055,110.67659099999999,292.08585,1.543709,3.702317
22,Transit,1,Family,2,56.11577,106.759166,367.53165,1.771327,5.9172970000000005
23,Transit,0,Family,1,40.6925,116.478907,289.56794999999994,1.400743,2.808682
24,Active,1,Family,1,32.90234,68.344045,213.1467,1.037275,2.22
25,Active,1,Other,0,31.103579999999997,71.911254,177.3735,0.9133964,3.6170139999999997
26,Active,1,Other,0,2.0714900000000003,24.722109,19.031309999999998,0.09542036,2.22
27,Active,1,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
28,Transit,1,Other,1,23.7902,98.9388,204.6681,0.9645706000000001,1.98
29,Active,1,Other,0,2.523888,24.493026999999998,28.469009999999997,0.1283061,2.22
30,Active,1,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
31,Active,1,Other,1,2.595157,27.40234,23.805030000000002,0.1169349,2.22
32,Transit,0,Family,0,56.19446,126.74985,368.2065,1.8377880000000002,4.44
33,Auto,1,Family,2,28.717879999999997,88.993634,239.29364999999999,1.13107,2.57
34,Transit,0,Family,1,15.382270000000002,72.18695500000001,155.8368,0.7983568,4.2
35,Active,0,Other,0,2.595157,27.40234,23.805030000000002,0.1169349,2.22
36,Active,0,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
37,Transit,1,Other,2,92.61941999999999,176.27694000000002,746.73885,3.852046,12.61143
38,Active,1,Other,0,2.510406,26.944984,21.925545,0.09881553,2.22
39,Active,0,Other,0,1.3311520000000001,20.977919,13.21644,0.05956474,2.22
40,Active,0,Family,0,10.52242,43.067991000000006,68.26956,0.3636483,2.710023
41,Transit,1,Other,0,7.717772999999999,37.877319,75.9915,0.3424836,1.98
42,Auto,1,Family,2,9.07656,44.284079,124.20957000000001,0.5644698,2.22
43,Auto,1,Family,2,8.371546,39.260653000000005,113.734875,0.512588,2.22
44,Active,1,Other,0,2.014925,20.126511999999998,15.20709,0.071525,2.22
45,Transit,1,Other,1,7.594738,37.915189,55.39156499999999,0.2496424,2.22
46,Transit,0,Family,2,10.3305,42.667442,145.084905,0.6538783,2.22
47,Transit,1,Other,0,28.59184,50.628108000000005,188.0475,0.9386870999999999,2.22
48,Transit,0,Family,2,55.53103,124.98586200000001,539.59335,3.225347,9.270988000000001
49,Active,1,Family,0,3.4422599999999997,30.10613,27.606600000000004,0.1244193,2.22
50,Transit,0,Other,2,6.993628,41.961507,63.52813499999999,0.2903923,1.98
51,Transit,0,Other,0,17.36111,37.486876,89.375625,0.4238017,2.22
52,Transit,0,Family,2,29.964170000000003,73.846985,195.58275,0.9003585,4.44
53,Transit,1,Other,0,22.874879999999997,67.698063,283.96815,1.280054,4.44
54,Auto,1,Family,3,52.769709999999996,154.97677,602.8362000000001,3.0620849999999997,9.603736999999999
55,Transit,1,Family,1,49.78134,115.17184099999999,320.1726,1.5098770000000001,6.657825999999999
56,Active,1,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
57,Active,0,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
58,Transit,1,Family,1,8.122135,41.445084,102.41788500000001,0.4633701,2.22
59,Transit,1,Family,2,4.614781,24.989461,59.37669,0.26760290000000003,2.22
60,Transit,1,Family,2,65.54975,154.84435000000005,517.41405,2.540621,8.833153999999999
