Level,Status,Mode,Gender,Licence,Work,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Active,Female,0,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,3,Unknown,3.068723,25.742024,23.927640000000004
Grad,FT,Active,Female,1,"No, I don't work",Live with partner,1,0,2,Unknown,2.595157,27.40234,23.805030000000002
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with roommates,0,0,2,"$ 60,000 - 89,999",3.320328,31.447038,28.74147
Grad,PT,Active,Male,1,"Yes, I work > 40 hours per week",Live with family/parents,1,1,2,"$ 150,000 - 179,999",32.90234,68.344045,213.1467
UG,FT,Active,Male,1,"No, I don't work",Live with roommates,0,0,2,"Less than $ 30,000",2.523888,24.493026999999998,28.469009999999997
UG,FT,Auto,Male,1,"No, I don't work",Live with family/parents,2,0,3,I donâ€™t know,28.717879999999997,88.993634,239.29364999999999
UG,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,6,Unknown,1.117177,20.195869,11.101709999999999
UG,FT,Auto,Male,1,"No, I don't work",Live with family/parents,2,1,2,"$ 60,000 - 89,999",8.371546,39.260653000000005,113.734875
UG,FT,Active,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,0,0,3,Unknown,3.4422599999999997,30.10613,27.606600000000004
Grad,FT,Active,Male,1,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,4,Unknown,1.117177,20.195869,11.101709999999999
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,2,0,5,Unknown,78.52783000000001,170.45036000000002,645.25155
Grad,FT,Transit,Male,0,"No, I don't work",Live alone,0,0,1,"$ 30,000 - 59,999",29.070829999999997,57.75046700000001,176.15535
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,0,0,5,"Less than $ 30,000",34.2549,126.64475300000001,435.43215000000004
UG,FT,Transit,Male,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,1,5,"$ 30,000 - 59,999",12.01931,52.160221,82.95414
Grad,FT,Transit,Female,1,"No, I don't work",Live alone,0,0,1,"Less than $ 30,000",13.92199,41.453521,83.277195
Grad,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,1,2,"$ 90,000 - 119,999",49.678020000000004,85.109091,298.2465
Other,Other,Active,Female,0,"Yes, I work part time (<10 hours per week)",Live with partner,0,0,2,"Less than $ 30,000",2.776623,26.813798,23.593725
UG,PT,Transit,Female,1,"Yes, I work > 40 hours per week",Live with family/parents,1,0,2,I donâ€™t know,11.27827,44.993718,74.18136
UG,FT,Transit,Male,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,4,"$ 120,000 - 149,999",48.56919,135.888826,331.77645
UG,FT,Active,Male,1,"Yes, I work part time (<10 hours per week)",Live with roommates,1,0,3,Unknown,1.464106,25.325449,14.598600000000001
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,1,2,3,I donâ€™t know,63.395309999999995,160.491967,474.73455000000007
UG,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,2,"$ 30,000 - 59,999",7.717772999999999,37.877319,75.9915
UG,FT,Auto,Male,1,"No, I don't work",Live with family/parents,1,0,5,I donâ€™t know,32.172740000000005,110.024981,272.87475
Grad,PT,Active,Female,1,"No, I don't work",Live alone,0,0,1,"Less than $ 30,000",0.0,0.0,0.0
Grad,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,4,I donâ€™t know,65.64657,96.277786,472.7253
UG,FT,Auto,Male,1,"No, I don't work",Live with partner,2,0,2,I donâ€™t know,19.18929,52.600751,114.68679
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with roommates,0,0,6,Unknown,9.638221000000001,34.536596,55.197585000000004
UG,FT,Transit,Male,0,"Yes, I work part time (21-30 hours per week)",Live with family/parents,1,1,3,"$ 90,000 - 119,999",32.571740000000005,69.622366,212.3673
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,3,Unknown,7.019825999999999,31.444467,96.208185
UG,FT,Active,Female,1,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,3,Unknown,2.924953,24.128386,16.985265000000002
UG,FT,Auto,Female,1,"No, I don't work",Live with family/parents,3,0,6,"$ 90,000 - 119,999",59.263980000000004,176.51618100000005,657.8274
UG,FT,Auto,Female,1,"No, I don't work",Live with roommates,2,0,4,Unknown,9.900758999999999,45.887638,110.07012
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,1,1,3,Unknown,16.34346,58.225728,172.3128
Grad,FT,Active,Male,0,"No, I don't work",Live with roommates,0,0,4,Unknown,1.117177,20.195869,11.101709999999999
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,1,1,2,I donâ€™t know,24.70085,197.618433,165.3153
UG,FT,Active,Female,1,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,3,I donâ€™t know,1.710853,20.776487,15.946485
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,4,"$ 60,000 - 89,999",15.91009,71.09102999999998,207.3231
UG,FT,Active,Female,1,"No, I don't work",Live with roommates,0,0,2,Unknown,3.320328,31.447038,28.74147
Grad,FT,Transit,Female,1,"No, I don't work",Live with roommates,0,0,4,Unknown,11.14976,53.00517600000001,80.79070499999999
Grad,FT,Active,Female,1,"No, I don't work",Live alone,0,0,1,Unknown,2.595157,27.40234,23.805030000000002
Grad,FT,Transit,Female,1,"No, I don't work",Live with partner,1,0,2,Unknown,18.206,67.200422,126.93099
UG,FT,Auto,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,4,0,4,I donâ€™t know,79.51396,142.466712,533.96415
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,2,1,3,"$ 30,000 - 59,999",4.58473,33.84206399999999,49.847955
Grad,FT,Transit,Female,1,"No, I don't work",Live alone,0,0,1,"Less than $ 30,000",13.0839,43.443395,85.07454
Grad,FT,Transit,Female,1,"Yes, I work > 40 hours per week",Live with partner,1,2,2,"$ 150,000 - 179,999",50.17188,155.55116999999998,349.78845
Grad,FT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with roommates,0,0,4,I donâ€™t know,13.00131,35.417331,71.57238000000001
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,1,0,3,Unknown,29.582459999999998,62.974813,181.27155000000002
Grad,FT,Transit,Female,0,"Yes, I work 31-40 hours per week",Live with partner,3,0,4,I donâ€™t know,69.71825,114.92243,529.3862999999999
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,1,5,Unknown,31.237240000000003,50.903516,187.5885
Grad,FT,Transit,Male,1,"No, I don't work",Live with family/parents,2,0,4,"$ 180,000 - 209,999",78.49124,190.57783500000002,489.24735000000004
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,2,0,5,Unknown,7.629183,42.10006300000001,98.67043500000001
UG,FT,Auto,Female,0,"No, I don't work",Live with family/parents,2,0,4,Unknown,25.88474,109.56773700000001,231.97665000000003
UG,FT,Active,Female,0,"Yes, I work part time (11-20 hours per week)",Live alone,0,0,1,"Less than $ 30,000",2.776623,26.813798,23.593725
Grad,PT,Auto,Female,1,"Yes, I work > 40 hours per week",Live with family/parents,1,1,2,"$ 60,000 - 89,999",46.048140000000004,98.189573,294.91305
Grad,FT,Active,Female,1,"Yes, I work part time (<10 hours per week)",Live with partner,0,0,2,Unknown,4.289724,29.3483,30.6678
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,5,Unknown,23.56165,108.22236200000002,220.21485
UG,PT,Transit,Male,1,"Yes, I work > 40 hours per week",Live with partner,1,0,3,"$ 60,000 - 89,999",33.87375,81.889028,221.18204999999998
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,1,1,4,Unknown,47.966840000000005,127.490498,334.04475
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,1,3,"$ 30,000 - 59,999",12.25042,55.637858,155.89725
Grad,FT,Active,Female,1,"Yes, I work part time (11-20 hours per week)",Live with partner,0,0,2,Unknown,11.07215,46.064018,65.243415
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,1,0,4,"Less than $ 30,000",4.458424,41.395728999999996,47.800875
UG,FT,Transit,Male,1,"Yes, I work part time (21-30 hours per week)",Live with roommates,0,0,3,"Less than $ 30,000",28.00275,96.577332,250.38615
UG,PT,Transit,Male,1,"Yes, I work part time (<10 hours per week)",Live with partner,2,1,2,Unknown,36.27782,80.352112,226.86435
UG,FT,Auto,Female,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,2,0,3,Unknown,9.900758999999999,45.887638,110.07012
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,1,0,4,"Less than $ 30,000",38.79475,85.49893800000002,262.81935000000004
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,3,0,4,Unknown,49.11168,106.36576,343.0512
Grad,PT,Transit,Female,1,"Yes, I work > 40 hours per week",Live with partner,2,1,2,"$ 210,000 - 239,999",70.90111,176.397772,420.819
UG,FT,Active,Male,0,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,2,"$ 30,000 - 59,999",15.85454,47.83985300000001,92.782125
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,4,"$ 60,000 - 89,999",26.988670000000003,101.771003,357.16875
Grad,FT,Active,Male,1,"No, I don't work",Live with roommates,0,0,2,Unknown,2.510406,26.944984,21.925545
Grad,FT,Transit,Female,1,"No, I don't work",Live with roommates,1,0,2,Unknown,6.41246,36.009248,56.021294999999995
Grad,FT,Active,Female,0,"No, I don't work",Live alone,0,0,1,Unknown,17.27627,40.339529,90.411075
Other,Other,Transit,Female,1,"Yes, I work 31-40 hours per week",Live with roommates,1,0,2,Unknown,2.776623,26.813798,23.593725
UG,FT,Transit,Male,0,"No, I don't work",Live alone,1,0,1,I donâ€™t know,23.56165,108.22236200000002,220.21485
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,0,0,3,"Less than $ 30,000",13.848170000000001,63.557005,185.25540000000004
UG,FT,Auto,Female,1,"No, I don't work",Live with family/parents,2,1,6,"Less than $ 30,000",23.70735,98.21541,211.76265
UG,PT,Active,Female,1,"Yes, I work 31-40 hours per week",Live alone,0,0,1,Unknown,3.4422599999999997,30.10613,27.606600000000004
UG,FT,Active,Female,1,"Yes, I work 31-40 hours per week",Live alone,1,0,1,Unknown,6.632627,33.425859,41.7591
UG,FT,Active,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,2,4,Unknown,1.15247,17.169234,11.262285
UG,PT,Active,Female,1,"Yes, I work 31-40 hours per week",Live with roommates,0,0,2,Unknown,4.108721,21.501513000000006,41.46901499999999
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,2,1,7,I donâ€™t know,4.9385129999999995,35.602738,52.556760000000004
UG,FT,Active,Female,0,"Yes, I work part time (11-20 hours per week)",Live with roommates,0,0,2,"Less than $ 30,000",1.710853,20.776487,15.946485
UG,FT,Active,Male,0,"No, I don't work",Live with roommates,0,0,6,Unknown,1.117177,20.195869,11.101709999999999
Grad,FT,Transit,Female,0,"No, I don't work",Live alone,0,0,1,Unknown,6.967558,34.540282,93.842415
Grad,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,3,"$ 120,000 - 149,999",40.6925,116.478907,289.56794999999994
UG,FT,Transit,Male,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,3,0,6,I donâ€™t know,6.699872999999999,40.744312,74.513145
Grad,PT,Active,Female,0,"Yes, I work > 40 hours per week",Live with roommates,1,0,2,"$ 60,000 - 89,999",6.632627,33.425859,41.7591
