,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
0,566,Transit,261,Unknown,17.474220000000003,75.468478,223.2147
1,69,Active,71,"$ 90,000 - 119,999",2.924953,24.128386,16.985265000000002
2,69,Transit,3714,Unknown,50.17188,155.55116999999998,349.78845
3,69,Active,74,Unknown,1.049121,16.675728,10.491209999999999
4,69,Active,71,"$ 30,000 - 59,999",2.924953,24.128386,16.985265000000002
5,69,Active,72,Unknown,3.068723,25.742024,23.927640000000004
6,566,Transit,600,Unknown,14.542720000000001,53.74530100000001,172.4934
7,566,Auto,3420,"$ 30,000 - 59,999",60.657419999999995,213.66741,694.2008999999999
8,69,Active,113,Unknown,15.759179999999999,42.637287,93.900495
9,69,Transit,1031,Unknown,66.12179,117.968371,446.0127
10,69,Transit,237,Unknown,26.741290000000003,79.65141700000002,184.09215
11,69,Active,46,"$ 60,000 - 89,999",2.168042,23.855995999999998,19.46616
12,69,Transit,472,Unknown,42.48558,133.416563,306.17909999999995
13,69,Active,50,Unknown,2.595157,27.40234,23.805030000000002
14,69,Active,21,Unknown,4.289724,29.3483,30.6678
15,69,Transit,209,"Less than $ 30,000",10.911489999999999,42.701539000000004,73.300215
17,69,Active,22,Unknown,4.372437000000001,25.162232,31.4544
18,69,Transit,554,Unknown,45.03045,94.027575,281.47785
19,69,Transit,38,"$ 60,000 - 89,999",3.320328,31.447038,28.74147
20,3631,Transit,3868,Unknown,38.66856,121.87445,373.66335
21,69,Active,67,"$ 60,000 - 89,999",2.523888,24.493026999999998,28.469009999999997
22,566,Transit,1042,Unknown,32.80055,110.67659099999999,292.08585
23,69,Transit,2081,Unknown,56.11577,106.759166,367.53165
24,69,Transit,480,Unknown,40.6925,116.478907,289.56794999999994
25,69,Active,413,"$ 150,000 - 179,999",32.90234,68.344045,213.1467
26,69,Active,542,"Less than $ 30,000",31.103579999999997,71.911254,177.3735
27,69,Active,51,"Less than $ 30,000",2.0714900000000003,24.722109,19.031309999999998
28,69,Active,71,"$ 30,000 - 59,999",2.924953,24.128386,16.985265000000002
29,3631,Transit,3664,Unknown,23.7902,98.9388,204.6681
30,69,Active,67,"Less than $ 30,000",2.523888,24.493026999999998,28.469009999999997
31,69,Active,70,"$ 30,000 - 59,999",1.117177,20.195869,11.101709999999999
32,69,Active,50,I donâ€™t know,2.595157,27.40234,23.805030000000002
33,69,Transit,569,Unknown,56.19446,126.74985,368.2065
34,566,Auto,1062,I donâ€™t know,28.717879999999997,88.993634,239.29364999999999
35,3631,Transit,352,"$ 90,000 - 119,999",15.382270000000002,72.18695500000001,155.8368
36,69,Active,50,Unknown,2.595157,27.40234,23.805030000000002
37,69,Active,70,Unknown,1.117177,20.195869,11.101709999999999
38,69,Transit,4052,"$ 30,000 - 59,999",92.61941999999999,176.27694000000002,746.73885
39,69,Active,40,Unknown,2.510406,26.944984,21.925545
40,69,Active,49,Unknown,1.3311520000000001,20.977919,13.21644
41,69,Active,271,"Less than $ 30,000",10.52242,43.067991000000006,68.26956
42,3631,Transit,3663,Unknown,7.717772999999999,37.877319,75.9915
43,566,Auto,510,Unknown,9.07656,44.284079,124.20957000000001
44,566,Auto,521,"$ 60,000 - 89,999",8.371546,39.260653000000005,113.734875
45,69,Active,73,Unknown,2.014925,20.126511999999998,15.20709
46,69,Transit,202,"Less than $ 30,000",7.594738,37.915189,55.39156499999999
47,566,Transit,509,I donâ€™t know,10.3305,42.667442,145.084905
48,69,Transit,427,I donâ€™t know,28.59184,50.628108000000005,188.0475
49,566,Transit,2078,Unknown,55.53103,124.98586200000001,539.59335
50,69,Active,41,Unknown,3.4422599999999997,30.10613,27.606600000000004
51,3631,Transit,3814,Unknown,6.993628,41.961507,63.52813499999999
52,69,Transit,175,Unknown,17.36111,37.486876,89.375625
53,69,Transit,230,Unknown,29.964170000000003,73.846985,195.58275
54,566,Transit,280,"Less than $ 30,000",22.874879999999997,67.698063,283.96815
55,566,Auto,2448,Unknown,52.769709999999996,154.97677,602.8362000000001
56,69,Transit,2257,Unknown,49.78134,115.17184099999999,320.1726
57,69,Active,70,Unknown,1.117177,20.195869,11.101709999999999
58,69,Active,70,Unknown,1.117177,20.195869,11.101709999999999
59,566,Transit,518,I donâ€™t know,8.122135,41.445084,102.41788500000001
60,566,Transit,496,"$ 60,000 - 89,999",4.614781,24.989461,59.37669
61,69,Transit,3671,Unknown,65.54975,154.84435000000005,517.41405
62,69,Transit,2434,Unknown,78.52783000000001,170.45036000000002,645.25155
63,69,Active,73,Unknown,2.014925,20.126511999999998,15.20709
64,69,Active,68,I donâ€™t know,1.464106,25.325449,14.598600000000001
65,69,Transit,454,"$ 30,000 - 59,999",29.070829999999997,57.75046700000001,176.15535
66,69,Active,94,"Less than $ 30,000",4.911077,31.749745,33.225285
67,566,Transit,400,"Less than $ 30,000",34.2549,126.64475300000001,435.43215000000004
68,3631,Auto,4196,I donâ€™t know,74.63322,201.73118,877.0047000000001
69,69,Active,73,Unknown,2.014925,20.126511999999998,15.20709
70,69,Transit,270,"$ 30,000 - 59,999",12.01931,52.160221,82.95414
71,566,Transit,97,Unknown,35.24685,100.985733,388.3665
72,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
73,69,Active,265,Unknown,15.32311,55.670007999999996,101.65329
74,69,Transit,103,"$ 30,000 - 59,999",7.961721000000001,35.038115999999995,50.06562
75,69,Transit,2420,"Less than $ 30,000",63.633109999999995,143.43285100000003,472.6422
76,69,Transit,273,"Less than $ 30,000",13.92199,41.453521,83.277195
77,69,Active,65,Unknown,3.892384,28.438384000000003,39.42108
78,69,Active,72,Unknown,3.068723,25.742024,23.927640000000004
79,3631,Transit,3811,Unknown,4.3501,30.203819,47.27064
81,69,Active,74,Unknown,1.049121,16.675728,10.491209999999999
82,69,Active,68,Unknown,1.464106,25.325449,14.598600000000001
83,69,Transit,2255,"$ 90,000 - 119,999",49.678020000000004,85.109091,298.2465
84,69,Active,42,Unknown,2.776623,26.813798,23.593725
85,3631,Transit,3687,Unknown,22.57604,89.180144,201.09855
86,69,Active,73,"Less than $ 30,000",2.014925,20.126511999999998,15.20709
87,69,Active,42,"Less than $ 30,000",2.776623,26.813798,23.593725
88,69,Transit,175,"$ 30,000 - 59,999",17.36111,37.486876,89.375625
89,69,Transit,222,I donâ€™t know,19.19235,51.81050000000001,120.050385
90,69,Active,53,Unknown,2.845125,24.990155,27.043575
91,69,Active,50,Unknown,2.595157,27.40234,23.805030000000002
92,3631,Auto,4023,I donâ€™t know,51.14774,121.54133,533.0118
93,69,Transit,172,I donâ€™t know,11.27827,44.993718,74.18136
94,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
95,566,Auto,2395,Unknown,23.800060000000002,90.12109,229.38479999999998
96,69,Transit,147,Unknown,15.85454,47.83985300000001,92.782125
97,69,Active,73,"$ 30,000 - 59,999",2.014925,20.126511999999998,15.20709
98,3631,Transit,328,"$ 180,000 - 209,999",8.250103,35.315525,88.190685
