Mode,Time.Auto,Time.Transit,Time.Active
Transit,17.47422,75.468478,223.2147
Active,2.924953,24.128386,16.985265
Transit,50.17188,155.55117,349.78845
Active,1.049121,16.675728,10.49121
Active,2.924953,24.128386,16.985265
Active,3.068723,25.742024,23.92764
Transit,14.54272,53.745301,172.4934
Auto,60.65742,213.66741,694.2009
Active,15.75918,42.637287,93.900495
Transit,66.12179,117.968371,446.0127
Transit,26.74129,79.651417,184.09215
Active,2.168042,23.855996,19.46616
Transit,42.48558,133.416563,306.1791
Active,2.595157,27.40234,23.80503
Active,4.289724,29.3483,30.6678
Transit,10.91149,42.701539,73.300215
Active,4.372437,25.162232,31.4544
Transit,45.03045,94.027575,281.47785
Transit,3.320328,31.447038,28.74147
Transit,38.66856,121.87445,373.66335
Active,2.523888,24.493027,28.46901
Transit,32.80055,110.676591,292.08585
Transit,56.11577,106.759166,367.53165
Transit,40.6925,116.478907,289.56795
Active,32.90234,68.344045,213.1467
Active,31.10358,71.911254,177.3735
Active,2.07149,24.722109,19.03131
Active,2.924953,24.128386,16.985265
Transit,23.7902,98.9388,204.6681
Active,2.523888,24.493027,28.46901
Active,1.117177,20.195869,11.10171
Active,2.595157,27.40234,23.80503
Transit,56.19446,126.74985,368.2065
Auto,28.71788,88.993634,239.29365
Transit,15.38227,72.186955,155.8368
Active,2.595157,27.40234,23.80503
Active,1.117177,20.195869,11.10171
Transit,92.61942,176.27694,746.73885
Active,2.510406,26.944984,21.925545
Active,1.331152,20.977919,13.21644
Active,10.52242,43.067991,68.26956
Transit,7.717773,37.877319,75.9915
Auto,9.07656,44.284079,124.20957
Auto,8.371546,39.260653,113.734875
Active,2.014925,20.126512,15.20709
Transit,7.594738,37.915189,55.391565
Transit,10.3305,42.667442,145.084905
Transit,28.59184,50.628108,188.0475
Transit,55.53103,124.985862,539.59335
Active,3.44226,30.10613,27.6066
Transit,6.993628,41.961507,63.528135
Transit,17.36111,37.486876,89.375625
Transit,29.96417,73.846985,195.58275
Transit,22.87488,67.698063,283.96815
Auto,52.76971,154.97677,602.8362
Transit,49.78134,115.171841,320.1726
Active,1.117177,20.195869,11.10171
Active,1.117177,20.195869,11.10171
Transit,8.122135,41.445084,102.417885
Transit,4.614781,24.989461,59.37669
Transit,65.54975,154.84435,517.41405
Transit,78.52783,170.45036,645.25155
Active,2.014925,20.126512,15.20709
Active,1.464106,25.325449,14.5986
Transit,29.07083,57.750467,176.15535
Active,4.911077,31.749745,33.225285
Transit,34.2549,126.644753,435.43215
Auto,74.63322,201.73118,877.0047
Active,2.014925,20.126512,15.20709
Transit,12.01931,52.160221,82.95414
Transit,35.24685,100.985733,388.3665
Active,2.168042,23.855996,19.46616
Active,15.32311,55.670008,101.65329
Transit,7.961721,35.038116,50.06562
Transit,63.63311,143.432851,472.6422
Transit,13.92199,41.453521,83.277195
Active,3.892384,28.438384,39.42108
Active,3.068723,25.742024,23.92764
Transit,4.3501,30.203819,47.27064
Active,1.049121,16.675728,10.49121
Active,1.464106,25.325449,14.5986
Transit,49.67802,85.109091,298.2465
Active,2.776623,26.813798,23.593725
Transit,22.57604,89.180144,201.09855
Active,2.014925,20.126512,15.20709
Active,2.776623,26.813798,23.593725
Transit,17.36111,37.486876,89.375625
Transit,19.19235,51.8105,120.050385
Active,2.845125,24.990155,27.043575
Active,2.595157,27.40234,23.80503
Auto,51.14774,121.54133,533.0118
Transit,11.27827,44.993718,74.18136
Active,2.168042,23.855996,19.46616
Auto,23.80006,90.12109,229.3848
Transit,15.85454,47.839853,92.782125
Active,2.014925,20.126512,15.20709
Transit,8.250103,35.315525,88.190685
Transit,48.56919,135.888826,331.77645
Active,1.464106,25.325449,14.5986
Transit,32.36266,73.067319,196.41555
Transit,28.38698,85.444955,355.4073
Transit,21.56203,58.379758,116.348385
Transit,54.61469,155.730367,417.2214
Auto,52.80321,128.95527,559.4454
Active,7.961721,35.038116,50.06562
Auto,1.885362,20.435959,19.86384
Transit,63.39531,160.491967,474.73455
Transit,19.30037,44.767979,104.03547
Active,2.924953,24.128386,16.985265
Transit,5.769032,30.167623,51.040995
Active,7.717773,37.877319,75.9915
Active,2.014925,20.126512,15.20709
Active,2.845125,24.990155,27.043575
Transit,13.53559,50.490273,88.175655
Auto,32.17274,110.024981,272.87475
Transit,26.74129,79.651417,184.09215
Transit,32.01751,83.156993,356.68215
Transit,68.87486,99.884775,526.4025
Active,2.523888,24.493027,28.46901
Transit,4.289724,29.3483,30.6678
Active,1.914187,23.859148,17.990325
Active,0,0,0
Active,2.168042,23.855996,19.46616
Active,7.961721,35.038116,50.06562
Transit,11.05736,37.31815,63.98427
Active,15.89111,45.144366,87.023865
Active,1.15247,17.169234,11.262285
Transit,0,0,0
Transit,65.64657,96.277786,472.7253
Transit,86.34888,151.986856,687.40515
Active,4.603065,25.568201,35.36499
Transit,23.7902,98.9388,204.6681
Transit,3.145816,20.714456,33.342495
Active,7.717773,37.877319,75.9915
Auto,19.18929,52.600751,114.68679
Active,2.141326,19.940688,19.27866
Transit,88.53589,125.59295,626.6409
Transit,54.67905,133.365501,385.8555
Transit,9.638221,34.536596,55.197585
Active,1.117177,20.195869,11.10171
Active,0,0,0
Transit,56.19446,126.74985,368.2065
Transit,26.9185,39.01859,180.0861
Transit,43.24969,130.642229,310.2468
Transit,32.57174,69.622366,212.3673
Active,78.52228,122.85326,598.2861
Active,1.464106,25.325449,14.5986
Transit,31.37389,72.710692,199.884
Transit,2.168042,23.855996,19.46616
Transit,7.019826,31.444467,96.208185
Active,2.168042,23.855996,19.46616
Transit,3.236922,21.681383,26.183565
Transit,5.704483,36.318,56.285505
Transit,38.02369,69.37563,238.95075
Active,2.924953,24.128386,16.985265
Active,1.710853,20.776487,15.946485
Auto,59.26398,176.516181,657.8274
Auto,0,0,0
Auto,9.900759,45.887638,110.07012
Transit,16.34346,58.225728,172.3128
Active,35.95232,71.095504,240.5175
