Mode,Time.1,Time.2,Time.3
2,17.47422,75.468478,223.2147
3,2.924953,24.128386,16.985265
2,50.17188,155.55117,349.78845
3,1.049121,16.675728,10.49121
3,2.924953,24.128386,16.985265
3,3.068723,25.742024,23.92764
2,14.54272,53.745301,172.4934
1,60.65742,213.66741,694.2009
3,15.75918,42.637287,93.900495
2,66.12179,117.968371,446.0127
2,26.74129,79.651417,184.09215
3,2.168042,23.855996,19.46616
2,42.48558,133.416563,306.1791
3,2.595157,27.40234,23.80503
3,4.289724,29.3483,30.6678
2,10.91149,42.701539,73.300215
3,4.372437,25.162232,31.4544
2,45.03045,94.027575,281.47785
2,3.320328,31.447038,28.74147
2,38.66856,121.87445,373.66335
3,2.523888,24.493027,28.46901
2,32.80055,110.676591,292.08585
2,56.11577,106.759166,367.53165
2,40.6925,116.478907,289.56795
3,32.90234,68.344045,213.1467
3,31.10358,71.911254,177.3735
3,2.07149,24.722109,19.03131
3,2.924953,24.128386,16.985265
2,23.7902,98.9388,204.6681
3,2.523888,24.493027,28.46901
3,1.117177,20.195869,11.10171
3,2.595157,27.40234,23.80503
2,56.19446,126.74985,368.2065
1,28.71788,88.993634,239.29365
2,15.38227,72.186955,155.8368
3,2.595157,27.40234,23.80503
3,1.117177,20.195869,11.10171
2,92.61942,176.27694,746.73885
3,2.510406,26.944984,21.925545
3,1.331152,20.977919,13.21644
3,10.52242,43.067991,68.26956
2,7.717773,37.877319,75.9915
1,9.07656,44.284079,124.20957
1,8.371546,39.260653,113.734875
3,2.014925,20.126512,15.20709
2,7.594738,37.915189,55.391565
2,10.3305,42.667442,145.084905
2,28.59184,50.628108,188.0475
2,55.53103,124.985862,539.59335
3,3.44226,30.10613,27.6066
2,6.993628,41.961507,63.528135
2,17.36111,37.486876,89.375625
2,29.96417,73.846985,195.58275
2,22.87488,67.698063,283.96815
1,52.76971,154.97677,602.8362
2,49.78134,115.171841,320.1726
3,1.117177,20.195869,11.10171
3,1.117177,20.195869,11.10171
2,8.122135,41.445084,102.417885
2,4.614781,24.989461,59.37669
2,65.54975,154.84435,517.41405
2,78.52783,170.45036,645.25155
3,2.014925,20.126512,15.20709
3,1.464106,25.325449,14.5986
2,29.07083,57.750467,176.15535
3,4.911077,31.749745,33.225285
2,34.2549,126.644753,435.43215
1,74.63322,201.73118,877.0047
3,2.014925,20.126512,15.20709
2,12.01931,52.160221,82.95414
2,35.24685,100.985733,388.3665
3,2.168042,23.855996,19.46616
3,15.32311,55.670008,101.65329
2,7.961721,35.038116,50.06562
2,63.63311,143.432851,472.6422
2,13.92199,41.453521,83.277195
3,3.892384,28.438384,39.42108
3,3.068723,25.742024,23.92764
2,4.3501,30.203819,47.27064
3,1.049121,16.675728,10.49121
3,1.464106,25.325449,14.5986
2,49.67802,85.109091,298.2465
3,2.776623,26.813798,23.593725
2,22.57604,89.180144,201.09855
3,2.014925,20.126512,15.20709
3,2.776623,26.813798,23.593725
2,17.36111,37.486876,89.375625
2,19.19235,51.8105,120.050385
3,2.845125,24.990155,27.043575
3,2.595157,27.40234,23.80503
1,51.14774,121.54133,533.0118
2,11.27827,44.993718,74.18136
3,2.168042,23.855996,19.46616
1,23.80006,90.12109,229.3848
2,15.85454,47.839853,92.782125
3,2.014925,20.126512,15.20709
2,8.250103,35.315525,88.190685
2,48.56919,135.888826,331.77645
3,1.464106,25.325449,14.5986
2,32.36266,73.067319,196.41555
2,28.38698,85.444955,355.4073
2,21.56203,58.379758,116.348385
2,54.61469,155.730367,417.2214
1,52.80321,128.95527,559.4454
3,7.961721,35.038116,50.06562
1,1.885362,20.435959,19.86384
2,63.39531,160.491967,474.73455
