"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.390020452594806","0","0"
"2","0 | Income  |  Time","0.394439897292846","0.0072452342325896","0.00710460371705357"
"3","0 | Children  |  Time","0.392305206849227","0.0037456243641939","0.00360499384865776"
"4","0 | Adults  |  Time","0.390484517777525","0.000760788102966425","0.000620157587430392"
"5","0 | Family  |  Time","0.411968490238059","0.0359815960004199","0.0358409654848838"
"6","0 | Family + Children  |  Time","0.412038985493461","0.0360971658678075","0.0358159048367354"
"7","0 | Family + Adults  |  Time","0.412128778303013","0.0362443721305972","0.035963111099525"
"8","0 | Adults + Children  |  Time","0.392635208048122","0.00428662807538227","0.00400536704431009"
"9","0 | Family + Income  |  Time","0.415717400333762","0.0421275563226167","0.0418462952915445"
"10","0 | Family + Children + Adults  |  Time","0.412211285745561","0.0363796347683355","0.0359577432217272"
"11","0 | Family + Children + Income  |  Time","0.415809041022297","0.0422777919967872","0.0418559004501788"
"12","0 | Family + Adults + Income  |  Time","0.415836304188343","0.0423224872101953","0.0419005956635869"
"13","0 | Family + Children + Adults + Income  |  Time","0.415937869948126","0.042488994038522","0.0419264719763776"
"14","0 | Cars  |  Time","0.431239444925078","0.0675743842652019","0.0674337537496659"
"15","0 | Licence  |  Time","0.413713122497202","0.0388417447817436","0.0387011142662075"
"16","0 | Car_Avail  |  Time","0.390776352540368","0.00123922178830016","0.00109859127276402"
"17","0 | Cars + Licence  |  Time","0.450020918363777","0.0983647173486534","0.0980834563175812"
"18","0 | Cars + Car_Avail  |  Time","0.434151628208502","0.0723486152960804","0.0720673542650082"
"19","0 | Cars + Income  |  Time","0.432489894706556","0.0696243706734292","0.069343109642357"
"20","0 | Income + Licence  |  Time","0.416895272782249","0.0440585595070638","0.0437772984759917"
"21","0 | Income + Car_Avail  |  Time","0.395292612949633","0.00864317562327133","0.00836191459219915"
"22","0 | Car_Avail + Licence  |  Time","0.42226071292745","0.0528546579467979","0.0525733969157257"
"23","0 | Cars + Car_Avail + Licence  |  Time","0.462106172634389","0.118177273887674","0.117755382341066"
"24","0 | Cars + Income + Licence  |  Time","0.450691611816638","0.0994642516784744","0.0990423601318661"
"25","0 | Cars + Car_Avail + Income  |  Time","0.435334001946265","0.0742869978906984","0.0738651063440899"
"26","0 | Income + Car_Avail + Licence  |  Time","0.425510417800021","0.0581822216108502","0.0577603300642419"
"27","0 | Cars + Car_Avail + Licence + Income  |  Time","0.462598151603069","0.118983823829836","0.118421301767692"
"28","0 | Family  |  Time","0.411968490238059","0.0359815960004199","0.0358409654848838"
"29","0 | Cars  |  Time","0.431239444925078","0.0675743842652019","0.0674337537496659"
"30","0 | Family + Cars  |  Time","0.448599059631081","0.0960337232378754","0.0957524622068031"
"31","0 | Family + Children + Cars  |  Time","0.448609805337416","0.0960513397405606","0.0956294481939522"
"32","0 | Family + Cars + Licence  |  Time","0.462349580326349","0.118576316270316","0.118154424723708"
"33","0 | Family + Cars + Income  |  Time","0.449561547893319","0.0976116257533498","0.0971897342067415"
"34","0 | Family + Children + Cars + Licence  |  Time","0.462359534192298","0.118592634630484","0.118030112568339"
"35","0 | Family + Children + Cars + Licence + Income  |  Time","0.462984183012423","0.119616683424877","0.118913530847196"
"36","0 | Family + Children + Adults + Cars  |  Time","0.451227807771849","0.100343290914285","0.0997807688521404"
"37","0 | Family + Children + Adults + Cars + Income  |  Time","0.452153171045766","0.101860330752512","0.101157178174831"
"38","0 | Family + Cars + Licence + Car_Avail  |  Time","0.472943554609635","0.135944069547212","0.135381547485068"
"39","0 | Family + Cars + Licence + Car_Avail + Income  |  Time","0.473440417473291","0.136758626143035","0.136055473565355"
"40","0 | Family + Children + Cars + Licence + Car_Avail + Income  |  Time","0.473441622099535","0.136760601006371","0.135916817913155"
"41","0 | Family + Children + Adults + Cars + Licence + Car_Avail + Income  |  Time","0.474643330815921","0.138730681350046","0.137746267741293"
"42","0 | Gender  |  Time","0.391317194975512","0.00212587845973244","0.0019852479441963"
"43","0 | Level  |  Time","0.393898606965995","0.00635784328783917","0.00621721277230314"
"44","0 | Status  |  Time","0.393928168542251","0.00640630651317509","0.00626567599763905"
"45","0 | Work  |  Time","0.392179022647419","0.00353875808098114","0.003398127565445"
"46","0 | Gender + Level  |  Time","0.39510432309041","0.00833449337314729","0.008053232342075"
"47","0 | Gender + Status  |  Time","0.395200867719579","0.00849276856381609","0.0082115075327438"
"48","0 | Gender + Work  |  Time","0.393447274195258","0.00561792869126465","0.00533666766019247"
"49","0 | Level + Work  |  Time","0.396098155601082","0.00996378162535216","0.00968252059427999"
"50","0 | Status + Work  |  Time","0.394984445357778","0.00813796591064164","0.00785670487956935"
"51","0 | Gender + Level + Work  |  Time","0.397277467510886","0.011897144661572","0.0114752531149636"
"52","0 | Gender + Status + Work  |  Time","0.396236030101478","0.0101898129750625","0.00976792142845417"
"53","0 | Family  |  Time","0.411968490238059","0.0359815960004199","0.0358409654848838"
"54","0 | Cars  |  Time","0.431239444925078","0.0675743842652019","0.0674337537496659"
"55","0 | Level  |  Time","0.393898606965995","0.00635784328783917","0.00621721277230314"
"56","0 | Level + Family  |  Time","0.413375114491991","0.0382876147184511","0.0380063536873789"
"57","0 | Level + Cars  |  Time","0.433877120511561","0.0718985875892371","0.0716173265581649"
"58","0 | Level + Family + Cars  |  Time","0.449808345305131","0.0980162252401063","0.0975943336934979"
