"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.358517865549181","0","0"
"2","0 | Income  |  Time","0.363165930795311","0.00724582181873223","0.00711472438842831"
"3","0 | Cars  |  Time","0.41399296888174","0.0864795765201667","0.0863484790898628"
"4","0 | Licence  |  Time","0.382815627529931","0.0378775349707168","0.0377464375404128"
"5","0 | Car_Avail  |  Time","0.359382753500298","0.00134826506408958","0.00121716763378565"
"6","0 | Cars + Licence  |  Time","0.433104086601397","0.116271704302522","0.116009509441914"
"7","0 | Cars + Car_Avail  |  Time","0.417393726574351","0.0917809832312403","0.0915187883706323"
"8","0 | Cars + Income  |  Time","0.415093557872663","0.0881952735471225","0.0879330786865146"
"9","0 | Income + Licence  |  Time","0.386210779483302","0.0431702029516835","0.0429080080910756"
"10","0 | Income + Car_Avail  |  Time","0.364158718712851","0.00879346884461507","0.0085312739840071"
"11","0 | Car_Avail + Licence  |  Time","0.391956166258204","0.0521266281837306","0.0518644333231226"
"12","0 | Cars + Car_Avail + Licence  |  Time","0.446049252277689","0.136451791916926","0.136058499626014"
"13","0 | Cars + Income + Licence  |  Time","0.433642395907178","0.11711086922524","0.116717576934328"
"14","0 | Cars + Car_Avail + Income  |  Time","0.418431428706212","0.0933986465707646","0.0930053542798526"
"15","0 | Income + Car_Avail + Licence  |  Time","0.395413722624859","0.0575165777722949","0.0571232854813829"
"16","0 | Cars + Car_Avail + Licence + Income  |  Time","0.44638541293001","0.136975829351903","0.136451439630687"
