"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.358517865549181","0","0"
"2","0 | Family  |  Time","0.390697304048489","0.0501642006395986","0.0500331032092947"
"3","0 | Cars  |  Time","0.41399296888174","0.0864795765201667","0.0863484790898628"
"4","0 | Family + Cars  |  Time","0.434384525982095","0.118267768279884","0.118005573419276"
"5","0 | Family + Children + Cars  |  Time","0.434490891772197","0.118433580832392","0.11804028854148"
"6","0 | Family + Cars + Licence  |  Time","0.448431861472202","0.140166017250033","0.139772724959121"
"7","0 | Family + Cars + Income  |  Time","0.435183060603302","0.119512595810256","0.119119303519344"
"8","0 | Family + Children + Cars + Licence  |  Time","0.448574600270409","0.14038853131635","0.139864141595134"
"9","0 | Family + Children + Cars + Licence + Income  |  Time","0.449060921988388","0.141146653315173","0.140491166163653"
"10","0 | Family + Children + Adults + Cars  |  Time","0.437603976273354","0.123286536719967","0.122762146998751"
"11","0 | Family + Children + Adults + Cars + Income  |  Time","0.438364981319093","0.124472859775387","0.123817372623867"
"12","0 | Family + Cars + Licence + Car_Avail  |  Time","0.459867619535612","0.157993104629794","0.157468714908578"
"13","0 | Family + Cars + Licence + Car_Avail + Income  |  Time","0.46021245606077","0.158530666795034","0.157875179643514"
"14","0 | Family + Children + Cars + Licence + Car_Avail + Income  |  Time","0.460315208340452","0.158690846282759","0.157904261700935"
"15","0 | Family + Children + Adults + Cars + Licence + Car_Avail + Income  |  Time","0.46179356380365","0.160995439635875","0.160077757623748"
