"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.358517865549181","0","0"
"2","0 | Family  |  Time","0.390697304048489","0.0501642006395986","0.0500331032092947"
"3","0 | Children  |  Time","0.363483626535667","0.00774107448953065","0.00760997705922672"
"4","0 | Adults  |  Time","0.359169932475763","0.0010165005252103","0.000885403094906367"
"5","0 | Income  |  Time","0.363165930795311","0.00724582181873223","0.00711472438842831"
"6","0 | Family + Children  |  Time","0.391071199654988","0.0507470627123184","0.0504848678517105"
"7","0 | Family + Adults  |  Time","0.390827189551828","0.0503666778347746","0.0501044829741666"
"8","0 | Adults + Children  |  Time","0.363911618720199","0.00840826716964815","0.00814607230904019"
"9","0 | Family + Income  |  Time","0.394433425845487","0.0559884030551437","0.0557262081945358"
"10","0 | Family + Children + Adults  |  Time","0.391219174541262","0.0509777392632728","0.0505844469723609"
"11","0 | Family + Children + Income  |  Time","0.394842552624138","0.0566261866451749","0.056232894354263"
"12","0 | Family + Adults + Income  |  Time","0.39452260934791","0.0561274303134774","0.0557341380225654"
"13","0 | Family + Children + Adults + Income  |  Time","0.39494604056951","0.0567875129546926","0.0562631232334767"
