"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.358517865549181","0","0"
"2","0 | Gender  |  Time","0.360068359935509","0.00241704998948333","0.0022859525591794"
"3","0 | Level  |  Time","0.362176235912772","0.00570299649377426","0.00557189906347022"
"4","0 | Status  |  Time","0.363322152134637","0.00748935368179682","0.00735825625149278"
"5","0 | Work  |  Time","0.361031369523591","0.00391827587928495","0.00378717844898102"
"6","0 | Gender + Level  |  Time","0.363625616065517","0.0079624205289972","0.00770022566838924"
"7","0 | Gender + Status  |  Time","0.364856607183325","0.00988140011034222","0.00961920524973436"
"8","0 | Gender + Work  |  Time","0.36254691369526","0.00628084233324544","0.00601864747263758"
"9","0 | Level + Work  |  Time","0.364778890027209","0.00976024762308958","0.00949805276248161"
"10","0 | Status + Work  |  Time","0.364525953082621","0.00936594678288905","0.00910375192228119"
"11","0 | Gender + Level + Work  |  Time","0.36619694119793","0.0119708332256576","0.0115775409347457"
"12","0 | Gender + Status + Work  |  Time","0.366031412096694","0.0117127915868549","0.011319499295943"
