,School_Type,PD,Age,Closest_Type,Income_High,Income_Low,Family_True,Family_False,Cars2+,Cars1,Cars0,Licence_True,Licence_False
16062,University,31,18.0,1,0,1,1,0,1,0,0,1,0
12761,University,8,19.0,0,0,0,1,0,0,0,0,0,1
7609,University,33,18.0,1,0,0,0,0,0,0,0,1,0
10027,University,1,18.0,1,0,0,0,1,0,0,1,1,0
9417,College,35,28.0,0,0,1,0,1,0,0,1,0,1
8233,University,8,23.0,1,0,0,1,0,0,1,0,1,0
14965,University,29,22.0,1,0,0,0,0,0,0,0,0,1
591,College,16,18.0,0,0,0,1,0,0,1,0,0,1
1274,College,21,25.0,0,0,0,1,0,0,1,0,0,1
11080,University,1,18.0,1,0,0,0,0,0,0,0,0,1
4013,College,41,18.0,1,0,0,0,0,0,0,0,0,1
11439,University,2,20.0,1,0,0,0,0,0,0,0,1,0
1283,College,23,19.0,0,0,1,1,0,1,0,0,0,1
16162,University,29,18.0,1,1,0,1,0,1,0,0,1,0
2877,University,46,20.0,0,1,0,0,1,0,0,1,1,0
13037,University,1,20.0,1,0,0,1,0,1,0,0,0,1
989,College,21,19.0,0,0,1,1,0,1,0,0,0,1
11986,University,13,18.0,0,0,1,1,0,0,1,0,1,0
8562,University,29,19.0,1,0,0,0,1,1,0,0,0,1
791,College,12,25.0,1,0,0,0,0,0,0,0,0,0
14902,University,3,22.0,0,0,0,0,1,0,0,1,1,0
12488,University,35,22.0,0,1,0,1,0,1,0,0,1,0
15940,University,10,23.0,1,0,0,0,1,0,0,1,0,1
1846,College,23,23.0,0,0,0,0,0,0,0,0,0,1
4481,University,23,18.0,0,0,0,0,0,0,0,0,1,0
12943,University,36,21.0,1,0,0,0,0,0,0,0,1,0
4027,College,46,29.0,0,0,0,0,1,1,0,0,1,0
2076,University,46,20.0,1,0,0,0,1,0,0,1,1,0
3436,University,41,18.0,1,1,0,1,0,1,0,0,1,0
3079,University,46,18.0,0,0,1,1,0,0,1,0,1,0
7885,University,16,44.0,0,0,0,0,1,0,1,0,1,0
9428,College,36,24.0,1,0,0,0,0,0,0,0,1,0
13022,University,1,17.0,1,1,0,0,1,0,0,1,1,0
2158,University,43,18.0,0,1,0,1,0,1,0,0,1,0
2193,University,46,18.0,1,0,0,0,1,0,0,1,1,0
275,College,6,29.0,0,0,0,0,1,1,0,0,0,1
3062,University,46,20.0,0,0,0,0,0,0,0,0,1,0
13052,University,31,21.0,1,0,1,1,0,1,0,0,1,0
14550,University,1,23.0,1,0,1,1,0,0,0,1,0,1
845,College,15,23.0,1,0,1,1,0,1,0,0,0,1
12201,University,1,21.0,1,0,0,1,0,0,0,0,0,1
8153,University,1,20.0,0,0,0,0,0,0,0,0,1,0
6485,University,1,20.0,1,0,0,0,1,0,0,1,0,1
4821,University,35,21.0,1,0,0,0,0,0,0,0,1,0
10934,University,35,25.0,0,0,0,1,0,1,0,0,1,0
2977,University,36,28.0,1,0,0,1,0,1,0,0,1,0
1194,College,23,58.0,0,0,0,0,1,0,0,1,1,0
2874,University,43,21.0,0,0,1,1,0,1,0,0,1,0
9266,College,4,25.0,0,0,1,1,0,1,0,0,1,0
3599,College,44,18.0,0,0,1,1,0,1,0,0,1,0
13411,University,8,21.0,1,0,0,0,0,0,0,0,1,0
536,College,9,24.0,1,0,1,1,0,0,0,1,0,1
10574,University,1,20.0,1,0,1,0,1,0,0,1,0,1
489,College,22,29.0,0,0,0,0,0,0,0,0,1,0
13547,University,15,18.0,1,0,0,1,0,0,0,1,0,1
12,College,16,27.0,0,0,0,0,0,0,0,0,0,1
8,College,8,23.0,1,0,0,0,0,0,0,0,0,1
3915,College,46,18.0,0,0,1,1,0,1,0,0,0,1
4007,College,46,27.0,0,0,0,0,1,0,1,0,1,0
10511,University,35,18.0,0,0,0,1,0,1,0,0,0,1
663,College,13,18.0,0,0,0,0,1,0,0,1,0,1
6764,University,6,20.0,0,0,0,0,0,0,0,0,0,0
15773,University,11,19.0,1,0,0,0,0,0,0,0,1,0
6208,University,1,21.0,1,0,0,0,0,0,0,0,1,0
16536,University,29,21.0,1,0,0,0,0,0,0,0,0,1
11458,University,4,18.0,0,0,0,1,0,1,0,0,1,0
14018,University,1,21.0,1,0,0,0,0,0,0,0,0,1
9769,College,36,48.0,1,0,0,0,0,0,0,0,1,0
8277,University,30,18.0,1,0,0,0,0,0,0,0,1,0
142,College,33,23.0,1,0,1,1,0,1,0,0,1,0
3080,University,46,21.0,0,0,0,0,0,0,0,0,1,0
11661,University,3,22.0,1,0,0,0,1,0,0,1,0,1
7120,University,30,24.0,1,0,0,1,0,1,0,0,1,0
1352,College,23,25.0,0,0,0,0,0,0,0,0,1,0
7746,University,10,25.0,1,0,0,1,0,1,0,0,1,0
15906,University,10,23.0,1,0,0,0,0,0,0,0,0,1
7760,University,8,21.0,1,0,0,1,0,1,0,0,1,0
12081,University,13,52.0,0,0,1,1,0,0,1,0,1,0
9276,College,40,26.0,1,0,0,1,0,0,1,0,1,0
16732,University,33,18.0,1,0,0,1,0,0,1,0,0,1
13773,University,1,19.0,1,0,1,0,1,0,0,1,1,0
10017,University,36,18.0,1,1,0,1,0,1,0,0,1,0
4223,University,1,19.0,1,0,0,0,0,0,0,0,1,0
14038,University,2,20.0,1,0,0,0,1,0,0,1,0,1
5454,University,4,34.0,0,0,0,0,1,0,1,0,1,0
16580,University,13,22.0,0,0,0,1,0,0,0,1,0,1
3506,University,46,25.0,0,0,0,0,0,0,0,0,0,1
8825,College,36,21.0,0,0,1,1,0,1,0,0,1,0
1358,College,22,27.0,0,0,0,0,0,0,0,0,1,0
7745,University,3,28.0,0,0,0,1,0,1,0,0,1,0
3626,College,40,44.0,1,0,0,1,0,0,1,0,1,0
4513,University,31,18.0,0,0,0,0,0,0,0,0,1,0
9768,College,36,40.0,0,0,0,1,0,0,1,0,1,0
11977,University,36,21.0,0,0,0,1,0,0,0,0,1,0
5583,University,33,20.0,1,0,1,0,1,0,0,1,0,1
4633,University,23,26.0,0,0,0,0,1,0,1,0,0,1
15727,University,3,22.0,0,1,0,0,1,0,1,0,0,1
2710,University,46,18.0,1,1,0,0,1,0,0,1,1,0
6197,University,20,20.0,0,0,0,0,0,0,0,0,1,0
2200,University,46,20.0,0,0,1,0,1,0,0,1,1,0
12055,University,3,19.0,1,0,0,1,0,1,0,0,1,0
5073,University,11,19.0,0,1,0,1,0,1,0,0,0,1
1948,College,23,25.0,0,0,0,0,0,0,0,0,0,0
1881,College,23,21.0,0,0,1,0,1,0,1,0,0,1
4705,University,20,20.0,0,0,1,1,0,1,0,0,1,0
8058,University,1,25.0,1,0,0,0,0,0,0,0,1,0
14356,University,1,23.0,1,0,0,0,0,0,0,0,0,1
14689,University,2,22.0,1,0,0,0,1,0,0,1,0,1
15203,University,36,21.0,0,0,0,1,0,1,0,0,1,0
11081,University,36,22.0,0,0,0,0,1,0,1,0,1,0
14385,University,1,21.0,1,0,0,0,0,0,0,0,1,0
8560,University,13,22.0,0,1,0,1,0,1,0,0,1,0
16769,University,36,31.0,0,0,0,0,0,0,0,0,1,0
13266,University,1,22.0,1,1,0,0,1,0,0,1,1,0
2725,University,9,19.0,1,0,1,1,0,0,1,0,0,1
2449,University,36,20.0,1,0,0,0,0,0,0,0,1,0
8161,University,21,32.0,0,0,0,0,0,0,0,0,1,0
1933,College,21,23.0,0,0,0,0,0,0,0,0,0,0
15770,University,15,18.0,1,0,0,0,0,0,0,0,0,1
15162,University,1,23.0,1,0,1,0,1,0,0,1,1,0
10098,University,1,24.0,1,0,1,0,1,0,0,1,0,1
5698,University,3,46.0,0,0,0,0,0,0,0,0,1,0
7336,University,34,22.0,0,0,0,0,0,0,0,0,1,0
7977,University,9,20.0,0,0,0,1,0,0,0,0,0,1
10814,University,36,18.0,1,0,1,0,1,1,0,0,1,0
13775,University,15,21.0,1,0,0,1,0,0,1,0,1,0
3570,College,8,20.0,1,0,1,1,0,0,1,0,0,1
7574,University,1,21.0,1,0,0,0,0,0,0,0,1,0
4965,University,23,22.0,0,0,0,0,0,0,0,0,1,0
5117,University,31,18.0,1,0,0,0,0,0,0,0,1,0
7223,University,31,21.0,0,0,0,1,0,1,0,0,1,0
13559,University,39,17.0,0,0,1,1,0,0,1,0,0,1
13124,University,33,30.0,1,0,0,0,0,0,0,0,1,0
10984,University,6,19.0,0,1,0,1,0,0,1,0,1,0
6789,University,36,23.0,0,0,0,1,0,1,0,0,1,0
14740,University,28,21.0,1,0,0,1,0,1,0,0,1,0
14306,University,11,22.0,1,0,1,0,1,1,0,0,0,1
4117,University,4,22.0,0,0,0,1,0,0,1,0,0,1
2608,University,42,25.0,0,0,0,0,1,0,0,1,1,0
5896,University,2,18.0,1,0,0,0,0,0,0,0,0,1
1977,College,2,26.0,1,0,1,0,1,0,0,1,1,0
1013,College,21,20.0,0,1,0,1,0,1,0,0,1,0
13987,University,4,23.0,0,0,0,0,1,0,0,1,1,0
5421,University,1,18.0,1,0,0,0,0,0,0,0,0,0
4433,University,10,20.0,1,0,0,0,1,0,0,1,0,1
10097,University,3,26.0,0,0,0,0,1,0,0,1,1,0
11152,University,1,19.0,0,0,0,0,0,0,0,0,0,1
5873,University,29,22.0,1,0,0,0,0,0,0,0,0,1
11228,University,36,24.0,1,1,0,1,0,1,0,0,1,0
9255,College,36,23.0,0,0,0,0,0,0,0,0,1,0
16497,University,31,20.0,1,0,0,1,0,1,0,0,1,0
154,College,6,21.0,0,0,0,1,0,1,0,0,1,0
8016,University,33,19.0,1,0,0,0,0,0,0,0,1,0
11879,University,36,19.0,0,0,0,1,0,0,0,1,0,1
13419,University,28,22.0,1,1,0,1,0,0,1,0,1,0
5162,University,4,37.0,0,0,0,0,1,0,0,1,0,1
7271,University,35,20.0,0,0,0,0,0,0,0,0,1,0
15577,University,35,22.0,0,0,0,0,0,0,0,0,1,0
14562,University,11,19.0,0,0,1,1,0,0,1,0,0,1
3746,College,46,24.0,0,0,0,0,1,0,1,0,1,0
14009,University,44,18.0,0,0,0,0,1,1,0,0,0,1
1191,College,23,20.0,0,0,1,1,0,1,0,0,0,1
8657,University,9,24.0,1,0,0,1,0,0,1,0,1,0
12600,University,35,20.0,0,0,0,1,0,0,0,1,1,0
44,College,36,19.0,0,0,0,0,0,0,0,0,1,0
461,College,21,19.0,0,0,1,1,0,0,1,0,1,0
7518,University,11,24.0,1,0,0,0,0,0,0,0,1,0
8239,University,4,23.0,0,0,0,0,1,1,0,0,1,0
14023,University,5,21.0,0,0,0,0,0,0,0,0,1,0
