Model,Acc,Prec,Rec,F1,MCC,APO
All_Dists,0.4611188486536676,0.3338300940711434,0.3004777723055465,0.3036105482842895,0.24269885027944152,0.38698699042120643
All_Dists + Family,0.45167130919220044,0.3256577111189319,0.2984851484240908,0.30295585914975376,0.23473488087953007,0.39135828045873305
All_Dists + Family + Level,0.4671077065923862,0.3307453131456331,0.3116330829330317,0.3149260113311747,0.2628276873546546,0.40891761105172897
All_Dists + Family + Status,0.4495241411327762,0.3202106144569906,0.2975118848098638,0.30138861578787685,0.23432602994143834,0.39163670597239186
All_Dists + Family + Status + Level,0.46709610027855153,0.3299798726283023,0.31377740596838744,0.31629090948432176,0.26526458828945454,0.41032741339138923
All_Dists + Family + Work,0.44493964716805945,0.3127772884627673,0.2954796753914838,0.2999403738901691,0.230087379713882,0.39215556038449584
All_Dists + Level,0.4732938718662954,0.34713350714296987,0.3198932122789319,0.3233262534553965,0.269545959387695,0.4064167894284484
All_Dists + Level + Work,0.46860492107706586,0.3339717766727407,0.3134405634300911,0.31768558320646434,0.26525595536424784,0.407184484138534
All_Dists + Status,0.45800835654596106,0.3320101398339177,0.30312161760024087,0.30698755188995264,0.24172366727992678,0.3884077145102175
All_Dists + Status + Level,0.47465181058495826,0.34292783075131006,0.31932015930819796,0.32307978418035155,0.2723701412367687,0.40989641352085915
All_Dists + Work,0.45027855153203344,0.32102705642307056,0.2959326589471719,0.30092073898306204,0.2324329644937862,0.3887536972047151
Coords,0.4612233054781802,0.33121038475560416,0.3014553177005198,0.30421314007660766,0.24326611577325546,0.38729244809590024
Coords + Family,0.4564879294336118,0.3310761345792728,0.300806168339876,0.30600412323304477,0.24078190158138724,0.3922871737917588
Coords + Family + Level,0.4687093779015785,0.33381668844497037,0.3129642050911188,0.31624063036280503,0.2641257508573728,0.4103899138452916
Coords + Family + Level + Status,0.4684656453110493,0.332737567471992,0.3140197041568175,0.31758618228409186,0.26451492645517527,0.4115829572085078
Coords + Family + Status,0.4513231197771588,0.32830110728618334,0.29876861502143826,0.30406231547616525,0.2359988608731633,0.3928829125113756
Coords + Family + Work,0.44933844011142055,0.31977456062059756,0.29480002354975576,0.300562134808679,0.2332793248167163,0.39547560288174605
Coords + Level,0.47235376044568234,0.34261694361095957,0.31576344499473613,0.31921477837354684,0.26753507884545524,0.4052285972395936
Coords + Level + Status,0.47293407613741884,0.3443654990746109,0.31964273085631645,0.3232147562935234,0.27067286759315107,0.40743794614357254
Coords + Level + Work,0.46688718662952644,0.3324074921890994,0.31264450316149167,0.3173354300071328,0.26299193822823974,0.4085740620490954
Coords + Status,0.4592502321262767,0.34185593815858883,0.3076579069787347,0.3122578512017288,0.24330707090460568,0.38964937544053113
Coords + Work,0.4521703806870937,0.3235905174873805,0.2987152570307965,0.303769013234427,0.23548562624429525,0.3910093730441056
Full,0.4662372330547819,0.32934978844522184,0.3150981318354717,0.31778472282090503,0.26385151491380265,0.40915824765064235
Three_Dists,0.4622794800371402,0.3448313684676826,0.3033379142426771,0.3078450905949126,0.24434837001571985,0.3877784461042414
Three_Dists + Family,0.45259981429897855,0.3232846308278603,0.2958323517553162,0.30060508094328775,0.23438555029435912,0.3908278964897488
Three_Dists + Family + Level,0.46749071494893213,0.3348661250531821,0.31300339379211967,0.31681966584679994,0.2638252859054178,0.4091892846343589
Three_Dists + Family + Level + Status,0.4702646239554317,0.3374084758530725,0.31821500425560795,0.3213122625252517,0.2675886377527589,0.4134124921746386
Three_Dists + Family + Status,0.4503133704735376,0.31620483819604195,0.2952559194810934,0.2984653494138247,0.23447683422428134,0.39115530333332604
Three_Dists + Family + Work,0.44600742804085425,0.30781983183605205,0.2916348143703931,0.29534911077659953,0.22964505040892655,0.39339401106713506
Three_Dists + Level,0.4720171773444754,0.34213782728694786,0.3168281672893604,0.3200123373801756,0.26809917563422464,0.40713736431749564
Three_Dists + Level + Status,0.4719939647168059,0.337559692311505,0.3194032730205335,0.3217700809429383,0.26996570132769443,0.40808187407895435
Three_Dists + Level + Work,0.46514623955431744,0.32600554893679634,0.3077360974099389,0.31192490878632656,0.25969922540024243,0.4059775376746292
Three_Dists + Status,0.45644150417827306,0.34147627497695676,0.30396524659411694,0.3096972295158015,0.24118218062209076,0.38778191866928946
Three_Dists + Work,0.44861884865366763,0.3146428366676011,0.291997324434743,0.2973849245883061,0.2308789738417368,0.387476477489508
