Model,Acc,Prec,Rec,F1,MCC,APO
Coords,0.4618345713401424,0.340857058685497,0.3021564667748106,0.3051599200694182,0.24395153140998527,0.3871766265149443
Five,0.460213556174559,0.33840808230099995,0.30094484123100596,0.3048226502738386,0.24084090872189018,0.3864283385693199
Five+Coords,0.45835267718972456,0.3319716694803076,0.29835893482334774,0.30175970247629413,0.2389749070555146,0.38704966087308323
Five+Coords+HZ,0.4616450015475084,0.3350521386792433,0.30045349614142614,0.30446312497069916,0.2428967336054779,0.3878236893658264
Five+Flags,0.4606313834726091,0.3405042714349997,0.30208088252501775,0.30577178326332977,0.24173421272011225,0.3871326095462638
Flags,0.4745821727019498,0.2476955462911358,0.320049989124164,0.26796556192238713,0.27107634471593084,0.34517319274750535
Four,0.45945140823274533,0.3311563797129383,0.29968126200441286,0.30246873248729256,0.24085935780359713,0.38770470029894133
Four+Coords,0.45960229031259675,0.33990003377516864,0.2973454197998493,0.30256253373750863,0.23997861026559625,0.3872511532965051
Four+Coords+HZ,0.4597841225626741,0.34126240797809615,0.2990950028634312,0.30344031076838907,0.24006869759725027,0.38642798495004627
Four+Coords+HZ+PD,0.4615985762921696,0.34563690342633535,0.3018304140982122,0.30737055069915536,0.24326278325063758,0.3869908539630672
Four+Coords+PD,0.4603180129990715,0.339279738603137,0.3009848696327593,0.3055441140055205,0.24086363164035668,0.3870403594683086
Four+Flags,0.46027932528628906,0.34064100864877095,0.3015675170412576,0.3064184002326491,0.24160439947798057,0.38651695600241376
Four+PD,0.46194289693593305,0.3449318940028676,0.3021762743160199,0.3067214329196243,0.2422102056944359,0.38876295126230553
Full,0.45961002785515315,0.3381769804332775,0.30065292048833625,0.30438983727698155,0.24026918929759827,0.3872625325617248
HZ,0.46082095326524297,0.34164931526104825,0.3018565975358304,0.30509666241036026,0.24297669521523776,0.3888507635059665
Null,0.4084958217270195,0.058356545961002794,0.14285714285714282,0.08285959650925935,0.0,0.25892782390427893
PD,0.48609563602599815,0.2829974890313449,0.3262718760952355,0.2827210026923964,0.2819054030721407,0.35607200232234315
PD+Flags,0.49008820798514385,0.29782169255673874,0.3155218451727736,0.2843560823322993,0.2770156794031564,0.3650599452736866
SameZone,0.42379294336118856,0.42805447007972147,0.1621398354156619,0.12215700044186131,0.11472343191397913,0.276489799787515
Std,0.45989631692974314,0.3365925281444418,0.3010633821882249,0.3044285959276642,0.2416141763012144,0.3870049591199095
Std+Coords,0.4626083255957908,0.35065701761424894,0.30090236117685404,0.30693624231425043,0.2430067195137705,0.38773503627792616
Std+Coords+HZ,0.4615985762921696,0.3423429812830309,0.3004681862197457,0.30536561561291997,0.24256602147669853,0.3877410210338
Std+Flags,0.4616295264623955,0.34623159341708254,0.30157141133586574,0.30653143878624656,0.24253431916302182,0.3881715781987543
Three_a,0.4597028783658311,0.3391051348425064,0.2997562095181773,0.3043037360815988,0.24074198686073955,0.38792904884592416
Three_b,0.4600510677808727,0.3404362271477469,0.3015651021361232,0.3058087665916007,0.2414085532503613,0.3870217499905012
