Model,Acc,Prec,Rec,F1,MCC,APO
Coords + Segment,0.47173862581244197,0.3409405830313229,0.3166935771787899,0.32205011501249386,0.2696472533809166,0.4139576591993718
Coords + Segment + Adults,0.4629990714948932,0.32696622668264846,0.31352577619921773,0.31711029589994655,0.25890106322515244,0.41204774442643616
Coords + Segment + Adults + Children,0.4672005571030642,0.34160849466904974,0.31960401464677723,0.3250688458027984,0.2630277921172836,0.41186884823668757
Coords + Segment + Age,0.46016713091922,0.327775841904946,0.31558339468649005,0.31875500289481934,0.25670243501347584,0.40954462717659845
Coords + Segment + Age + Adults,0.4702414113277623,0.34632860667638293,0.32064024860038365,0.32680493948066974,0.2661927207340145,0.4089297721452141
Coords + Segment + Age + Children,0.4667711234911792,0.33833169855586154,0.3200434796906669,0.3246372389186592,0.2634973745913421,0.4082327441758709
Coords + Segment + Age + Gender,0.46909238625812444,0.34311205281285584,0.31918791924290585,0.325328405384966,0.2644446754697636,0.40912811908731206
Coords + Segment + Age + Gender + Adults + Children,0.47742571959145774,0.3648055672181512,0.32949848530017406,0.33635951499347,0.27465450633062577,0.406269311067169
Coords + Segment + Children,0.4646471680594243,0.3263327486762289,0.3109995902035707,0.31466146835013525,0.25982492070552976,0.4096711717449228
Coords + Segment + Gender,0.4641945218198701,0.3338359461152157,0.31842573543019087,0.32124407341003264,0.26251884388590746,0.4104574191328584
Full,0.47291086350974937,0.34072596445100045,0.31921453640135683,0.3219757526183947,0.2720833451307355,0.40723704545776257
