Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
1,-0.114332303,-0.001310477,-0.003493371,0.113343845,-0.007253898,0.004046385,0.00899982
2,0.046593444,0.010251059,-0.020189694,0.035035383,-0.014634562,-0.002827102,-0.054228528
3,0.050541841,0.027353637,-0.004233115,0.007075909,-0.004059512,0.00038696,-0.077065719
4,0.019954978,0.012140458,-0.000544965,0.076880368,-0.009199642,-0.081487678,-0.017743519
5,0.013720183,0.017496121,-0.00605477,0.014653351,-0.069001772,-0.002657958,0.031844845
6,0.100284023,0.001523261,-0.013805678,-0.00727812,-0.02448758,-0.016584722,-0.039651184
7,-0.075035041,0.051465116,-0.000646893,-0.021913622,-0.002515285,-0.009294121,0.057939846
8,-0.062837957,0.057447505,0.020143915,-0.0633309,0.010974932,0.006694224,0.030908282
9,-0.023141789,0.074424938,0.014897371,-0.119688315,0.01052139,0.001146341,0.041840064
10,0.087366152,0.018204135,0.000794048,0.011710874,0.008779898,-0.008899655,-0.117955451
11,-0.055947209,0.012417495,-0.014273582,-0.011448832,-0.014011011,-0.006523912,0.089787049
12,-0.092066544,0.026756914,-0.016528357,0.004162887,-0.027474176,0.01559345,0.089555826
13,0.083006414,0.017719042,0.003634712,0.019986951,-0.120265419,0.01025482,-0.01433652
14,0.088855976,0.018036657,0.00128237,-0.002419221,-0.041459531,-0.021145732,-0.043150518
15,0.086338013,0.011183205,-0.006619938,-0.022652385,-0.114718163,0.011507835,0.034961433
16,0.029640246,0.013052671,0.006166206,-0.054934826,-0.037110192,-0.001875072,0.045060966
18,-0.025845311,0.028701175,-0.082231411,-0.165729855,0.120925108,0.022368546,0.101811748
19,-0.263185397,0.011332272,0.013141565,0.099944278,0.257547561,0.023137572,-0.141917851
20,0.03353764,0.020704295,-0.023550209,-0.071514425,0.034423032,-0.004571861,0.010971529
21,-0.017088155,-0.006968912,0.014505162,-0.113479338,0.129893257,-0.016752518,0.009890504
22,-0.104797149,0.018985251,-0.00741651,-0.051965813,0.130705684,-0.030593219,0.045081756
23,0.017547825,0.014406313,0.016496366,-0.090881428,0.158305369,-0.024509036,-0.091365409
24,-0.051430447,0.016713773,-0.114833336,0.010541199,0.161932664,0.0232586,-0.046182452
25,-0.023340439,0.171775565,0.015580084,0.101602783,0.014410779,0.010298411,-0.290327183
26,0.030696739,0.021371021,-0.043023982,-0.169872203,0.088059968,0.025113204,0.047655252
27,-0.024175738,0.021194571,-0.000154909,-0.141013389,-0.021166275,-0.018790321,0.184106061
28,-0.041132385,0.028636426,-0.02404509,-0.056973614,-0.02158698,-0.048316783,0.163418427
29,-0.000189281,0.015587203,-0.014850161,-0.054902187,-0.02857726,0.010253912,0.072677774
30,-0.096515699,0.00604474,-0.029317428,-0.072526905,-0.143004044,0.00568221,0.329637126
31,-0.015832647,0.01984774,-0.025795322,-0.099824603,-0.00348208,0.012786736,0.112300177
32,0.010638252,0.024591057,0.018434525,-0.12263768,0.097356578,-0.006940027,-0.021442705
33,0.004150392,0.026734275,0.002769069,-0.112423947,0.009684949,-0.007671058,0.076756321
34,0.11064138,0.086099476,-0.00053632,-0.077793397,-0.019610562,0.012974688,-0.111775265
35,0.072650917,0.0204854,0.002803303,-0.074155651,-0.001970589,-0.013743796,-0.006069584
36,0.079125459,-0.031307525,-0.0003974,-0.052811523,0.008720587,-0.010662398,0.007332799
37,-0.009304449,0.089632225,-0.045508163,0.092826945,0.014632395,-0.063969306,-0.078309647
38,0.148011243,0.087532724,0.018813193,-0.286559705,0.00234403,0.011999948,0.017858567
39,-0.025699348,0.044047797,-0.001818408,-0.007705958,0.01628569,-0.003273049,-0.021836724
40,-0.005940351,0.087004323,-0.036928153,-0.118247246,0.014873694,0.009677808,0.049559924
41,0.221115945,-0.239724192,0.032110815,-0.196362152,0.020465483,0.010276645,0.152117455
42,0.032521412,0.149476263,-0.490380274,0.082364479,0.002768857,0.003669728,0.219579536
43,-0.050042201,-0.279512834,0.024577884,0.155128492,0.012745896,0.006905361,0.130197401
44,0.389268847,-0.064572932,-0.116688425,0.022049266,0.015875806,-0.133847917,-0.112084646
45,-0.123743995,0.230447865,0.026294383,-0.208090628,0.0187339,0.010060328,0.046298146
46,-0.022428973,0.219107246,-0.072423746,-0.168446003,0.088035976,0.008119797,-0.051964298
