PD,MI,OC,RY,SC,SG,YG,YK,n
1,Active,Active,Active,Transit,Active,Transit,Transit,3056
2,Transit,Active,Transit,Transit,Active,Transit,Transit,957
3,Transit,Transit,Transit,Transit,Transit,Transit,Transit,610
4,Transit,Transit,Transit,Transit,Transit,Active,Transit,582
5,Transit,Transit,Transit,Transit,Transit,Transit,Transit,259
6,Transit,Transit,Transit,Transit,Transit,Transit,Transit,510
7,Transit,Transit,Transit,Transit,Transit,Transit,Transit,109
8,Transit,Transit,Transit,Transit,Transit,Transit,Transit,356
9,Transit,Transit,Transit,Transit,Transit,Transit,Transit,144
10,Transit,Transit,Transit,Transit,Transit,Transit,Active,617
11,Transit,Transit,Transit,Transit,Transit,Transit,Transit,631
12,T,Transit,Transit,Transit,Transit,Transit,Transit,205
13,Transit,Transit,Transit,Transit,Transit,Transit,Transit,553
14,Transit,Transit,Transit,Transit,Transit,Transit,Transit,142
15,Transit,Transit,Transit,Active,Transit,Transit,Transit,335
16,Transit,Transit,Transit,Transit,Transit,Transit,Transit,523
18,A,Transit,Transit,Auto,Transit,O,Auto,10
19,A,T,T,Auto,Transit,O,Transit,5
20,A,Transit,Transit,Transit,Transit,Transit,Transit,132
21,Auto,Transit,Transit,Transit,Transit,Auto,Transit,142
22,A,Transit,Transit,Transit,Transit,Transit,Transit,73
23,A,T,Transit,Transit,Transit,Transit,Transit,44
24,A,Transit,Transit,Transit,Transit,O,Transit,14
25,A,T,T,O,Transit,O,Auto,7
26,A,T,Transit,Transit,Transit,O,Auto,16
27,Transit,Transit,Transit,Auto,Transit,Transit,Transit,60
28,O,Transit,Transit,Auto,Transit,Transit,Transit,69
29,Auto,Transit,Transit,Transit,Transit,Auto,Transit,343
30,Transit,Transit,Transit,Auto,Transit,Auto,Transit,40
31,Auto,Transit,Transit,Transit,Transit,Transit,Transit,638
32,O,T,Transit,Transit,Transit,Auto,Transit,31
33,Transit,Transit,Transit,Transit,Transit,Transit,Transit,577
34,Auto,Auto,Transit,Transit,Auto,O,Transit,49
35,Transit,Transit,Transit,Transit,Transit,Transit,Transit,720
36,Transit,Transit,Transit,Transit,Transit,Transit,Transit,1400
37,Auto,Transit,Transit,T,Transit,Auto,Transit,14
38,Transit,T,Transit,Transit,Transit,O,Transit,64
39,Auto,Transit,Transit,T,Transit,Transit,Transit,167
40,Transit,Transit,Transit,T,Transit,T,Transit,71
41,Auto,T,Transit,T,Transit,T,T,4
42,O,Transit,T,T,Transit,T,T,2
43,Transit,T,T,T,Transit,T,T,11
44,Transit,Transit,Transit,T,T,Transit,Auto,7
45,O,T,Transit,T,Transit,T,Transit,8
46,Auto,Transit,Transit,T,Transit,T,Transit,43
