HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
1,5,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,14,5,7,3,4,1,0,unknown
2,25908,25,3,Grad,FT,Live with partner,FALSE,Walk,0.75,10,2,0,2,0,1,household_income_level__90000_119999
3,25363,23,5,UG,FT,Live with family/parents,FALSE,Local Transit,29.5,5,4,0,4,1,1,unknown
4,25948,20,2,UG,FT,Live with roommates,FALSE,Walk,0.75,6,4,0,4,0,1,unknown
5,25329,27,6,Grad,FT,Live with partner,FALSE,Walk,0.75,10,2,0,2,0,1,household_income_level__30000_59999
6,26280,20,1,UG,FT,Live with roommates,FALSE,Walk,0.75,6,3,0,3,0,0,unknown
7,25972,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,9.25,1,5,1,4,2,0,unknown
8,25978,21,3,UG,FT,Live with family/parents,FALSE,Solo Driver,43.75,5,5,0,5,2,1,household_income_level__30000_59999
9,25920,33,9,Grad,FT,Live with partner,FALSE,Bike,5.25,10,2,0,2,1,1,unknown
10,43,31,9,Grad,FT,Live with partner,FALSE,Regional Transit,31.25,10,2,0,2,1,1,unknown
11,25337,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,10.5,5,3,0,3,1,1,unknown
12,26026,27,8,Grad,FT,Live with partner,FALSE,Walk,1,10,2,0,2,0,1,household_income_level__60000_89999
13,25376,19,2,UG,FT,Live with family/parents,FALSE,Local Transit,17,5,4,0,4,2,1,unknown
14,26288,32,1,Grad,FT,Live with partner,FALSE,Walk,1.25,10,2,0,2,1,1,unknown
15,25925,27,3,Grad,FT,Live with partner,FALSE,Walk,1.75,10,2,0,2,1,0,unknown
16,25361,23,3,UG,FT,Live with partner,FALSE,Local Transit,3.75,6,2,0,2,0,1,household_income_level__0_29999
17,25943,22,0,Grad,FT,Live with family/parents,TRUE,Solo Driver,85.5,9,5,0,5,5,1,household_income_level__90000_119999
18,25447,23,4,UG,FT,Live with roommates,FALSE,Walk,2,6,2,0,2,0,0,unknown
19,52,24,1,UG,FT,Live with family/parents,FALSE,Local Transit,17.75,5,5,1,4,2,0,unknown
20,26323,19,0,UG,FT,Live with roommates,TRUE,Local Transit,1.5,2,2,0,2,0,0,household_income_level__60000_89999
21,25367,17,0,UG,FT,Live with family/parents,TRUE,Local Transit,2.25,1,5,1,4,1,0,unknown
22,25949,22,1,Grad,FT,Live alone,FALSE,Walk,1.25,10,1,0,1,0,1,household_income_level__60000_89999
23,64,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,9.75,5,5,0,5,1,1,unknown
24,25453,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,21.75,5,3,0,3,2,1,unknown
25,26055,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.75,5,4,0,4,1,0,unknown
26,26370,40,4,Grad,PT,Live with family/parents,FALSE,Bike,11,11,3,1,2,1,1,household_income_level__150000_179999
27,25373,24,1,Grad,FT,Live alone,FALSE,Bike,10.5,10,1,0,1,0,1,household_income_level__0_29999
28,25979,22,4,UG,FT,Live with roommates,FALSE,Walk,1.25,6,2,0,2,0,1,household_income_level__0_29999
29,94,22,0,Grad,FT,Live with roommates,TRUE,Walk,1.25,10,2,0,2,0,1,household_income_level__30000_59999
30,25379,22,4,UG,PT,Live with partner,FALSE,Local Transit,2,8,5,0,5,1,1,unknown
31,26376,20,2,UG,FT,Live with roommates,FALSE,Walk,1.25,6,2,0,2,0,1,household_income_level__0_29999
32,26067,23,0,Grad,FT,Live with roommates,TRUE,Walk,0.5,10,3,0,3,0,1,household_income_level__30000_59999
33,25460,23,2,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,1,1,household_income_level__i_dont_know
34,25991,27,2,UG,FT,Live with family/parents,FALSE,Local Transit,23.5,5,3,0,3,0,0,unknown
35,25437,18,1,UG,FT,Live with family/parents,FALSE,Rideshare,17.25,5,3,0,3,2,1,household_income_level__i_dont_know
36,25466,24,1,Grad,FT,Live with family/parents,FALSE,Local Transit,17,9,5,0,5,1,0,household_income_level__90000_119999
37,101,19,0,UG,FT,Live with roommates,TRUE,Bike,1,2,2,0,2,0,0,unknown
38,26401,18,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,6,0,6,0,0,unknown
39,25999,27,3,Grad,FT,Live with partner,FALSE,Regional Transit,54.75,10,2,0,2,2,1,household_income_level__30000_59999
40,26103,23,1,Grad,FT,Live with roommates,FALSE,Walk,1.25,10,2,0,2,0,1,unknown
41,25443,24,3,UG,FT,Live with partner,FALSE,Walk,0.75,6,2,0,2,0,0,unknown
42,26109,20,2,UG,FT,Live with family/parents,FALSE,Bike,3.75,5,5,0,5,0,0,household_income_level__0_29999
43,25478,23,6,Grad,FT,Live alone,FALSE,Local Transit,1.5,10,1,0,1,0,1,unknown
44,142,26,5,UG,FT,Live with family/parents,FALSE,Rideshare,6.75,5,4,1,3,2,1,unknown
45,26407,17,0,UG,FT,Live with family/parents,TRUE,Solo Driver,5.75,1,3,1,2,2,1,household_income_level__60000_89999
46,25451,20,2,UG,FT,Live with roommates,FALSE,Walk,1.25,6,3,0,3,0,1,unknown
47,26023,29,3,UG,FT,Live alone,FALSE,Local Transit,2.75,6,1,0,1,1,1,household_income_level__0_29999
48,150,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,8.75,5,4,1,3,2,0,household_income_level__i_dont_know
49,25484,22,0,Grad,FT,Live with roommates,TRUE,Local Transit,11,10,1,0,1,0,1,household_income_level__i_dont_know
50,26029,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,30.5,5,6,2,4,2,0,unknown
51,26454,22,0,UG,FT,Live with family/parents,TRUE,Walk,1.5,1,3,0,3,0,1,unknown
52,25464,23,6,Grad,FT,Live with roommates,FALSE,Local Transit,1.5,10,4,0,4,2,0,unknown
53,26115,28,0,Grad,FT,Live alone,TRUE,Local Transit,4.5,10,1,0,1,0,0,unknown
54,172,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,10.5,5,4,0,4,2,0,unknown
55,26122,29,4,Grad,FT,Live alone,FALSE,Local Transit,17.5,10,1,0,1,0,1,household_income_level__0_29999
56,26063,22,3,UG,FT,Live with family/parents,FALSE,Solo Driver,8.75,5,5,0,5,3,1,unknown
57,25491,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,24.5,5,6,1,5,1,1,unknown
58,26471,22,0,Grad,FT,Live with roommates,TRUE,Bike,0.5,10,4,0,4,0,1,unknown
59,25481,17,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,4,1,3,0,0,unknown
60,26157,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,6.5,5,6,1,5,1,1,household_income_level__i_dont_know
61,26070,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,3.25,5,5,1,4,2,1,household_income_level__60000_89999
62,180,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,22.5,5,4,0,4,2,1,unknown
63,25489,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,27.5,1,5,0,5,2,0,unknown
64,25497,20,2,UG,FT,Live with roommates,FALSE,Walk,0.75,6,4,0,4,0,0,unknown
65,26163,23,1,Grad,FT,Live with roommates,FALSE,Walk,0.75,10,3,0,3,1,1,household_income_level__i_dont_know
