Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance,Family
264,19,2,0,1,2,2,1,5,0,1,5.801714,1
38,22,2,1,2,2,0,1,2,0,10,1.52949,0
1039,26,2,1,1,2,3,0,5,1,3,32.20097,1
613,19,2,1,1,2,1,2,4,0,1,23.50205,1
4160,21,2,1,2,1,4,0,3,0,0,0,0
2053,31,1,1,3,1,1,0,2,0,0,32.69045,0
5129,22,2,1,1,2,2,1,4,0,1,6.428893,1
135,32,1,1,3,1,4,2,5,0,0,16.03554,1
212,30,1,1,2,1,0,1,2,0,0,6.553092,0
606,24,1,1,2,2,2,2,4,0,1,23.0445,1
523,20,2,1,2,2,2,1,3,1,1,15.25818,1
186,20,1,1,1,2,2,2,4,0,0,68.09488,1
4025,20,1,1,2,2,2,2,2,1,0,34.88996,1
596,21,1,1,2,2,1,2,2,0,1,20.93772,1
3683,23,2,1,1,2,2,0,3,0,1,40.51645,1
2258,20,2,1,1,2,3,2,4,0,1,28.24117,1
46,25,2,1,1,2,2,0,2,0,1,1.368845,0
47,32,2,0,3,1,0,1,1,0,0,3.120401,0
435,26,1,1,2,1,1,2,4,2,1,15.34301,1
327,22,2,1,1,2,2,0,3,0,1,16.60991,1
4057,42,2,1,3,1,2,2,2,2,0,15.95951,1
5133,59,1,1,3,1,3,2,4,0,0,71.81282,0
5074,41,1,1,2,2,1,2,3,0,3,6.893901,1
3810,20,1,1,1,2,3,0,5,1,4,36.32829,1
161,19,1,0,1,2,1,2,5,0,1,10.32033,1
409,24,1,1,2,1,0,2,3,0,0,16.87074,0
400,20,2,0,1,2,0,1,3,0,0,19.81746,1
105,56,2,0,3,1,0,2,2,0,0,7.567728,0
4108,21,1,1,2,2,3,2,3,0,3,36.62417,1
551,23,2,0,1,2,2,2,4,0,1,17.13451,1
3375,39,1,1,1,1,2,2,4,4,0,40.54452,1
5050,21,2,1,1,2,2,2,3,0,3,11.9774,1
3648,19,1,1,1,2,2,2,3,1,0,47.08021,1
3714,27,1,1,2,2,1,1,1,1,0,41.7229,1
122,47,2,1,3,1,0,0,1,0,0,9.495546,0
154,19,1,1,1,2,2,2,3,1,1,12.87103,1
531,24,1,0,2,2,0,2,4,0,0,14.32955,1
3810,24,2,1,1,2,2,1,4,0,1,36.32829,1
71,34,2,1,2,2,1,2,2,0,1,2.675173,0
4120,19,2,1,2,2,2,2,3,1,3,64.60284,1
4108,25,2,1,1,1,2,2,3,0,0,48.8801,1
2255,44,1,1,2,1,3,2,5,1,0,24.73604,1
3379,22,2,1,1,2,4,2,5,0,0,37.90907,1
5166,23,1,1,2,2,2,2,7,0,1,2.120519,0
2132,26,1,1,1,2,3,0,4,0,0,12.92371,1
2121,36,1,1,1,2,1,2,2,0,0,1.114453,0
5186,28,1,1,3,2,1,2,1,0,0,4.923166,0
2229,34,1,1,3,1,3,2,2,1,0,26.86782,0
38,18,1,0,1,2,0,1,2,0,10,1.52949,0
158,21,1,1,2,2,1,2,4,6,10,10.41682,1
158,19,1,1,2,2,1,2,4,6,1,10.41682,1
38,18,2,1,1,2,0,1,2,0,2,1.52949,0
5175,19,2,1,2,2,1,1,4,0,0,0.731925,0
3690,19,2,1,1,2,2,2,5,0,5,27.35652,1
463,21,2,1,1,2,2,2,4,0,1,14.49987,1
35,83,1,0,1,1,1,2,2,0,10,1.364572,0
464,23,2,1,1,2,1,0,3,0,0,78.68078,1
5166,24,1,1,2,2,1,1,2,0,1,2.120519,0
93,30,2,1,3,1,3,2,2,0,0,3.235429,0
2616,20,1,1,2,2,2,2,3,0,1,42.62933,1
5135,26,1,1,2,2,1,2,2,0,1,7.70469,0
5158,19,1,0,1,2,2,2,3,0,1,3.15986,1
3657,23,2,1,1,2,0,0,3,0,1,3.553611,0
2108,18,1,1,1,2,5,2,5,0,3,21.01242,1
118,34,2,1,2,2,1,1,2,0,0,6.853556,0
3381,21,1,1,2,2,3,0,3,0,0,40.19581,1
46,35,2,1,2,2,0,2,2,2,0,1.297744,1
374,23,1,0,1,2,2,2,4,0,0,3.57044,1
3656,37,1,1,3,1,2,2,2,1,0,22.09276,0
3686,25,1,1,1,2,2,1,2,0,3,18.81173,1
196,75,2,1,1,1,1,2,2,0,0,8.466409,0
3686,20,2,1,3,1,2,2,3,0,0,18.81173,1
1241,20,1,1,1,2,3,2,4,0,0,5.503832,1
47,20,1,0,1,2,0,0,2,0,10,1.063099,0
21,29,2,1,2,2,1,0,2,0,10,2.04452,0
353,21,2,1,2,2,4,0,5,1,1,15.80479,1
3622,31,1,1,3,1,2,2,5,0,0,14.47743,1
3337,25,2,1,2,1,2,2,3,0,0,9.106768,1
1219,22,1,1,2,2,2,1,2,0,3,3.394258,1
41,26,1,1,1,2,1,0,2,0,0,1.84044,0
